date,ticker,open,high,low,close,volume
2025-10-01,IHSG,8069.94,8093.69,8034.25,8043.822,57285569700
2025-10-02,IHSG,8070.43,8109.44,8059.05,8071.081,41318758500
2025-10-03,IHSG,8099.65,8118.3,8076.6,8118.301,43643997800
2025-10-06,IHSG,8155.37,8176.31,8104.55,8139.894,43737664900
2025-10-07,IHSG,8182.656,8217.046,8153.713,8169.281,43080000700
2025-10-08,IHSG,8201.14,8224.65,8044.93,8166.029,38454709400
2025-10-09,IHSG,8187.7,8272.632,8159.945,8250.938,35677367800
2025-10-10,IHSG,8259.08,8270.33,8194.05,8257.859,46770791500
2025-10-13,IHSG,8169.65,8288.28,8133.63,8227.202,41037111400
2025-10-14,IHSG,8269.48,8284.91,7974.03,8066.522,46426149900
2025-10-15,IHSG,8107.299,8132.522,7936.371,8051.175,34682713500
2025-10-16,IHSG,8064.679,8148.045,8030.777,8124.757,25713215300
2025-10-17,IHSG,8132.75,8140.6,7854.31,7915.656,38996834100
2025-10-20,IHSG,7988.45,8117.27,7937.39,8088.978,33541038700
2025-10-21,IHSG,8165.69,8238.08,8161.19,8238.084,29953322700
2025-10-22,IHSG,8235.7,8261.84,8141.99,8152.553,28570623500
2025-10-23,IHSG,8179.88,8292.89,8179.61,8274.352,30398944400
2025-10-24,IHSG,8294.89,8351.06,8271.72,8271.722,26701966300
2025-10-27,IHSG,8322.22,8354.67,7959.17,8117.151,37726836800
2025-10-28,IHSG,8144.43,8151.34,8039.85,8092.629,28940043500
2025-10-29,IHSG,8107.38,8169.14,8042.63,8166.224,26740881600
2025-10-30,IHSG,8176.36,8231.88,8145.6,8184.064,34895422900
2025-10-31,IHSG,8202.523,8215.546,8144.077,8163.875,266403580
2025-11-03,IHSG,8208.03,8282.16,8201.36,8275.084,22152152700
2025-11-04,IHSG,8275.95,8317.08,8225.91,8241.911,27095252100
2025-11-05,IHSG,8213.6,8318.53,8181.9,8318.526,34069737400
2025-11-06,IHSG,8354.68,8362.916,8289.891,8337.058,24770704400
2025-11-07,IHSG,8346.58,8398.77,8332.6,8394.59,24895369100
2025-11-10,IHSG,8443.32,8478.15,8391.24,8391.24,42966170000
2025-11-11,IHSG,8437.96,8443.69,8338.4,8366.515,69186655000
2025-11-12,IHSG,8392.28,8428.948,8377.497,8388.566,50076304500
2025-11-13,IHSG,8412.83,8418.16,8354.84,8371.999,61245428600
2025-11-14,IHSG,8378.13,8417.14,8360.94,8370.436,44160579100
2025-11-17,IHSG,8397.84,8452.33,8392.0,8416.882,39803762400
2025-11-18,IHSG,8427.4,8442.87,8341.9,8361.926,39911550200
2025-11-19,IHSG,8384.362,8426.633,8375.575,8406.577,44063113700
2025-11-20,IHSG,8449.54,8491.43,8419.92,8419.917,36524463800
2025-11-21,IHSG,8403.9,8432.6,8361.27,8414.352,33323226000
2025-11-24,IHSG,8458.293,8570.254,8429.464,8570.254,49893757600
2025-11-25,IHSG,8570.846,8574.385,8487.221,8521.885,54941840500
2025-11-26,IHSG,8533.89,8602.13,8503.15,8602.13,52804536600
2025-11-27,IHSG,8611.328,8622.268,8521.496,8545.865,50599814100
2025-11-28,IHSG,8555.66,8572.36,8495.21,8508.706,39972598200
