"Tick","Price","%Chg(5)"
"INTP","7000","1.45"
"ASII","7400","7.64"
"MTEL","620","3.33"
"BNGA","1835","1.66"
"BBNI","4620","10.53"
"GGRM","15800","0.32"
"FAST","600","0.84"
"ISSP","456","2.7"
"MORA","14150","8.85"
"TLKM","3620","4.93"
"SRTG","1815","11.35"
"INKP","10000","3.36"
"ASSA","1210","-2.42"
"BUVA","1840","6.98"
"ELSA","535","1.9"
"ESSA","675","8.87"
"PTRO","12775","6.02"
"ABMM","3020","7.09"
"ADRO","2170","3.33"
"MAIN","855","6.21"
"BREN","9575","1.06"
"SILO","2500","0.81"
"BBKP","92","4.55"
"JPFA","2780","7.34"
"PGAS","2040","3.29"
"DATA","5125","-7.24"
"OASA","486","27.89"
"KPIG","272","21.43"
"TKIM","7900","0.32"
"AGII","1610","-1.23"
"IMPC","3390","-4.51"
"MDKA","3060","13.33"
"CITY","322","-1.83"
"BMRI","5000","5.04"
"EMAS","5500","2.8"
"NASI","125","4.17"
"ASLC","93","-4.12"
"CBDK","7975","11.15"
"MDLN","68","4.62"
"INCO","6400","1.59"
"UNTR","31500","0"
"ANTM","4000","10.19"
"TMPO","175","2.94"
"IMAS","1210","1.68"
"KRAS","356","-6.32"
"ADMR","1935","10.57"
"PWON","374","6.25"
"BRMS","1230","0"
"UANG","4920","-1.01"
"UNVR","2330","-11.07"
