"Tick","Price","%Chg"
"FAST","600","1.69"
"ASSA","1210","2.11"
"INTP","7000","0.36"
"MAIN","855","0.59"
"ASII","7400","4.96"
"BNGA","1835","1.38"
"MTEL","620","0.81"
"INKP","10000","0"
"ISSP","456","2.24"
"ELSA","535","-0.93"
"MEDC","1480","1.37"
"INCO","6400","0.79"
"PTRO","12775","-0.97"
"KPIG","272","3.82"
"BVIC","145","2.11"
"BMHS","202","0"
"OASA","486","24.62"
"VKTR","1200","16.5"
"PGAS","2040","0.99"
"DATA","5125","-8.89"
"MOLI","330","2.48"
"CBDK","7975","4.59"
"GULA","434","19.89"
"AGII","1610","0"
"FUTR","640","4.92"
"ENRG","1590","3.92"
"MDKA","3060","2.34"
"TLKM","3620","-1.09"
"BEST","124","4.2"
"NASI","125","-3.1"
"CPRO","76","4.11"
"IMJS","272","7.94"
"BBNI","4620","1.76"
"TKIM","7900","0"
"GGRM","15800","4.81"
"MBSS","2730","3.8"
"JMAS","300","-1.32"
"CENT","176","13.55"
"ISAT","2260","0"
"PPRI","340","1.19"
"TUGU","1210","0"
"KRAS","356","-1.66"
"UVCR","199","4.74"
"RATU","8600","-0.86"
"BBKP","92","-2.13"
"MDLN","68","-1.45"
"RAJA","6750","0.75"
"JPFA","2780","2.96"
