no,ticker,title,date,source,high_priority_hits,medium_priority_hits,fundamental_hits,red_flags,urgency_score,total_score,category,action,key_findings
1767,-,PACK Tawarkan Surat Utang Lewat Right Issue: Ini Hak Investor,2026-01-03,,5,2,0,0,10,29,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, right issue, HMETD"
1852,-,NINE Targetkan Pendaftaran Rights Issue ke OJK pada Kuartal II-2026,2026-01-06,IDX Channel,6,0,0,0,10,28,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
1690,-,"Tawarkan OWK Lewat Rights Issue, PACK Himpun Dana Rp3,25 Triliun",2026-01-02,IDX Channel,6,0,0,0,10,28,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2500,-,"Butuh Modal, Bakrie Grup (BNBR) Siapkan Rights Issue Usai Akuisisi Tol Cimanggis...",2026-01-19,IDX Channel,6,1,0,1,10,28,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2376,-,"IRSX Siapkan Right Issue Jumbo Rp3,71 Triliun, Ini Skema, Waran, dan Dampak Dilu...",2026-01-15,,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"right issue, HMETD, hak memesan efek"
2236,-,"Folago (IRSX) Gelar Rights Issue Tahap I, Bidik Dana Rp3,72 Triliun",2026-01-14,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2622,-,"Asuransi Digital (YOII) Gelar Rights Issue, Terbitkan 684 Juta Saham",2026-01-21,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2230,-,Matra Tri Abadi Siapkan Dana Rp2 Triliun untuk Tebus HMETD IRSX,2026-01-14,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2868,-,"TRUE Tunda Private Placement, Buka Opsi Cari Aksi Korporasi Lain",2026-01-26,IDX Channel,5,2,0,1,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2687,-,"Akuisisi Emway, BABY Gelar Rights Issue Pakai Skema Inbreng",2026-01-22,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
3212,-,"ELPI Umumkan Rencana Rights Issue, Bakal Terbitkan hingga 2,03 Miliar Saham Baru",2026-01-30,IDX Channel,5,1,0,0,10,27,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2714,-,"YOII Umumkan Rights Issue demi Penuhi Aturan Modal OJK, RUPSLB Digelar Maret 202...",2026-01-22,IDX Channel,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2101,-,"Tehcno9 (NINE) Pastikan Ekspansi Tambang di Mongolia Tak Bebani Keuangan, Ini Al...",2026-01-11,IDX Channel,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2647,-,"FOLK Resmi Tuntaskan Private Placement, Raih Dana Rp57 Miliar",2026-01-21,IDX Channel,5,1,0,1,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
1783,-,"PACK Terbitkan OWK Rp3,26 Triliun, Begini Detailnya",2026-01-04,,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2039,-,Saham PACK Terbang 6 Hari di Tengah Rencana Penerbitan OWK,2026-01-09,IDX Channel,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, obligasi"
2175,-,"Rambah Bisnis Restoran Bali, SOTS Siapkan Rights Issue Akuisisi Dwimukti Graha",2026-01-13,IDX Channel,5,0,0,0,10,25,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
1773,-,Presiden Direktur SLJ Global (SULI) Suntik Dana ke Perusahaan Rp26 Miliar,2026-01-04,IDX Channel,4,1,0,0,10,24,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
1577,-,"Utang Menggunung, PTDU bakal Private Placement",2025-12-25,,5,2,0,0,5,24,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"HMETD, hak memesan efek, penambahan modal"
2723,-,"IRSX Investasi Rp500 M, Gandeng Visinema & MVP Buat Film",2026-01-22,,4,1,0,0,10,24,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2572,-,BUVA Siapkan Rights Issue II hingga 50 Miliar Saham,2026-01-20,IDX Channel,5,0,0,1,10,23,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
2182,-,"MINA Realisasikan Dana Rights Issue Rp4,84 Miliar",2026-01-13,IDX Channel,4,0,0,0,10,22,🚀 HIGH POTENTIAL,IMMEDIATE REVIEW,"rights issue, HMETD, hak memesan efek"
