no,tick,price,chg,history,tx
1,BULL,400,-4.76%,"113302.249,-154751.587,77622.349,114779.578,82720.534",4.82%
2,IPCC,1310,3.56%,"2678.726,1105.365,-772.315,-531.464,-373.307",3.99%
3,LPPF,1885,2.72%,"-1000.644,2726.989,18537.732,-6006.155,-10694.14",2.38%
4,ASSA,1095,-0.45%,"-953.277,14715.678,5265.269,-3611.584,-12075.277",2.16%
5,ENRG,1160,4.98%,"68470.036,-70067.114,-26467.313,55654.959,10390.701",1.40%
6,JSMR,3740,3.60%,"18510.077,14969.69,-23804.333,4208.081,-6784.521",1.00%
7,EMAS,7500,27.12%,"-192577.126,-74396.909,-158208.109,175362.895,279161.452",0.45%
