no,tick,price,chg,history,tx
1,BGTG,144,5.88%,"1345.184,1154.932,-1573.521,2380.084,1687.826",3.66%
2,EMAS,7500,27.12%,"-56639.784,59345.619,64840.012,35275.204,53053.335",3.54%
3,SMAR,5575,3.72%,"106.333,102.237,-377.334,807.413,541.753",3.32%
4,BVIC,128,1.59%,"-224.536,-361.181,22.44,88.876,973.176",3.13%
5,SMDR,374,6.86%,"6386.119,-2528.728,1902.911,-925.171,1582.778",2.97%
6,PTBA,2580,1.57%,"-15974.699,14317.166,40310.676,-20739.115,11846.298",2.52%
7,TUGU,1250,10.62%,"916.269,-810.398,2620.436,-1355.613,1140.658",2.49%
8,BUVA,1130,7.11%,"97268.316,37639.546,9491.18,-1707.594,86137.064",2.43%
9,SWID,118,-14.49%,"1333.467,-210.378,31.22,-34.044,-89.907",2.25%
10,TRIN,1065,-1.84%,"-4011.245,-2118.368,-182.709,8623.722,5040.128",2.14%
1,ALII,715,9.16%,"868.874,-486.046,471.095,763.451,-321.716",1.95%
2,NASI,182,30.94%,"606.643,5581.344,-3612.958,2819.353,-523.241",1.41%
3,MDKA,3040,11.36%,"42796.047,31265.414,55092.799,-109956.684,54663.56",1.32%
4,MORA,5875,-40.81%,"-4414.739,10635.907,-1270.874,1955.024,-1762.938",1.18%
5,INKP,9175,11.89%,"22940.213,-370.258,-17370.365,-14388.361,16019.685",0.56%
6,MAPA,685,-2.14%,"7255.534,-1643.722,0.486,-223.423,-4109.39",0.52%
7,KOKA,258,10.26%,"867.941,1365.539,876.721,-2014.223,-752.063",0.44%
8,ASLI,418,-10.68%,"-1872.385,2184.584,876.092,-1579.891,1180.434",0.30%
9,TRUE,206,-34.39%,"7986.736,2627.032,-4389.1,-1612.243,-198.735",0.24%
10,AKRA,1265,2.02%,"12011.043,-10345.335,6520.896,-1410.568,-5853.851",0.21%
1,BULL,400,-4.76%,"10627.126,-11416.586,8993.934,16111.86,-17676.961",0.20%
2,BRMS,1010,9.78%,"-139945.654,21278.096,62941.384,22267.734,45935.29",0.16%
3,TINS,3160,6.40%,"-49635.805,37165.218,38505.72,-44293.886,21970.103",0.13%
4,BAPA,90,4.65%,"152.366,-217.185,119.291,9.736,-53.84",0.09%
