no,tick,price,chg,history,tx
1,AKRA,1265,2.02%,"10869.744,-9634.849,-370.407,-764.616,2372.541",0.53%
2,AMAN,246,24.24%,"354.016,18.087,-9.339,-391.019,167.455",0.38%
3,SILO,2750,-2.48%,"-15.96,-499.844,-336.704,1488.264,-355.949",0.37%
4,ASLI,418,-10.68%,"-4250.471,3431.847,-240.061,244.324,1811.137",0.36%
5,FILM,6775,-45.03%,"11304.78,-3537.424,-7121.425,3266.575,-968.545",0.36%
6,IPCC,1310,3.56%,"182.432,775.191,-238.903,-613.478,-53.506",0.14%
7,MYOR,2490,5.51%,"-2686.394,-7800.253,-898.096,4161.076,7693.051",0.08%
8,RMKO,615,-31.28%,"-11887.273,-1687.572,12938.394,2861.469,-2132.204",0.01%
