no,tick,price,chg,history,tx
1,MSJA,398,11.17%,"1810.233,37.739,1972.606,1352.565,5162.292",3.36%
2,AGII,1955,0.26%,"5853.735,2458.018,-258.898,-2168.725,1295.292",2.44%
3,INOV,152,-6.75%,"-452.939,304.979,2697.135,-336.018,247.552",2.22%
4,GULA,402,-15.90%,"2000.173,-813.428,245.818,12487.58,-3638.855",2.11%
5,AKRA,1325,-1.49%,"7779.549,-21640.479,1154.502,17418.348,17563.738",1.89%
6,BUVA,1190,-30.00%,"-39748.295,170141.653,-12701.201,22745.221,142235.378",1.77%
7,NASI,146,13.18%,"-479.761,319.522,2422.898,759.775,887.094",1.75%
8,MDKA,2950,-8.10%,"308473.601,-181459.324,-42969.07,82796.548,62580.624",1.68%
9,ADRO,2150,-6.11%,"407046.399,38817.698,-114692.152,-36584.638,-95002.845",1.57%
10,MYOR,2360,3.96%,"13220.546,-19780.999,26785.146,-5.103,-6098.656",1.55%
1,TRUE,296,-24.10%,"-633.397,-2015.833,3376.521,-605.22,11678.998",1.51%
2,PTBA,2520,-2.70%,"-10583.69,7957.112,-6105.114,62375.515,-23359.79",1.21%
3,ISAT,2200,-10.57%,"6583.664,985.469,-6034.314,24268.973,-6534.792",1.19%
4,ASGR,1745,13.31%,"3284.537,644.96,-4770.508,3760.907,-761.036",1.16%
5,JMAS,230,-18.44%,"24.563,-282.734,237.238,233.647,75.619",1.10%
6,AMAN,210,-15.32%,"-318.213,189.312,293.609,-96.098,257.521",0.88%
7,TRIN,1090,-6.84%,"7868.599,9409.788,549.698,-3710.255,-5865.641",0.86%
8,ENRG,1175,-29.64%,"-116930.142,221752.389,-50979.474,3860.916,-14023.848",0.66%
9,OASA,406,-10.57%,"-1876.157,7393.132,-6343.012,3721.546,10156.557",0.64%
10,APEX,189,-17.83%,"2007.238,-3270.551,505.764,-275.161,2222.805",0.55%
1,IRSX,580,-15.33%,"-28359.86,2838.283,23538.679,3165.623,7963.943",0.48%
2,BAPA,92,-8.91%,"-117.197,-284.458,59.535,163.874,222.805",0.27%
3,AADI,8300,4.40%,"-48876.393,-64596.769,-9281.301,93552.446,43632.323",0.22%
4,ASII,6800,7.94%,"871394.026,-494671.136,-269930.04,-187507.493,122326.679",0.22%
5,VKTR,800,-38.22%,"-11682.906,44132.837,-65578.245,-12116.888,49059.39",0.07%
