no,tick,price,chg,history,tx
1,IRSX,580,19.34%,"-1309.028,7311.649,-19535.801,7410.876,13661.755",8.01%
2,ENRG,1175,6.33%,"9460.613,-364141.375,-67888.076,6143.612,39343.433",7.96%
3,WIIM,1995,15.32%,"9925.342,-2488.714,14498.43,-1019.802,8604.122",7.07%
4,BUVA,1190,12.80%,"-52047.857,-123312.659,-6736.175,104866.966,223426.035",6.42%
5,BULL,448,6.67%,"-30983.143,55268.298,-239724.282,31065.64,65104.383",5.67%
6,NCKL,1320,6.02%,"206232.979,-91665.462,29939.015,7373.614,14559.357",5.01%
7,RALS,456,2.70%,"-589.824,10092.181,-3493.741,-3815.933,155.828",2.88%
8,UANG,4220,19.21%,"-3637.893,-1347.629,-1118.759,1952.755,597.08",2.20%
9,ELIT,304,10.95%,"-1185.984,-12942.477,-9798.293,6513.755,312.43",0.89%
10,BGTG,139,2.21%,"-4819.05,11256.067,3917.212,668.2,73.393",0.56%
