no,tick,price,chg,history,tx
1,FILM,10500,-14.81%,"24973.422,7643.742,47530.343,-2324.111,24697.479",23.98%
2,APIC,1475,7.27%,"60.909,776.39,239.317,10.284,91.179",22.99%
3,JPFA,2790,4.49%,"15216.652,-49420.572,7090.138,2383.801,19695.469",12.90%
4,SILO,2880,2.13%,"856.188,2389.191,2160.289,2109.543,1795.839",12.89%
5,BABP,59,5.36%,"-460.054,-10.122,-105.688,56.255,401.467",12.05%
6,DGNS,302,11.85%,"471.944,636.717,102.636,-1771.4,259.62",11.84%
7,KOKA,260,11.11%,"553.079,452.593,1120.041,733.155,612.972",10.56%
8,APEX,189,8.00%,"969.423,-1579.557,244.266,-132.893,1073.534",10.21%
9,MAPA,730,4.29%,"11597.519,1068.341,14417.967,-1978.305,5124.128",9.62%
10,BAPA,92,6.98%,"-56.602,-137.383,28.753,79.145,107.607",9.07%
1,BGTG,139,2.21%,"1610.623,2341.684,161.433,2517.71,950.019",8.71%
2,SMDR,382,9.14%,"462.668,5921.047,2789.87,-1693.53,4510.115",8.61%
3,DGIK,132,7.32%,"248.139,88.412,55.122,-83.808,63.698",8.40%
4,TRON,185,14.20%,"-650.25,996.234,-244.492,1065.272,636.845",8.12%
5,BBNI,4590,2.00%,"17258.483,-381559.099,-92057.044,-51966.347,76914.09",8.10%
6,AKRA,1325,6.85%,"3757.239,-10451.563,557.583,8412.427,8482.645",8.07%
7,TUGU,1180,4.42%,"1246.894,5581.321,-650.122,-1410.137,647.103",7.66%
8,AMAN,210,6.06%,"-153.685,91.431,141.802,-46.412,124.373",7.52%
9,ASSA,1140,3.64%,"3255.634,3638.263,1985.088,-4175.806,1065.456",7.45%
10,JMAS,230,4.55%,"11.863,-136.55,114.577,112.843,36.521",7.13%
1,INKP,9025,10.06%,"48163.863,-18949.945,-11839.303,-36631.857,16201.232",6.90%
2,BNGA,1805,0.28%,"1198.07,8390.428,2997.407,1658.701,1241.227",6.37%
3,VKTR,800,17.65%,"-5642.418,21314.552,-31671.903,-5852.016,23693.897",6.18%
4,ASII,6800,8.37%,"420851.562,-238908.133,-130366.373,-90559.286,59079.328",5.59%
5,KETR,740,15.62%,"6569.319,3329.98,-2736.456,3037.608,2575.521",5.35%
6,MSJA,398,8.74%,"874.277,18.226,952.697,653.24,2493.199",5.13%
7,ALII,765,16.79%,"8537.724,2126.418,2081.154,1552.41,613.631",4.20%
8,OMED,214,7.54%,"-181.528,-349.251,56.239,-571.975,355.488",3.75%
9,MDKA,2950,8.06%,"148981.509,-87638.241,-20752.495,39987.715,30224.161",3.75%
10,AYLS,286,5.93%,"-231.826,1205.263,645.772,2942.289,440.304",3.74%
1,AADI,8300,2.79%,"-23605.517,-31197.886,-4482.53,45182.423,21072.822",3.72%
2,HAIS,220,3.77%,"-1358.827,-141.337,42.275,-174.239,50.077",3.23%
3,HMSP,850,4.94%,"27587.417,385.148,11892.846,-7061.824,8223.108",3.19%
4,NASI,146,5.04%,"-231.707,154.318,1170.171,366.944,428.434",3.07%
5,AGII,1955,11.71%,"2827.141,1187.133,-125.038,-1047.415,625.579",3.06%
6,IRSX,580,19.34%,"-13696.779,1370.787,11368.324,1528.88,3846.294",2.70%
7,BUVA,1190,12.80%,"-19196.978,82172.218,-6134.217,10985.113,68694.505",2.36%
8,NELY,408,7.94%,"-1013.227,667.706,108.793,193.636,27.371",2.08%
9,OASA,406,18.71%,"-906.115,3570.613,-3063.444,1797.371,4905.247",1.99%
10,TRUE,296,-5.73%,"-305.908,-973.574,1630.737,-292.299,5640.53",1.92%
1,AUTO,2590,1.97%,"-2258.986,-13704.905,-4161.35,1803.425,321.47",1.78%
2,INOV,152,11.76%,"-218.753,147.294,1302.618,-162.284,119.559",1.21%
3,SMAR,5550,3.26%,"128.343,378.15,1196.944,-3364.792,75.097",1.16%
4,BULL,448,6.67%,"-35142.833,-40932.472,-24077.759,-21744.01,7505.272",0.78%
5,ERTX,266,9.02%,"-145.317,-150.823,2031.283,810.315,67.265",0.49%
