date,sender_id,username,message
2026-01-30 02:30:19+00:00,2099694154,meongbae,Bumi ga tau ya kemarin yang tampung MG sih ngeri bantingan juga wkwk
2026-01-30 02:29:13+00:00,8230243852,,Bumi gimana mas
2026-01-30 02:29:02+00:00,8258710563,,Nyakut bnyk disini bg
2026-01-30 02:23:10+00:00,2099694154,meongbae,Kan gorengan itu
2026-01-30 02:07:54+00:00,8258710563,,INAI Kok turun terus ya tolong bg Rendra analisisnya
2026-01-30 01:45:10+00:00,8298428880,,inet masuk nih
2026-01-30 01:44:28+00:00,8298428880,,soalnya 2 scuritas itu yang mudah buat pemula
2026-01-30 01:44:05+00:00,8298428880,,paling awal nanti naik dulu
2026-01-30 01:43:56+00:00,5616233224,,2 itu mulu yg nongol top broker
2026-01-30 01:43:45+00:00,5616233224,,XL CC
2026-01-30 01:43:35+00:00,8298428880,,sekarang mah XL kaya big money
2026-01-30 01:43:35+00:00,5616233224,,tapi mg ambil sebanyak itu sih agak santai yaa
2026-01-30 01:43:12+00:00,5616233224,,emang xl ga ad akhlak wkkwkw
2026-01-30 01:43:06+00:00,5616233224,,xl sm yu banting di closing kmrn
2026-01-30 01:42:41+00:00,8298428880,,awokakak biar turun dlu makin turun makin asik
2026-01-30 01:42:10+00:00,5616233224,,iep closing kmrn aja dibanting YU
2026-01-30 01:41:59+00:00,5616233224,,ditiup mg dibanting YU wkkwkwk
2026-01-30 01:41:31+00:00,8298428880,,bumi kyanya di tiup nih MG
2026-01-30 01:12:16+00:00,6973520188,,sebelum maret bukan mei
2026-01-30 01:03:03+00:00,8578799464,,bumi membumi
2026-01-30 01:02:47+00:00,6689529081,Tungs12,Morning bangg apakah BUMI akan tergonjang ganjing lagi bang😂
2026-01-30 01:00:37+00:00,6266361205,rndromg,Morning teman-teman MA
2026-01-30 01:00:28+00:00,6266361205,rndromg,Pantau emitennya pak PP
2026-01-30 00:39:28+00:00,1045489091,,hijau hijau
2026-01-30 00:37:38+00:00,7544271139,,Bang hendra apa menu kita hari ini🙏🏼
2026-01-29 18:43:10+00:00,7499007916,Masway_77,lupakan dlu msci bang
2026-01-29 17:09:15+00:00,8137154252,fahri_syahputra,msci masih abu abu sampe bei berbenah sebelum MEI
2026-01-29 15:06:46+00:00,1636570491,,apakah dia bakal ngejar msci di Q2?
2026-01-29 15:06:22+00:00,1636570491,,guys untuk dewa gmn?
2026-01-29 14:47:32+00:00,5510150304,rizalman909,
2026-01-29 14:21:41+00:00,1845668474,Docniz17,
2026-01-29 14:21:36+00:00,1845668474,Docniz17,
2026-01-29 14:19:50+00:00,1845668474,Docniz17,
2026-01-29 13:53:49+00:00,461883983,Marcoss1234567,Cuan sepertinya
2026-01-29 13:53:35+00:00,5529722705,Evansusenoanggit,Saham apa ini Bang?
2026-01-29 12:40:36+00:00,8430375869,babigulingguling07,Pak PP😣
2026-01-29 12:40:24+00:00,8430375869,babigulingguling07,
2026-01-29 11:18:25+00:00,1467780818,yoezy,di guyur ko john😂
2026-01-29 10:25:11+00:00,6446170260,albrth_h,balik apaan bang turun lgi
2026-01-29 09:42:10+00:00,8465008433,,pendapat tentang buva gimana nih
2026-01-29 08:48:44+00:00,1882372691,,Balik tuh bang
2026-01-29 08:45:32+00:00,6628678400,,kerjaan mg bukan ya 🤣
2026-01-29 08:40:20+00:00,6446170260,albrth_h,eh diguyur
2026-01-29 08:40:17+00:00,6446170260,albrth_h,hasil cl kemaren di 570 bang terus tadi di 550 gua masukin lagi
2026-01-29 08:38:47+00:00,6797516069,,pelan pelan aja bre masuknya jangan all in
2026-01-29 08:38:24+00:00,6446170260,albrth_h,baru aja tambah muatan di dewa malah diguyur lagi bangke
2026-01-29 08:28:45+00:00,5428145225,,Untung dari kmaren sempat serok bull
2026-01-29 08:13:08+00:00,7837269261,,Pak pp emang 👍
2026-01-29 08:11:23+00:00,7837269261,,Alhamdulillah hari ini minis berkura
2026-01-29 08:09:40+00:00,1298932848,christiannwid,Uwenak rujak + es👍
2026-01-29 08:09:21+00:00,942175980,Nopriga,inet gimana bg
2026-01-29 08:08:58+00:00,7837269261,,Badan biyar aden
2026-01-29 07:20:29+00:00,2033007390,,Siap siap
2026-01-29 07:20:19+00:00,1866716641,Dwi_Syarif_Hidayat84,Perang Dingin dimulai
2026-01-29 07:19:40+00:00,6797516069,,gass
2026-01-29 07:18:15+00:00,6955191052,Lipooz661,Perang di mulai🔥🔥
2026-01-29 07:17:32+00:00,7788064691,,menyala
2026-01-29 07:17:19+00:00,1298932848,christiannwid,SAATNYA BALAS DENDAM🔥🔥
2026-01-29 07:09:56+00:00,6446170260,albrth_h,rebound
2026-01-29 06:47:00+00:00,6266361205,rndromg,Pak PP is the best 🔥🔥🔥
2026-01-29 06:37:29+00:00,8348398894,,Indekxnya langsung up
2026-01-29 06:35:41+00:00,6628678400,,telat udh loncat ke 7rb lg gilaaa
2026-01-29 06:31:02+00:00,6446170260,albrth_h,masuk bbca sekarang gimana gais
2026-01-29 06:27:57+00:00,6189942230,,tadi udah nyopet di cuan
2026-01-29 05:35:03+00:00,8430375869,babigulingguling07,Jiah MINA INET barengan lagi
2026-01-29 05:07:58+00:00,8493476827,,Saham cuan da gerak dikit
2026-01-29 04:31:18+00:00,1838751225,Oldschool242,bantu pak PP gendong ihsg gass
2026-01-29 04:22:22+00:00,6423182909,,Siap gendong IHSG
