"Tick","Price","%Chg"
"TRIM","660","-8.33"
"WINS","525","5"
"WIIM","1750","-3.31"
"ULTJ","1465","-1.01"
"MEDC","1515","-0.98"
"IPCM","332","-2.35"
"HMSP","810","0"
"DRMA","1045","-3.24"
"ASSA","1125","-6.64"
"INTP","6950","-0.71"
"KIJA","258","-7.86"
"PGAS","2120","-1.85"
"INCO","6375","-6.25"
"MPMX","1000","-1.96"
"KPIG","218","-11.38"
"LPKR","99","-10"
"NCKL","1395","-3.79"
"BGTG","127","-8.63"
"MAPA","665","-2.21"
"SILO","2600","-1.89"
"JPFA","2750","-4.51"
"GULA","426","-10.88"
"MDKA","3240","0.93"
"JAWA","173","-8.95"
"KETR","795","-9.14"
"TRIN","1010","-13.68"
"HRUM","1110","-8.64"
"TRUK","486","-13.21"
"NELY","394","-12.83"
"ERAL","350","-2.78"
"MYOR","2280","0.44"
"TKIM","7575","-6.77"
"ADRO","2210","-3.49"
"ASGR","1490","-3.25"
"HOPE","284","-14.46"
"AKRA","1280","-4.83"
"NASI","128","-0.78"
"SMDR","354","-9.69"
"AGII","1840","-5.64"
"INDX","165","3.77"
"CMRY","5350","0"
"INDY","3350","1.21"
"INKP","9325","-11.4"
"BBKP","77","-4.94"
"SWID","114","-13.64"
"CPRO","66","-8.33"
"EMAS","7000","0"
"ESSA","645","-9.79"
"FOLK","695","-14.72"
"MORA","13425","-14.9"
