"Tick","Price","%Chg(5)"
"JPFA","2750","-6.14"
"AGII","1840","15"
"KPIG","218","-20.44"
"NCKL","1395","-4.78"
"MBSS","1975","-23.45"
"INCO","6375","-1.16"
"HAIS","220","-9.84"
"HRUM","1110","-6.33"
"IMPC","3060","-13.8"
"WIIM","1750","-2.78"
"ADRO","2210","-2.21"
"ENRG","1420","-8.39"
"ASLI","500","-22.48"
"MDKA","3240","-2.11"
"ASGR","1490","16.86"
"AADI","7700","3.7"
"PGAS","2120","1.44"
"BRMS","1105","-12.65"
"UANG","5225","-16.4"
"MITI","360","-14.69"
"DAAZ","3750","2.46"
"GULA","426","9.79"
"NELY","394","-12.05"
"ERAL","350","4.17"
"KETR","795","-17.62"
"SMGA","112","-4.27"
