iter	Logloss
406	0.5546733271
407	0.5545978688
408	0.554519645
409	0.5544575055
410	0.5543895619
411	0.5543219574
412	0.554247706
413	0.5541864396
414	0.5541206241
415	0.554063859
416	0.5540190186
417	0.5539685775
418	0.5539127999
419	0.5538513517
420	0.5538293678
421	0.5537191228
422	0.5536747696
423	0.5535973877
424	0.5535105766
425	0.5534726611
426	0.55343321
427	0.5533676769
428	0.5533034825
429	0.553225575
430	0.5531485213
431	0.5531125514
432	0.5530431371
433	0.552986486
434	0.5529047879
435	0.5528248627
436	0.5527926763
437	0.5527313262
438	0.5526356602
439	0.552571686
440	0.5524673054
441	0.5524023259
442	0.55232191
443	0.5522675542
444	0.5522153395
445	0.5521520907
446	0.5521195665
447	0.5520304683
448	0.5519810118
449	0.5519057427
450	0.5518386245
451	0.5517683245
452	0.55168202
453	0.5516210752
454	0.551557983
455	0.5514990306
456	0.5514248842
457	0.551375091
458	0.5513218704
459	0.5512560876
460	0.5512086603
461	0.5511510962
462	0.5510968725
463	0.5510234835
464	0.5509767681
465	0.5509064092
466	0.5508672247
467	0.5507731939
468	0.5507635853
469	0.5507180241
470	0.5506434256
471	0.5505839739
472	0.5505031582
473	0.550445605
474	0.5503565877
475	0.5502935228
476	0.5502065485
477	0.5501427069
478	0.5500575788
479	0.5499853535
480	0.5499462723
481	0.5498703002
482	0.5498122525
483	0.5497579489
484	0.5496744092
485	0.5495924648
486	0.5495470796
487	0.5494901458
488	0.5494187528
489	0.5493761064
490	0.5493250093
491	0.5492911404
492	0.5492466763
493	0.5491872409
494	0.5491186793
495	0.5490665978
496	0.5490485701
497	0.5489955211
498	0.5489357435
499	0.5489065414
500	0.5488544395
501	0.5487957016
502	0.5487462361
503	0.5486677888
504	0.548604935
505	0.5485223767
506	0.5484544067
507	0.5483801317
508	0.5483417996
509	0.5482927235
510	0.5482441705
511	0.5481629384
512	0.5481163414
513	0.5480692908
514	0.5480201193
515	0.5479599121
516	0.5479126613
517	0.5478492569
518	0.5478124275
519	0.5477305511
520	0.5476509376
521	0.5476342475
522	0.5475658788
523	0.5475047051
524	0.5474587071
525	0.547402148
526	0.5473483319
527	0.547288635
528	0.5472565904
529	0.5472136966
530	0.5471552569
531	0.547083898
532	0.5470248651
533	0.5469703718
534	0.5469162469
535	0.5468832225
536	0.5467983847
537	0.5467374829
538	0.5466852126
539	0.5465897051
540	0.5465688646
541	0.5464911814
542	0.5464433456
543	0.5464105579
544	0.5463523554
545	0.5462718367
546	0.5461973142
547	0.5461267125
548	0.5460421066
549	0.5459982339
550	0.545969319
551	0.5459321627
552	0.5458787399
553	0.5458021529
554	0.5457424034
555	0.5456556846
556	0.5455850694
557	0.5455106941
558	0.5454722363
559	0.5454075358
560	0.5453295506
561	0.5452585764
562	0.545196548
563	0.5451613183
564	0.5450977991
565	0.5450698051
566	0.5450066653
567	0.5449392099
568	0.5448785886
569	0.5448096993
570	0.544788993
571	0.5447354741
572	0.5446890035
573	0.5446376153
574	0.5445709948
575	0.5445221989
576	0.5444435349
577	0.5443987949
578	0.5443700418
579	0.544308757
580	0.5442944545
581	0.544224757
582	0.5441852537
583	0.5441216702
584	0.5440594279
585	0.5439981225
586	0.5439689232
587	0.543893172
588	0.5438446897
589	0.5437931208
590	0.5437488865
591	0.543673446
592	0.543653183
593	0.5436279435
594	0.5435829553
595	0.5435330088
596	0.5434713645
597	0.5434453624
598	0.5434022553
599	0.5433508873
600	0.5432870145
601	0.5432375098
602	0.5431919267
603	0.5431463688
604	0.5430794951
605	0.5430431402
606	0.5429901405
607	0.5429464487
608	0.5428727767
609	0.5428185336
610	0.5427615542
611	0.542709062
612	0.5426502992
613	0.5425770043
614	0.5425479426
615	0.5425098042
616	0.5424502627
617	0.5423944856
618	0.542333726
619	0.5422653036
620	0.5422101394
621	0.5421565321
622	0.5421054653
623	0.5420535576
624	0.5419881022
625	0.5419670334
626	0.5418865033
627	0.5418315411
628	0.5417780055
629	0.5417130911
630	0.5416667341
631	0.5416067744
632	0.5415674101
633	0.5415245046
634	0.5414442482
635	0.5413812717
636	0.5413369781
637	0.5412820443
638	0.5412674611
639	0.541200242
640	0.5411277206
641	0.5410652872
642	0.5410299291
643	0.5410030573
644	0.5409612724
645	0.5408891252
646	0.5408117326
647	0.5407580623
648	0.5407019367
649	0.5406527106
650	0.5406007579
651	0.5405469022
652	0.5404674956
653	0.5403971082
654	0.5403455427
655	0.5403123494
656	0.5402540404
657	0.540212778
658	0.5401777587
659	0.5401123139
660	0.5400374948
661	0.5399903573
662	0.5399138532
663	0.5398984368
664	0.5398472877
665	0.5398196087
666	0.5397519454
667	0.539687157
668	0.5396274002
669	0.5395955354
670	0.5395422113
671	0.5394901395
672	0.5394442586
673	0.5393746701
674	0.5393326848
675	0.5392789016
676	0.5392371419
677	0.5391878292
678	0.5391465789
679	0.5390953287
680	0.5390455173
681	0.5389867835
682	0.5389088847
683	0.5388479943
684	0.5387677941
685	0.5387325631
686	0.538692551
687	0.5386313072
688	0.5385596417
689	0.5385032885
690	0.5384629281
691	0.5384235832
692	0.5383821489
693	0.538349432
694	0.5383107982
695	0.5382818521
696	0.5382501581
697	0.5382006799
698	0.5381292321
699	0.5380776799
700	0.5380377073
701	0.5380148564
702	0.5379779709
703	0.5379230937
704	0.5378690484
705	0.5378154302
706	0.5377936915
707	0.5377575399
708	0.5377271544
709	0.5377017084
710	0.5376660637
711	0.5376023827
712	0.5375523678
713	0.5375056294
714	0.537468139
715	0.5374146234
716	0.5373742298
717	0.5373308035
718	0.5372930993
719	0.5372524721
720	0.5372088904
721	0.5371584775
722	0.5371217568
723	0.5370540932
724	0.5370242161
725	0.5369940369
726	0.5369525555
727	0.536905139
728	0.5368622457
729	0.5368310925
730	0.536748788
731	0.5366786665
732	0.5366287359
733	0.5366056753
734	0.5365487857
735	0.5364772436
736	0.5364513194
737	0.5364298878
738	0.536381089
739	0.5363151867
740	0.5362668858
741	0.5362056613
742	0.5361823014
743	0.5361461432
744	0.5360970157
745	0.536060354
746	0.5359937945
747	0.535967248
748	0.5359360606
749	0.5358786436
750	0.5358143121
751	0.5357406662
752	0.5356927658
753	0.5356761118
754	0.5356397672
755	0.5355948071
756	0.5355623601
757	0.5355262469
758	0.5354957884
759	0.5354526778
760	0.5354189916
761	0.53537303
762	0.5353377151
763	0.5353110779
764	0.5352938586
765	0.5352549331
766	0.5351991208
767	0.5351456194
768	0.5351103956
769	0.5350625082
770	0.5349977237
771	0.5349307707
772	0.5348789117
773	0.5348318142
774	0.534774073
775	0.5347203509
776	0.5347054466
777	0.5346555496
778	0.5346046604
779	0.5345491849
780	0.5344783812
781	0.5344268402
782	0.5343942083
783	0.5343079922
784	0.5342650715
785	0.5342169097
786	0.5341741602
787	0.5341569506
788	0.5340906001
789	0.5340492996
790	0.5339952574
791	0.5339762036
792	0.5339217718
793	0.5339053801
794	0.5338551755
795	0.533826568
796	0.5337609588
797	0.5337293971
798	0.5336670306
799	0.5336219999
800	0.5335644746
801	0.5335068119
802	0.5334591887
803	0.5334240892
804	0.5333621259
805	0.5333313278
806	0.5332676181
807	0.5332120194
808	0.5331899374
809	0.5331565495
810	0.5330876878
811	0.533053465
812	0.5330019159
813	0.5329833344
814	0.5329519538
815	0.5329058804
816	0.5328926782
817	0.5328304293
818	0.5327817198
819	0.5327393221
820	0.5326882879
821	0.5326486764
822	0.5326056785
823	0.5325759243
824	0.5325587653
825	0.5324906168
826	0.5324472199
827	0.5323819052
828	0.5323257748
829	0.5322591845
830	0.5322160895
831	0.5321705731
832	0.5321525684
833	0.5320938234
834	0.5320492903
835	0.5319994415
836	0.5319482095
837	0.53189283
838	0.5318571518
839	0.5318155581
840	0.5317620052
841	0.5317485716
842	0.5317046408
843	0.5316401525
844	0.5315967145
845	0.5315531944
846	0.531496298
847	0.5314512309
848	0.5314117924
849	0.531378445
850	0.5313389281
851	0.5312810669
852	0.5312558389
853	0.5312397229
854	0.5311772803
855	0.5311388483
856	0.531070822
857	0.5310552019
858	0.5310212131
859	0.5309897806
860	0.5309215396
861	0.5308706569
862	0.530834667
863	0.5307844138
864	0.5307250551
865	0.5306746238
866	0.5306589576
867	0.530585879
868	0.5305281423
