iter	Passed	Remaining
400	18257	27272
401	18311	27238
402	18362	27202
403	18411	27160
404	18454	27112
405	18501	27068
406	18550	27027
407	18592	26976
408	18643	26939
409	18688	26893
410	18747	26866
411	18801	26833
412	18854	26797
413	18924	26786
414	19006	26792
415	19068	26768
416	19116	26726
417	19168	26688
418	19223	26656
419	19278	26622
420	19328	26582
421	19385	26551
422	19436	26512
423	19485	26470
424	19534	26428
425	19588	26393
426	19637	26352
427	19686	26310
428	19736	26269
429	19780	26220
430	19830	26180
431	19877	26134
432	19928	26095
433	19976	26052
434	20025	26009
435	20075	25969
436	20124	25927
437	20174	25885
438	20226	25848
439	20279	25809
440	20324	25763
441	20379	25728
442	20433	25691
443	20516	25692
444	20568	25653
445	20628	25624
446	20697	25605
447	20750	25568
448	20794	25517
449	20846	25479
450	20888	25426
451	20942	25390
452	20986	25341
453	21032	25294
454	21076	25245
455	21118	25194
456	21161	25143
457	21201	25089
458	21242	25037
459	21284	24986
460	21328	24937
461	21373	24889
462	21414	24837
463	21456	24786
464	21500	24737
465	21542	24686
466	21584	24635
467	21624	24582
468	21664	24528
469	21707	24479
470	21750	24428
471	21792	24377
472	21834	24327
473	21874	24274
474	21914	24221
475	21951	24165
476	21994	24115
477	22038	24066
478	22080	24016
479	22122	23965
480	22162	23912
481	22201	23860
482	22243	23808
483	22289	23762
484	22337	23719
485	22400	23691
486	22456	23655
487	22507	23614
488	22562	23577
489	22619	23542
490	22668	23499
491	22712	23450
492	22749	23395
493	22793	23346
494	22833	23295
495	22875	23244
496	22919	23196
497	22956	23140
498	22998	23090
499	23038	23038
500	23078	22986
501	23226	23041
502	23266	22988
503	23306	22937
504	23350	22887
505	23392	22838
506	23438	22791
507	23478	22739
508	23520	22688
509	23582	22658
510	23653	22635
511	23712	22600
512	23765	22560
513	23816	22519
514	23869	22478
515	23911	22428
516	23961	22386
517	24006	22337
518	24042	22282
519	24081	22229
520	24123	22179
521	24222	22181
522	24284	22148
523	24335	22106
524	24386	22064
525	24440	22024
526	24493	21983
527	24546	21943
528	24593	21897
529	24633	21844
530	24671	21790
531	24711	21738
532	24754	21689
533	24798	21641
534	24838	21588
535	24890	21547
536	24941	21504
537	25060	21520
538	25179	21535
539	25248	21507
540	25314	21477
541	25395	21459
542	25438	21409
543	25481	21359
544	25523	21308
545	25563	21256
546	25608	21208
547	25743	21233
548	25796	21191
549	25835	21137
550	25880	21089
551	25922	21038
552	25964	20987
553	26008	20938
554	26048	20885
555	26092	20836
556	26160	20806
557	26216	20766
558	26258	20715
559	26300	20664
560	26346	20616
561	26392	20569
562	26434	20518
563	26477	20468
564	26524	20421
565	26561	20367
566	26603	20316
567	26645	20265
568	26691	20217
569	26801	20218
570	26861	20181
571	26908	20134
572	26961	20091
573	27007	20044
574	27060	20000
