"Tick","Price","%Chg(5)"
"SILO","2800","11.55"
"MORA","13150","-3.13"
"MAPA","680","5.43"
"ALII","795","-12.15"
"ENRG","1210","-20.39"
"HMSP","775","-4.91"
"BABP","60","-6.25"
"DGIK","128","-8.57"
"TUGU","1120","-3.86"
"BGTG","133","-2.21"
"MYOR","2210","0.91"
"NIKL","370","-7.04"
"ADMR","2100","-3.23"
"SSTM","3200","-15.79"
"VKTR","940","-21.34"
"ESTA","262","-36.1"
"ASLI","550","-9.09"
"AGII","2000","25.79"
"FOLK","685","-26.34"
"KPIG","197","-31.12"
"KOKA","234","-12.69"
"BVIC","127","-8.63"
"ASSA","1140","-4.2"
"AYLS","218","-19.26"
"NELY","406","-9.38"
"ELSA","645","9.32"
"ADRO","2220","-5.53"
"ESSA","670","0"
"ASII","6475","-4.43"
"INKP","9100","-14.15"
"BUVA","1230","-37.88"
"JAST","108","6.93"
"UVCR","174","-11.22"
"TRON","190","-25.2"
"SMDR","350","-13.37"
"HRTA","2330","0.43"
"GTRA","362","7.74"
"ERAL","356","4.71"
"ASGR","1560","-1.89"
"BNGA","1815","-2.68"
"ISSP","462","0"
"NASI","133","4.72"
"AMAN","218","-27.33"
"NCKL","1370","-5.19"
"ISAT","2240","-7.44"
"SRTG","1730","-9.66"
