"Tick","Price","%Chg"
"LPPF","1895","4.41"
"BGTG","133","4.72"
"AGII","2000","8.7"
"MITI","348","-3.33"
"IPCC","1275","0.39"
"KETR","800","0.63"
"CGAS","176","-1.68"
"ASGR","1560","4.7"
"ADRO","2220","0.45"
"BULL","488","4.27"
"UVCR","174","3.57"
"GULA","404","-5.16"
"BRMS","1070","-3.17"
"IRSX","595","1.71"
"DAAZ","3360","-10.4"
"ASLI","550","10"
"ERAL","356","1.71"
"INKP","9100","-2.41"
"AYAM","420","3.96"
