"Tick","Price","%Chg(5)"
"AGII","2000","25.79"
"NCKL","1370","-5.19"
"LPPF","1895","1.61"
"JPFA","2600","-9.72"
"UVCR","174","-11.22"
"ASLI","550","-9.09"
"MITI","348","-15.12"
"ASGR","1560","-1.89"
"INCO","6100","-6.51"
"KETR","800","-18.37"
"WIIM","1670","-7.22"
"ADRO","2220","-5.53"
"ASII","6475","-4.43"
"CGAS","176","-8.81"
"BULL","488","-15.86"
"BRMS","1070","-13.01"
"IPCC","1275","-2.3"
"IRSX","595","-16.78"
"PGAS","2080","-3.7"
"BGTG","133","-2.21"
"MDKA","3170","-2.16"
"NELY","406","-9.38"
"GULA","404","-6.91"
"UANG","4450","-40.67"
"DAAZ","3360","-26.48"
"HRTA","2330","0.43"
"ERAL","356","4.71"
