"Tick","Price","%Chg"
"LPPF","1895","4.41"
"ASSA","1140","1.33"
"TOTL","1020","-0.97"
"MITI","348","-3.33"
"SMDR","350","-1.13"
"IPCM","330","-0.6"
"SILO","2800","7.69"
"MAPA","680","2.26"
"TRIN","1075","6.44"
"ULTJ","1475","0.68"
"TRUK","535","10.08"
"AYLS","218","-4.39"
"NISP","1415","0.35"
"ASGR","1560","4.7"
"ERAL","356","1.71"
"NASI","133","3.91"
"HMSP","775","-4.32"
"BGTG","133","4.72"
"ADRO","2220","0.45"
"HRTA","2330","-2.92"
"OASA","400","3.63"
"INDY","3410","1.79"
"AGII","2000","8.7"
"KIOS","154","26.23"
"ISAT","2240","1.82"
"GULA","404","-5.16"
"WINS","540","2.86"
"CITA","4690","-4.48"
"INCO","6100","-4.31"
"MYOR","2210","-3.07"
"ASII","6475","4.86"
"WIIM","1670","-4.57"
"LPKR","96","-3.03"
"KETR","800","0.63"
"MEDC","1505","-0.66"
"SSTM","3200","9.22"
"BULL","488","4.27"
"NELY","406","3.05"
"TLKM","3450","-0.58"
"KPIG","197","-9.63"
"ENRG","1210","-14.79"
