date,sender_id,username,message
2026-01-19 02:40:08+00:00,7210522128,,oasa gimana ya kak? 🙏
2026-01-19 02:38:04+00:00,1870289927,Abdullah_dudung,ijo profit tipis
2026-01-19 02:24:04+00:00,7978383882,aliska69069,kluar ijo apa merah
2026-01-19 02:23:17+00:00,1870289927,Abdullah_dudung,Udh bersih saya
2026-01-19 02:22:05+00:00,7978383882,aliska69069,
2026-01-19 02:22:00+00:00,7978383882,aliska69069,hapus ah takut kena pasal insider
2026-01-19 02:21:00+00:00,7978383882,aliska69069,wkwkw
2026-01-19 02:20:57+00:00,7978383882,aliska69069,@Abdullah_dudung masih ada barang ESTI mas ?
2026-01-19 02:20:09+00:00,1870289927,Abdullah_dudung,ketika dia turun dulu ke 140 an akan saya serokkk
2026-01-19 02:19:54+00:00,1870289927,Abdullah_dudung,"di BKSL agak lama sepertinya bakal jadi swing panjang, target terdekat saya di 170"
2026-01-19 02:17:17+00:00,7978383882,aliska69069,"LPKR +10%, bksl yg masih busuk turun ke 4% floting profit nya"
2026-01-19 02:16:30+00:00,7978383882,aliska69069,"masih aman mas, ini masih 500rb an merah nya bru 1.4% aman lah wkwwk"
2026-01-19 02:14:03+00:00,7978383882,aliska69069,@Viwit_Kurnia ni penghuni ZATA tumben gk ada suaranya
2026-01-19 02:13:55+00:00,1870289927,Abdullah_dudung,klo XAU ATH gini yang paling gacor itu di $HRTA dia biasanya paling bersinar diantara yang lain
2026-01-19 02:12:03+00:00,7401534271,,kemaren xl mendominasi
2026-01-19 02:11:54+00:00,7401534271,,ritel lagi pada jualan kaya nyaa
2026-01-19 02:11:15+00:00,7978383882,aliska69069,iya
2026-01-19 02:10:59+00:00,7401534271,,average di 1955 bang?
2026-01-19 02:10:31+00:00,7978383882,aliska69069,match di harga 1955
2026-01-19 02:09:34+00:00,1870289927,Abdullah_dudung,dahh pada TP belum yang BSJP guyss
2026-01-19 02:09:19+00:00,7401534271,,oke siap bang
2026-01-19 02:09:11+00:00,1870289927,Abdullah_dudung,aman di arci dari teknikalnya menarik
2026-01-19 02:08:45+00:00,1870289927,Abdullah_dudung,hold aja dulu tp di 3% masih sangat possible
2026-01-19 02:08:10+00:00,7978383882,aliska69069,arci langsung minus 1% stelah match bnyak yg TP atau kena trailing stop ya
2026-01-19 02:07:06+00:00,7401534271,,aman berarti untuk di hold ya bang?
2026-01-19 02:06:49+00:00,1870289927,Abdullah_dudung,inii menarik buat swing
2026-01-19 02:06:03+00:00,7864837330,Maheyud65,
2026-01-19 02:05:41+00:00,1870289927,Abdullah_dudung,iyh batu bara dia keselip wkkw
2026-01-19 02:05:20+00:00,7978383882,aliska69069,ARCI match
2026-01-19 02:04:57+00:00,7978383882,aliska69069,antm dpet match
2026-01-19 02:04:28+00:00,7978383882,aliska69069,ptba bkanya batu bara ?
2026-01-19 02:04:12+00:00,1870289927,Abdullah_dudung,pasang bid di ara wakk pasti dapet pake caranya fca
2026-01-19 02:03:46+00:00,1870289927,Abdullah_dudung,flyy🚀🚀
2026-01-19 02:03:32+00:00,1870289927,Abdullah_dudung,after
