Nama Waran,Nama Penerbit,Tipe,Bid Dasar (Rp),Harga Pelaksanaan (Rp),Rasio Pelaksanaan,Tanggal Kedaluwarsa,Sensitivitas Waran (Tick),Efek Pengungkit (x),Volatilitas Tersirat (%),Jarak Waktu Kedaluwarsa (hari),Delta (%),Premi (%),Theta (Rp),Nilai Intrinsik,Volume Bid ('00),Harga Bid (Rp),Harga Ask (Rp),Volume Ask ('00),Volume Transaksi ('00),Perubahan Harga (%)
BRISDRCJ6A,RHB,CALL,2380,2900,12.0000,23 Apr 26,3.7,5.9,69.5,69,32.7,27.4,-0.1692,22% OTM,0,11,0,0,0,-8.3
BRISHDCH6A,KGI,CALL,2380,2893,10.0000,31 Mar 26,3.2,6.2,81.8,46,31.2,26.6,-0.2803,22% OTM,30000,12,51,3514,0,-7.7
BRISYUCN6A,CGS,CALL,2380,2800,6.0000,11 May 26,1.2,3.5,99.5,87,48.0,31.5,-0.4726,18% OTM,0,55,0,0,0,-3.5
BRISZPCG6A,Maybank,CALL,2380,2750,10.0000,27 Feb 26,4.9,12.2,80.0,14,20.5,17.2,-0.3890,16% OTM,0,4,0,0,210,0
BRMSBQCH6A,KISI,CALL,1075,1230,4.0000,31 Mar 26,1.9,4.6,99.9,46,43.2,23.7,-0.4285,14% OTM,0,25,0,0,0,-7.4
BRMSBQCM6A,KISI,CALL,1075,1350,4.0000,30 Jun 26,1.5,2.6,113.6,137,52.6,46.0,-0.2918,26% OTM,0,55,0,0,0,-5.2
BRMSDRCJ6A,RHB,CALL,1075,490,3.0000,23 Apr 26,0.6,1.8,83.1,69,99.2,0.8,-0.0577,54% ITM,0,198,0,0,1709,-2.9
BRMSDRCN6A,RHB,CALL,1075,1625,3.0000,2 Jul 26,1.4,2.9,110.8,139,41.5,65.7,-0.3662,51% OTM,0,52,0,0,0,-3.7
BRMSHDCH6A,KGI,CALL,1075,447,2.0000,31 Mar 26,0.8,1.7,130.0,46,98.4,0.7,-0.1547,58% ITM,11000,318,260,11000,4,-2.5
BRMSYUCN6A,CGS,CALL,1075,1100,4.0000,11 May 26,1.2,2.1,163.3,87,65.4,33.2,-0.4759,2% OTM,0,83,0,0,0,-2.4
BRMSZPCG6A,Maybank,CALL,1075,430,2.0000,27 Feb 26,0.8,1.6,268.1,14,97.8,0.7,-0.5760,60% ITM,0,326,0,0,5,-1.8
BRMSZPCN6A,Maybank,CALL,1075,1050,7.0000,31 Jul 26,2.1,2.3,101.7,168,66.8,27.0,-0.1278,2% ITM,0,45,0,0,0,-2.2
BRPTBQCH6A,KISI,CALL,2240,4500,10.0000,31 Mar 26,6.3,4.4,151.9,46,15.8,104.5,-0.3229,101% OTM,0,8,0,0,0,+14.3
BRPTBQCK6A,KISI,CALL,2240,4990,10.0000,29 May 26,6.2,4.0,112.4,105,16.2,126.8,-0.1639,123% OTM,0,9,0,0,0,0
BRPTDRCH6A,RHB,CALL,2240,5250,5.0000,16 Mar 26,6.2,5.2,175.4,31,8.1,135.9,-0.5626,134% OTM,0,7,0,0,0,0
BRPTDRCJ6A,RHB,CALL,2240,2550,7.0000,23 Apr 26,1.4,3.6,105.2,69,49.2,27.6,-0.4497,14% OTM,0,44,0,0,20,-10.2
BRPTHDCH6A,KGI,CALL,2240,2428,5.0000,19 Mar 26,1.0,4.5,114.5,34,48.7,19.3,-0.9578,8% OTM,0,49,0,0,0,-14.0
BRPTHDCH6B,KGI,CALL,2240,2628,5.0000,31 Mar 26,1.2,4.5,106.4,46,41.9,26.7,-0.7524,17% OTM,10000,42,332,10000,0,-14.3
BRPTHDCN6A,Maybank,CALL,2240,4058,12.0000,30 Jul 26,3.6,3.0,105.1,167,33.5,92.4,-0.1546,81% OTM,0,21,0,0,0,-8.7
BRPTZPCK6A,Maybank,CALL,2240,2450,20.0000,25 May 26,3.6,3.0,102.6,101,55.9,28.1,-0.1278,9% OTM,50000,21,91,50000,573,-8.7
BRPTZPCN6A,Maybank,CALL,2240,3650,14.0000,31 Jul 26,3.7,2.9,102.3,168,38.2,76.1,-0.1354,63% OTM,0,21,0,0,0,-4.5
BSDEBQCK6A,KISI,CALL,900,1200,5.0000,29 May 26,3.1,4.8,73.3,105,31.8,40.0,-0.1307,33% OTM,10000,12,36,10000,1,0
BSDEDRCJ6A,RHB,CALL,900,920,6.0000,23 Apr 26,2.2,5.8,55.5,69,53.8,11.6,-0.1196,2% OTM,0,14,0,0,107,0
BSDEHDCM6A,KGI,CALL,900,1145,4.0000,10 Jun 26,2.6,5.7,56.5,117,30.6,32.6,-0.1211,27% OTM,100,12,35,21578,595,-7.7
BSDEYUCN6A,CGS,CALL,900,920,5.0000,11 May 26,1.6,2.6,121.9,87,61.6,25.6,-0.2512,2% OTM,0,42,0,0,0,0
BSDEZPCH6A,Maybank,CALL,900,850,5.0000,31 Mar 26,1.5,5.4,62.5,46,66.2,6.7,-0.1814,6% ITM,0,22,0,0,44,-4.3
BSDEZPCN6A,Maybank,CALL,900,1000,7.0000,31 Jul 26,2.7,3.7,61.9,168,52.1,25.1,-0.0755,11% OTM,0,18,0,0,0,0
BTPSDRCK6A,RHB,CALL,1220,1651,5.8264,25 May 26,3.9,4.9,74.3,101,30.2,41.5,-0.1531,35% OTM,1260,13,44,10000,101,0
BTPSHDCJ6A,KGI,CALL,1220,1527,3.8843,28 Apr 26,2.5,5.7,70.5,74,31.1,30.6,-0.2568,25% OTM,1259,17,63,4345,0,0
BTPSYUCN6A,CGS,CALL,1220,1500,6.0000,11 May 26,2.8,3.9,91.2,87,42.2,33.8,-0.2185,23% OTM,0,22,0,0,0,0
BTPSZPCH6A,Maybank,CALL,1220,1311,9.7106,31 Mar 26,4.0,5.0,85.6,46,48.0,17.0,-0.1766,7% OTM,0,12,0,0,1,0
BUKABQCV6A,KISI,CALL,150,198,2.0000,30 Oct 26,3.2,1.9,123.7,259,62.3,65.3,-0.0624,32% OTM,0,25,0,0,0,0
BUKADRCK6A,RHB,CALL,150,210,2.0000,25 May 26,6.6,4.5,81.2,101,30.2,46.7,-0.0594,40% OTM,57673,5,15,50000,9830,0
BUKAHDCN6A,KGI,CALL,150,191,1.5000,14 Jul 26,3.0,2.8,99.9,151,50.0,45.3,-0.0923,27% OTM,0,18,0,0,0,+5.9
BUKAYUCN6A,CGS,CALL,150,200,1.0000,11 May 26,2.4,3.3,113.7,87,41.9,46.0,-0.1972,33% OTM,0,19,0,0,0,0
BUKAZPCM6A,Maybank,CALL,150,190,1.0000,30 Jun 26,2.4,3.7,77.2,137,42.2,38.0,-0.1121,27% OTM,5000,17,35,5000,21,0
BUKAZPCU6A,Maybank,CALL,150,170,1.5000,30 Sep 26,2.6,2.6,79.3,229,57.9,35.3,-0.0620,13% OTM,0,22,0,0,0,+4.8
BUMIBQCU6A,KISI,CALL,268,452,2.5000,30 Sep 26,2.2,1.9,142.8,229,56.0,98.5,-0.1109,69% OTM,0,32,0,0,0,0
BUMIDRCM6A,RHB,CALL,268,360,1.0000,10 Jun 26,1.0,2.5,129.8,117,50.1,54.1,-0.3547,34% OTM,0,53,0,0,0,-3.6
BUMIHDCQ6A,KGI,CALL,268,314,1.2000,13 Aug 26,1.1,2.8,84.9,181,54.2,36.4,-0.1646,17% OTM,0,43,0,0,0,-2.3
BUMIZPCQ6A,Maybank,CALL,268,300,1.0000,31 Aug 26,0.8,2.5,89.6,199,59.1,35.4,-0.1953,12% OTM,0,63,0,0,0,-3.1
CMRYDRCK6A,RHB,CALL,5300,5400,12.0000,25 May 26,0.8,3.9,69.5,101,57.8,16.6,-0.3572,2% OTM,5000,65,85,5000,2,-12.2
CMRYHDCN6A,KGI,CALL,5300,6008,15.0000,1 Jul 26,1.2,3.7,69.6,138,49.8,26.7,-0.2487,13% OTM,0,47,0,0,0,-11.3
CMRYZPCJ6A,Maybank,CALL,5300,5194,24.5000,30 Apr 26,1.6,4.1,72.2,76,61.0,12.8,-0.2033,2% ITM,0,32,0,0,0,-11.1
CPINDRCN6A,RHB,CALL,4440,5475,9.0000,2 Jul 26,2.1,4.0,70.6,139,42.5,34.1,-0.3396,23% OTM,0,53,0,0,0,-1.9
CPINHDCN6A,KGI,CALL,4440,5686,10.0000,1 Jul 26,3.0,5.1,57.7,138,33.4,34.6,-0.2353,28% OTM,0,29,0,0,0,-3.3
CPINZPCJ6A,Maybank,CALL,4440,5400,20.0000,30 Apr 26,5.6,5.3,72.9,76,35.6,28.4,-0.1960,22% OTM,0,15,0,0,38,0
