Nama Waran,Nama Penerbit,Tipe,Bid Dasar (Rp),Harga Pelaksanaan (Rp),Rasio Pelaksanaan,Tanggal Kedaluwarsa,Sensitivitas Waran (Tick),Efek Pengungkit (x),Volatilitas Tersirat (%),Jarak Waktu Kedaluwarsa (hari),Delta (%),Premi (%),Theta (Rp),Nilai Intrinsik,Volume Bid ('00),Harga Bid (Rp),Harga Ask (Rp),Volume Ask ('00),Volume Transaksi ('00),Perubahan Harga (%)
HEALBQCZ6A,KISI,CALL,1365,1850,8.0000,30 Dec 26,2.4,1.7,131.0,320,66.5,75.4,-0.1297,36% OTM,0,68,0,0,0,-2.9
HEALDRCJ6A,RHB,CALL,1365,1750,6.0000,23 Apr 26,4.2,5.9,73.3,69,28.4,33.0,-0.1908,28% OTM,0,11,0,0,0,+10.0
HEALHDCH6A,KGI,CALL,1365,1600,5.0000,19 Mar 26,2.3,4.2,131.7,34,43.1,27.5,-0.6547,17% OTM,0,28,0,0,0,-6.7
HEALZPCH6A,Maybank,CALL,1365,1400,8.0000,31 Mar 26,3.0,5.1,79.3,46,53.5,13.1,-0.2244,3% OTM,0,18,0,0,54,-10.0
HEALZPCN6A,Maybank,CALL,1365,1650,7.0000,31 Jul 26,3.4,4.5,55.3,168,41.5,30.1,-0.0996,21% OTM,0,18,0,0,0,-5.3
HRUMBQCQ6A,KISI,CALL,1140,1480,8.0000,31 Aug 26,2.7,2.1,122.3,199,58.5,57.9,-0.1362,30% OTM,0,40,0,0,0,+2.6
HRUMDRCN6A,RHB,CALL,1140,1600,3.5000,2 Jul 26,2.1,4.1,75.9,139,33.7,48.6,-0.2197,40% OTM,50000,27,43,1156,89,+8.0
HRUMHDCK6A,KGI,CALL,1140,1257,3.0000,11 May 26,1.3,5.4,59.6,87,45.2,18.7,-0.2841,10% OTM,23000,32,52,1296,616,+3.2
HRUMHDCQ6A,KGI,CALL,1140,1156,5.0000,13 Aug 26,1.6,3.0,71.6,181,62.1,22.5,-0.1426,1% OTM,0,48,0,0,0,+4.3
HRUMZPCG6A,Maybank,CALL,1140,900,5.0000,27 Feb 26,1.1,4.2,89.8,14,92.6,0.9,-0.2373,21% ITM,0,50,0,0,0,+6.4
HRUMZPCM6A,Maybank,CALL,1140,1300,6.0000,30 Jun 26,2.4,3.8,70.2,137,49.4,27.2,-0.1350,14% OTM,5108,25,34,5000,12,+4.2
HRUMZPCQ6A,Maybank,CALL,1140,1155,7.0000,31 Aug 26,2.2,2.9,69.1,199,62.6,22.8,-0.0947,1% OTM,0,35,0,0,0,+6.1
HRUMZPCU6A,Maybank,CALL,1140,1200,8.0000,30 Sep 26,2.7,3.2,58.0,229,59.3,23.5,-0.0691,5% OTM,0,26,0,0,0,+4.0
ICBPDRCX6A,RHB,CALL,8175,6933,0.9765,26 Nov 26,0.5,2.5,60.0,286,75.8,15.6,-3.3039,15% ITM,0,2580,0,0,0,-0.4
ICBPDRCX6B,RHB,CALL,8175,12200,25.0000,19 Nov 26,2.6,3.4,65.1,279,38.0,60.6,-0.1475,49% OTM,0,37,0,0,0,0
ICBPHDCJ6A,KGI,CALL,8175,11413,15.0000,14 Apr 26,7.3,11.2,52.6,60,8.2,40.3,-0.1563,40% OTM,19000,4,32,19000,241,0
ICBPZPCQ6A,Maybank,CALL,8175,9000,40.0000,31 Aug 26,3.3,5.2,38.8,199,48.8,19.4,-0.0774,10% OTM,0,19,0,0,0,0
INCOBQCJ6A,KISI,CALL,7150,5225,12.0000,30 Apr 26,0.6,2.7,84.7,76,85.3,4.8,-0.4225,27% ITM,10000,189,53,10000,3,+13.2
INCOBQCN6A,KISI,CALL,7150,5900,12.0000,31 Jul 26,0.6,2.3,87.3,168,75.4,15.2,-0.3902,17% ITM,0,195,0,0,0,+11.4
INCODRCK6A,RHB,CALL,7150,4500,10.0000,25 May 26,0.9,2.4,69.3,101,93.5,2.7,-0.2525,37% ITM,10000,284,89,2724,3,+11.8
INCODRCM6A,RHB,CALL,7150,5400,4.5000,10 Jun 26,1.1,2.6,75.3,117,82.5,7.0,-0.9345,24% ITM,0,500,0,0,0,+13.1
INCOHDCJ6A,KGI,CALL,7150,4077,10.0000,28 Apr 26,0.8,2.1,84.9,74,95.6,1.8,-0.2569,43% ITM,17000,320,104,3886,2,+11.1
INCOZPCK6A,Maybank,CALL,7150,4400,18.0000,25 May 26,0.8,2.3,66.9,101,94.8,2.3,-0.1239,38% ITM,45937,162,51,9718,660,+11.0
INCOZPCN6A,Maybank,CALL,7150,4900,12.0000,31 Jul 26,1.1,2.2,73.7,168,86.1,7.1,-0.2623,31% ITM,0,230,0,0,0,+10.6
INDFBQCK6A,KISI,CALL,6750,8800,20.0000,26 May 26,2.5,5.1,69.1,102,31.6,36.6,-0.2348,30% OTM,0,21,0,0,0,0
INDFDRCX6A,RHB,CALL,6750,4443,0.9659,26 Nov 26,0.4,2.1,60.5,286,88.0,8.3,-2.0500,34% ITM,0,2970,0,0,0,+1.7
INDFDRCX6B,RHB,CALL,6750,9575,25.0000,19 Nov 26,2.4,3.3,64.7,279,41.3,54.4,-0.1247,42% OTM,0,34,0,0,0,0
INDFHDCJ6A,KGI,CALL,6750,9559,18.0000,14 Apr 26,7.0,9.6,59.4,60,10.3,42.7,-0.1425,42% OTM,21962,4,20,35000,1,0
INDYBQCQ6A,KISI,CALL,3640,4780,15.0000,31 Aug 26,2.5,1.9,136.4,199,61.0,63.0,-0.2521,31% OTM,0,77,0,0,0,-1.3
INDYDRCN6A,RHB,CALL,3640,3390,4.0000,2 Jul 26,1.2,2.4,100.4,139,68.3,21.5,-0.8066,7% ITM,30000,258,119,30000,108,-1.5
INDYHDCJ6A,KGI,CALL,3640,1446,4.0000,28 Apr 26,2.0,1.6,121.7,74,97.7,1.3,-0.2621,60% ITM,4925,560,240,10000,16,-0.9
INDYHDCN6A,KGI,CALL,3640,2294,11.0000,14 Jul 26,1.3,1.9,95.9,151,86.7,7.7,-0.1774,37% ITM,0,148,0,0,0,-1.3
INDYYUCN6A,CGS,CALL,3640,2200,6.0000,11 May 26,1.4,1.8,154.3,87,85.8,9.2,-0.6420,40% ITM,0,296,0,0,0,-1.3
INDYZPCG6A,Maybank,CALL,3640,1350,8.0000,27 Feb 26,1.6,1.6,256.1,14,98.7,0.4,-0.3054,63% ITM,0,288,0,0,168,-1.4
INDYZPCN6A,Maybank,CALL,3640,2450,12.0000,31 Jul 26,1.4,2.2,74.4,168,86.7,6.9,-0.1310,33% ITM,0,120,0,0,0,-0.8
INDYZPCU6A,Maybank,CALL,3640,2550,10.0000,30 Sep 26,1.2,2.0,77.4,229,83.5,11.0,-0.1571,30% ITM,0,149,0,0,0,-0.7
INKPBQCK6A,KISI,CALL,9575,10000,25.0000,26 May 26,1.8,3.7,76.2,102,56.1,19.6,-0.3347,4% OTM,0,58,0,0,0,+7.4
INKPDRCN6A,RHB,CALL,9575,12200,13.0000,2 Jul 26,1.1,3.2,90.4,139,46.1,41.9,-0.6412,27% OTM,0,107,0,0,0,+5.9
INKPHDCK6A,KGI,CALL,9575,7756,16.0000,25 May 26,0.8,2.9,77.8,101,78.1,8.2,-0.4289,19% ITM,11069,163,115,9027,0,+6.5
INKPYUCN6A,CGS,CALL,9575,7700,22.0000,11 May 26,1.2,2.5,108.1,87,76.3,11.4,-0.4538,20% ITM,0,135,0,0,0,+5.5
INKPZPCK6A,Maybank,CALL,9575,8800,45.0000,25 May 26,2.6,3.3,76.0,101,68.1,12.6,-0.1739,8% ITM,19000,44,33,18000,14,+7.3
INTPBQCQ6A,KISI,CALL,6550,8900,40.0000,31 Aug 26,2.8,2.1,122.9,199,56.6,62.7,-0.1583,36% OTM,0,44,0,0,0,-2.2
INTPDRCN6A,RHB,CALL,6550,8300,17.0000,2 Jul 26,1.6,3.8,74.8,139,41.6,37.6,-0.2771,27% OTM,500,42,59,500,0,-6.7
INTPHDCM6A,KGI,CALL,6550,7224,20.0000,10 Jun 26,1.6,4.4,63.0,117,49.2,21.6,-0.2281,10% OTM,11469,37,49,32000,1,-7.5
INTPZPCG6A,Maybank,CALL,6550,5500,30.0000,27 Feb 26,1.4,5.0,84.8,14,87.6,1.4,-0.3011,16% ITM,0,38,0,0,87,-7.3
INTPZPCM6A,Maybank,CALL,6550,7100,40.0000,30 Jun 26,2.9,3.3,76.1,137,55.1,24.9,-0.1249,8% OTM,5000,27,33,5000,0,-6.9
ISATBQCJ6A,KISI,CALL,2210,2280,8.0000,30 Apr 26,1.5,4.5,71.1,76,54.8,15.5,-0.2609,3% OTM,12800,34,42,12800,0,0
ISATBQCN6A,KISI,CALL,2210,3000,5.0000,31 Jul 26,1.3,3.7,74.0,168,39.0,46.4,-0.2825,36% OTM,0,47,0,0,0,-2.1
ISATDRCN6A,RHB,CALL,2210,2790,5.0000,2 Jul 26,1.2,4.1,70.4,139,40.3,36.2,-0.2986,26% OTM,0,44,0,0,0,+2.3
ISATHDCJ6A,KGI,CALL,2210,2715,6.0000,14 Apr 26,2.9,9.4,51.1,60,20.5,25.0,-0.1964,23% OTM,49050,8,14,46594,7047,0
ISATHDCN6A,Maybank,CALL,2210,2619,5.0000,30 Jul 26,1.0,3.4,73.5,167,49.4,33.2,-0.2980,19% OTM,0,65,0,0,0,+1.6
ISATZPCU6A,Maybank,CALL,2210,2500,15.0000,30 Sep 26,2.8,3.4,58.6,229,53.2,28.7,-0.0723,13% OTM,0,23,0,0,0,0
ITMGDRCV6A,RHB,CALL,22075,35818,17.4249,2 Oct 26,2.5,4.0,65.2,231,28.4,69.4,-0.5445,62% OTM,5000,91,147,5008,1,-3.2
ITMGHDCJ6A,KGI,CALL,22075,22951,29.0416,28 Apr 26,2.2,5.0,64.8,74,52.8,14.6,-0.6707,4% OTM,1688,81,140,5466,15,-4.7
ITMGZPCJ6A,Maybank,CALL,22075,24201,43.5623,30 Apr 26,4.2,6.8,50.3,76,41.7,15.7,-0.3404,10% OTM,5042,31,59,12412,4,-6.1
JPFABQCK6A,KISI,CALL,2530,3330,10.0000,26 May 26,2.9,4.5,77.1,102,34.0,39.1,-0.2009,32% OTM,0,19,0,0,0,-13.6
JPFADRCH6A,RHB,CALL,2530,3200,3.0000,16 Mar 26,2.6,12.3,61.1,31,11.7,27.4,-0.4976,26% OTM,0,8,0,0,0,-27.3
JPFADRCJ6A,RHB,CALL,2530,1850,6.0000,23 Apr 26,0.6,3.3,52.7,69,94.0,1.8,-0.1478,27% ITM,0,121,0,0,173,-6.9
JPFAHDCN6A,KGI,CALL,2530,2738,10.0000,14 Jul 26,1.8,3.1,78.4,151,56.6,26.4,-0.1888,8% OTM,0,46,0,0,0,-8.0
JPFAYUCN6A,CGS,CALL,2530,2000,5.0000,11 May 26,0.6,2.6,98.8,87,78.0,9.5,-0.4719,21% ITM,0,154,0,0,0,-6.1
JPFAZPCG6A,Maybank,CALL,2530,1550,5.0000,27 Feb 26,0.5,2.5,129.7,14,98.1,0.4,-0.2852,39% ITM,0,198,0,0,122,-5.7
JPFAZPCN6A,Maybank,CALL,2530,3000,10.0000,31 Jul 26,2.4,4.8,50.9,168,41.8,27.3,-0.1211,19% OTM,0,22,0,0,0,-8.3
JSMRBQCQ6A,KISI,CALL,3730,4980,16.0000,31 Aug 26,2.8,2.1,123.1,199,57.4,61.0,-0.2250,34% OTM,0,64,0,0,0,0
JSMRDRCH6A,RHB,CALL,3730,4700,4.0000,16 Mar 26,2.5,10.1,70.6,31,16.2,27.6,-0.7908,26% OTM,0,15,0,0,0,-6.3
JSMRDRCK6A,RHB,CALL,3730,3700,12.0000,25 May 26,2.0,3.8,70.5,101,60.7,15.3,-0.2517,1% ITM,30000,50,94,30000,273,0
JSMRHDCH6A,KGI,CALL,3730,3780,10.0000,19 Mar 26,1.8,4.2,112.5,34,56.2,14.7,-0.7798,1% OTM,0,50,0,0,4,-2.0
JSMRZPCG6A,Maybank,CALL,3730,3350,17.0000,27 Feb 26,2.1,6.9,66.8,14,81.9,1.7,-0.3059,10% ITM,0,26,0,0,1355,0
JSMRZPCU6A,Maybank,CALL,3730,4400,12.0000,30 Sep 26,2.4,3.3,62.9,229,51.0,33.4,-0.1607,18% OTM,0,48,0,0,0,0
KIJABQCN6A,KISI,CALL,222,308,2.0000,31 Jul 26,1.8,2.1,137.5,168,56.2,65.8,-0.1290,39% OTM,0,30,0,0,0,-3.2
KIJADRCM6A,RHB,CALL,222,206,1.0000,10 Jun 26,0.7,3.3,72.2,117,67.5,13.5,-0.1637,7% ITM,0,46,0,0,0,-4.2
KIJAZPCQ6A,Maybank,CALL,222,200,1.0000,31 Aug 26,0.7,3.1,55.0,199,71.7,13.1,-0.1019,10% ITM,0,51,0,0,0,-1.9
KLBFBQCJ6A,KISI,CALL,1100,1440,4.0000,30 Apr 26,2.8,5.6,74.4,76,28.4,36.0,-0.2232,31% OTM,48770,14,40,48770,0,-6.7
KLBFDRCN6A,RHB,CALL,1100,1600,4.0000,2 Jul 26,2.8,4.6,70.1,139,28.3,51.6,-0.1589,45% OTM,0,17,0,0,0,-5.6
KLBFHDCK6A,KGI,CALL,1100,1292,4.0000,25 May 26,1.9,4.6,68.6,101,42.1,26.5,-0.2131,17% OTM,26000,25,60,26000,0,-3.8
KLBFZPCJ6A,Maybank,CALL,1100,1600,5.0000,30 Apr 26,7.2,7.6,63.6,76,13.9,47.3,-0.0993,45% OTM,0,4,0,0,0,0
KPIGDRCM6A,RHB,CALL,167,204,1.0000,10 Jun 26,1.9,2.6,121.8,117,53.7,43.1,-0.2081,22% OTM,0,35,0,0,0,-12.5
KPIGHDCQ6A,KGI,CALL,167,152,1.2000,13 Aug 26,1.7,2.5,81.2,181,70.0,19.0,-0.0901,9% ITM,0,39,0,0,0,-13.3
KPIGZPCQ6A,Maybank,CALL,167,160,1.0000,31 Aug 26,1.5,2.5,78.5,199,67.1,22.2,-0.1038,4% ITM,0,44,0,0,0,-13.7
LSIPDRCK6A,RHB,CALL,1160,1600,6.0000,25 May 26,4.1,4.8,76.8,101,29.6,44.1,-0.1441,38% OTM,2158,12,46,10989,102,0
LSIPHDCJ6A,KGI,CALL,1160,1590,4.0000,28 Apr 26,4.5,7.4,62.5,74,17.9,39.5,-0.1548,37% OTM,2471,7,50,6291,0,-12.5
LSIPZPCG6A,Maybank,CALL,1160,1327,3.7920,27 Feb 26,3.6,12.8,75.8,14,20.9,16.0,-0.4795,14% OTM,0,5,0,0,2000,0
LSIPZPCQ6A,Maybank,CALL,1160,1500,9.0000,31 Aug 26,4.8,4.4,54.9,199,37.5,37.8,-0.0585,29% OTM,0,11,0,0,0,0
MAPABQCK6A,KISI,CALL,665,980,4.0000,26 May 26,2.8,4.3,86.9,102,28.7,54.0,-0.1361,47% OTM,0,11,0,0,0,-15.4
MAPADRCJ6A,RHB,CALL,665,760,6.0000,23 Apr 26,3.0,5.6,68.0,69,40.2,21.5,-0.1003,14% OTM,0,8,0,0,1032,-20.0
MAPAHDCN6A,Maybank,CALL,665,844,5.0000,30 Jul 26,2.2,3.2,80.4,167,46.2,41.2,-0.0958,27% OTM,0,19,0,0,0,-5.0
MAPAZPCH6A,Maybank,CALL,665,750,5.0000,31 Mar 26,2.1,4.0,115.7,46,47.6,24.8,-0.2475,13% OTM,0,16,0,0,3,-11.1
MAPIBQCG6A,KISI,CALL,1290,1500,4.0000,27 Feb 26,4.7,13.8,73.7,14,17.1,17.5,-0.4347,16% OTM,0,4,0,0,0,0
MAPIBQCK6A,KISI,CALL,1290,1780,6.0000,29 May 26,3.8,4.5,79.3,105,31.3,45.0,-0.1666,38% OTM,0,15,0,0,0,-6.3
MAPIDRCH6A,RHB,CALL,1290,1760,2.0000,16 Mar 26,3.7,10.1,77.5,31,10.9,37.5,-0.4544,36% OTM,0,7,0,0,0,-12.5
MAPIHDCK6A,KGI,CALL,1290,1306,3.0000,11 May 26,1.0,4.0,72.6,87,57.9,15.7,-0.3863,1% OTM,17258,62,73,19405,2,-4.6
MAPIZPCJ6A,Maybank,CALL,1290,1330,5.0000,30 Apr 26,1.8,4.2,75.8,76,55.4,16.3,-0.2574,3% OTM,30000,34,49,30000,1,-5.6
MBMABQCG6A,KISI,CALL,730,670,4.0000,27 Feb 26,1.1,6.0,93.6,14,71.8,3.8,-0.4287,8% ITM,0,22,0,0,0,+22.2
MBMABQCK6A,KISI,CALL,730,750,5.0000,26 May 26,1.7,2.9,99.2,102,60.1,23.3,-0.1583,3% OTM,0,30,0,0,0,+7.1
MBMADRCN6A,RHB,CALL,730,1160,2.0000,2 Jul 26,1.1,3.0,108.3,139,37.8,71.5,-0.3550,59% OTM,0,46,0,0,0,+9.5
MBMAHDCH6A,KGI,CALL,730,614,2.0000,19 Mar 26,0.5,3.0,132.4,34,74.2,8.5,-0.7427,16% ITM,0,89,0,0,10,+9.9
MBMAHDCN6A,KGI,CALL,730,653,2.0000,1 Jul 26,0.6,2.6,86.0,138,70.4,16.3,-0.2788,11% ITM,0,98,0,0,0,+8.9
MBMAYUCK6A,CGS,CALL,730,550,2.5000,28 May 26,0.6,1.7,181.1,104,78.9,22.3,-0.4145,25% ITM,20000,137,128,20000,0,+5.4
MBMAZPCK6A,Maybank,CALL,730,400,8.0000,25 May 26,1.7,1.9,108.7,101,91.6,4.1,-0.0488,45% ITM,50004,45,34,50000,98,+7.1
MBMAZPCN6A,Maybank,CALL,730,710,6.0000,31 Jul 26,1.8,2.6,85.6,168,65.7,22.7,-0.0887,3% ITM,0,31,0,0,0,+6.9
MDKABQCG6A,KISI,CALL,3230,2800,10.0000,27 Feb 26,1.2,5.5,84.2,14,83.4,1.9,-0.5260,13% ITM,0,49,0,0,0,+8.9
MDKABQCK6A,KISI,CALL,3230,3080,12.0000,26 May 26,1.8,3.1,86.8,102,65.0,16.5,-0.2518,5% ITM,0,57,0,0,0,+5.6
MDKADRCK6A,RHB,CALL,3230,2750,8.0000,25 May 26,1.1,2.8,85.3,101,73.7,11.1,-0.3373,15% ITM,9,105,60,50000,251,+4.0
MDKAHDCN6A,KGI,CALL,3230,2450,10.0000,1 Jul 26,1.3,2.3,88.4,138,79.9,10.5,-0.2126,24% ITM,0,112,0,0,0,+3.7
MDKAHDPH6A,KGI,PUT,3230,2061,4.0000,25 Mar 26,2.5,1.7,228.5,40,-16.2,45.9,-1.8271,36% OTM,10000,78,115,10000,0,-12.4
MDKAHDPJ6A,KGI,PUT,3230,1943,10.0000,10 Jun 26,7.2,0.6,252.1,117,-13.8,63.1,-0.4067,40% OTM,10000,75,58,10000,120,-3.8
MDKAYUCK6A,CGS,CALL,3230,3000,8.0000,28 May 26,1.1,1.8,183.3,104,72.2,33.5,-0.6666,7% ITM,20000,164,132,20000,0,+2.5
MDKAZPCQ6A,Maybank,CALL,3230,2600,15.0000,31 Aug 26,1.9,2.3,77.3,199,77.2,13.9,-0.1151,20% ITM,0,72,0,0,0,+2.9
MEDCBQCH6A,KISI,CALL,1575,1510,4.0000,31 Mar 26,1.3,5.1,70.2,46,63.2,8.3,-0.4483,4% ITM,0,49,0,0,0,+4.3
MEDCBQCM6A,KISI,CALL,1575,1735,5.0000,30 Jun 26,1.8,3.1,82.6,137,55.0,27.6,-0.2578,10% OTM,0,55,0,0,0,+3.8
MEDCDRCH6A,RHB,CALL,1575,1660,2.0000,16 Mar 26,0.8,6.3,81.2,31,47.1,12.9,-1.2683,5% OTM,0,59,0,0,0,+5.4
MEDCHDCH6A,KGI,CALL,1575,1170,4.8900,31 Mar 26,1.2,2.7,112.0,46,83.5,5.0,-0.3851,26% ITM,10192,99,102,16353,0,+3.1
MEDCZPCQ6A,Maybank,CALL,1575,1700,5.0000,31 Aug 26,1.8,3.5,58.5,199,55.8,23.8,-0.1642,8% OTM,0,50,0,0,0,+4.2
MIKABQCV6A,KISI,CALL,2380,3280,20.0000,30 Oct 26,3.3,1.9,125.8,259,61.2,70.6,-0.1012,38% OTM,0,39,0,0,0,0
MIKADRCV6A,RHB,CALL,2380,3500,7.0000,2 Oct 26,2.0,3.7,64.9,231,35.0,56.5,-0.1611,47% OTM,15000,32,56,3270,1459,-3.0
MIKAHDCN6A,KGI,CALL,2380,2954,10.0000,1 Jul 26,2.5,4.4,63.7,138,39.2,32.9,-0.1467,24% OTM,0,21,0,0,0,-4.5
MIKAZPCG6A,Maybank,CALL,2380,2350,18.0000,27 Feb 26,3.1,9.5,67.4,14,57.4,4.8,-0.2602,1% ITM,0,8,0,0,0,-11.1
MIKAZPCU6A,Maybank,CALL,2380,2650,15.0000,30 Sep 26,2.7,3.3,59.2,229,54.7,27.7,-0.0785,11% OTM,0,26,0,0,0,0
MNCNDRCN6A,RHB,CALL,240,400,1.5000,2 Jul 26,3.1,4.3,81.0,139,24.0,72.3,-0.0962,67% OTM,30000,9,26,30000,0,0
MNCNHDCM6A,KGI,CALL,240,265,2.0000,10 Jun 26,2.1,5.1,53.8,117,46.7,19.6,-0.0725,10% OTM,14294,11,27,3514,10,-8.3
MNCNZPCM6A,Maybank,CALL,240,340,3.0000,30 Jun 26,5.1,4.7,68.2,137,29.1,47.9,-0.0461,42% OTM,15861,5,13,5089,138,0
MTELDRCK6A,RHB,CALL,540,660,6.0000,25 May 26,3.2,4.8,68.3,101,37.7,30.0,-0.0670,22% OTM,24283,7,15,50000,3855,0
MTELHDCM6A,KGI,CALL,540,651,4.0000,10 Jun 26,2.2,5.5,55.8,117,36.4,27.2,-0.0778,21% OTM,13082,9,20,45370,5,+12.5
MTELZPCM6A,Maybank,CALL,540,650,7.0000,30 Jun 26,3.2,4.2,66.4,137,43.1,30.7,-0.0509,20% OTM,5000,8,14,5000,2352,+14.3
MYORDRCK6A,RHB,CALL,2340,2450,6.0000,25 May 26,1.1,4.2,65.9,101,54.3,17.5,-0.3033,5% OTM,30000,50,65,859,628,-3.8
MYORHDCM6A,KGI,CALL,2340,2305,10.0000,10 Jun 26,1.6,3.4,73.9,117,62.2,16.9,-0.1829,1% ITM,35000,43,53,2022,2001,-4.4
MYORZPCH6A,Maybank,CALL,2340,2350,12.0000,31 Mar 26,2.1,5.0,77.9,46,56.4,11.7,-0.2512,0% OTM,0,22,0,0,882,-4.3
MYORZPCU6A,Maybank,CALL,2340,2400,10.0000,30 Sep 26,1.6,3.2,57.7,229,61.4,21.8,-0.1123,3% OTM,0,45,0,0,0,-4.3
NCKLBQCM6A,KISI,CALL,1455,1450,5.0000,30 Jun 26,1.6,3.2,74.8,137,62.0,19.2,-0.2139,0% ITM,10000,57,52,10000,99,+11.8
NCKLDRCH6A,RHB,CALL,1455,1340,2.0000,16 Mar 26,0.6,5.2,76.7,31,69.6,5.6,-1.0125,8% ITM,0,98,0,0,0,+22.5
NCKLDRCK6A,RHB,CALL,1455,1150,6.0000,25 May 26,1.5,2.8,80.3,101,79.5,7.9,-0.1728,21% ITM,50000,70,59,27849,759,+11.1
NCKLHDCK6A,KGI,CALL,1455,1163,4.0000,25 May 26,1.0,2.9,76.8,101,79.2,7.7,-0.2520,20% ITM,22020,101,83,14863,213,+12.2
NCKLHDCQ6A,KGI,CALL,1455,1100,6.0000,13 Aug 26,1.5,2.3,78.2,181,80.5,11.1,-0.1271,24% ITM,0,86,0,0,0,+10.3
NCKLZPCJ6A,Maybank,CALL,1455,800,6.0000,30 Apr 26,1.2,2.1,68.2,76,98.4,1.2,-0.0498,45% ITM,30000,112,84,21855,0,+7.7
NCKLZPCM6A,Maybank,CALL,1455,1350,7.0000,30 Jun 26,2.1,2.9,76.5,137,67.8,15.9,-0.1491,7% ITM,5000,48,41,5000,1,+11.6
PANIBQCJ6A,KISI,CALL,10550,16500,30.0000,30 Apr 26,5.2,4.7,97.5,76,22.9,61.2,-0.3266,56% OTM,0,17,0,0,0,-19.0
PANIBQCQ6A,KISI,CALL,10550,13500,50.0000,31 Aug 26,3.3,2.0,132.1,199,61.1,59.2,-0.2128,28% OTM,0,66,0,0,0,-8.3
PANIDRCN6A,RHB,CALL,10550,16100,35.0000,2 Jul 26,3.6,3.0,105.3,139,39.1,65.5,-0.2890,53% OTM,0,39,0,0,0,-13.3
PANIHDCJ6A,KGI,CALL,10550,17308,29.8664,28 Apr 26,5.9,4.8,100.6,74,20.4,68.3,-0.3196,64% OTM,11774,15,110,11947,1,-16.7
PANIHDCN6A,KGI,CALL,10550,15435,49.7773,1 Jul 26,5.1,3.2,98.1,138,39.1,58.6,-0.1912,46% OTM,0,26,0,0,0,-13.3
PANIYUCV6A,CGS,CALL,10550,21000,25.0000,22 Oct 26,3.5,3.2,82.6,251,28.2,107.8,-0.2135,99% OTM,0,37,0,0,0,-7.5
PANIZPCJ6A,Maybank,CALL,10550,17500,50.0000,30 Apr 26,6.3,3.3,136.0,76,31.7,75.4,-0.3178,66% OTM,0,20,0,0,5964,-9.1
PANIZPCN6A,Maybank,CALL,10550,15000,39.0000,31 Jul 26,3.7,3.1,90.6,168,42.0,55.9,-0.2112,42% OTM,0,37,0,0,0,-11.9
PGASBQCN6A,KISI,CALL,2220,2590,6.0000,31 Jul 26,1.0,2.3,112.1,168,59.1,42.3,-0.3542,17% OTM,0,95,0,0,0,-1.0
PGASDRCN6A,RHB,CALL,2220,2540,2.5000,2 Jul 26,0.5,3.5,75.2,139,50.5,28.8,-0.6660,14% OTM,0,128,0,0,0,-3.0
PGASHDCK6A,KGI,CALL,2220,1968,4.0000,11 May 26,0.5,3.8,62.7,87,73.0,7.7,-0.3925,11% ITM,12934,106,63,21000,0,-2.8
PGASZPCJ6A,Maybank,CALL,2220,1800,6.0000,30 Apr 26,0.7,4.0,48.5,76,87.3,3.0,-0.1686,19% ITM,8000,81,39,14000,0,-2.4
PGASZPCU6A,Maybank,CALL,2220,2100,6.0000,30 Sep 26,0.9,3.2,52.7,229,68.1,15.9,-0.1607,5% ITM,0,79,0,0,0,-1.3
PGEOBQCJ6A,KISI,CALL,1200,1880,6.0000,30 Apr 26,3.7,3.5,128.2,76,32.8,66.2,-0.2891,57% OTM,0,19,0,0,0,0
PGEODRCJ6A,RHB,CALL,1200,1700,7.0000,23 Apr 26,6.1,5.6,83.0,69,23.0,45.8,-0.1436,42% OTM,0,7,0,0,100,+16.7
PGEOHDCH6A,KGI,CALL,1200,1743,5.0000,19 Mar 26,9.2,8.7,87.5,34,10.8,46.5,-0.1806,45% OTM,0,3,0,0,0,0
PGEOHDCH6B,KGI,CALL,1200,1680,5.0000,31 Mar 26,4.8,6.2,93.4,46,20.7,43.3,-0.2570,40% OTM,33000,8,44,4027,0,+14.3
PGEOHDPH6A,KGI,PUT,1200,1181,2.0000,25 Mar 26,1.2,1.3,220.0,40,-34.5,28.4,-1.9264,2% OTM,2736,161,130,10000,1,-15.7
PGEOYUCK6A,CGS,CALL,1200,1390,6.0000,28 May 26,2.2,2.7,116.7,104,54.5,35.8,-0.2534,16% OTM,50000,40,76,2215,0,+2.6
PGEOZPCJ6A,Maybank,CALL,1200,1800,6.0000,30 Apr 26,5.0,4.8,93.2,76,24.2,55.0,-0.1837,50% OTM,24145,10,37,6399,0,0
PGEOZPCM6A,Maybank,CALL,1200,1550,7.0000,30 Jun 26,3.3,3.6,81.0,137,42.0,40.8,-0.1335,29% OTM,5000,20,42,5000,2,+5.3
PNBNBQCQ6A,KISI,CALL,1055,1510,6.0000,31 Aug 26,2.2,2.2,121.9,199,54.1,68.2,-0.1696,43% OTM,0,44,0,0,0,-2.2
PNBNDRCM6A,RHB,CALL,1055,1500,2.5000,10 Jun 26,1.5,4.0,84.9,117,33.2,50.5,-0.3393,42% OTM,0,35,0,0,0,-5.4
PNBNZPCQ6A,Maybank,CALL,1055,1250,6.0000,31 Aug 26,2.5,3.6,62.8,199,48.6,32.1,-0.0960,18% OTM,0,24,0,0,0,-4.0
