"Tick","Price","%Chg(5)"
"BABP","59","-7.81"
"WIIM","1825","1.11"
"IPCM","336","-2.33"
"HMSP","820","2.5"
"AMMN","7600","5.56"
"NISP","1440","-1.71"
"LPPF","1875","0.27"
"TRIM","610","-20.26"
"MYOR","2310","1.32"
"SILO","2760","6.15"
"MAPA","700","5.26"
"LIVE","254","-18.06"
"DRMA","1045","-4.57"
"AGII","1930","23.32"
"NELY","414","-4.61"
"TRIN","1140","-16.79"
"NASI","142","17.36"
"ASGR","1700","2.72"
"BGTG","138","-1.43"
"KIJA","228","-19.15"
"GULA","418","-3.24"
"AYLS","266","3.91"
"INCO","6450","-4.8"
"DNAR","153","-12.07"
"UANG","4160","-34.75"
"GOTO","64","6.67"
"ASSA","1190","-1.65"
"JPFA","2770","-4.48"
"INDY","3240","-12.43"
"PGAS","2120","-6.61"
"KPIG","187","-31.25"
"NIKL","372","-4.62"
"HRTA","2230","-4.29"
"LPKR","97","-15.65"
"AYAM","462","1.76"
"JAWA","179","-5.29"
"MORA","11675","-20.44"
"PART","121","5.22"
"AKRA","1260","-3.45"
