"Tick","Price","%Chg(5)"
"AMMN","7600","5.56"
"AGII","1930","23.32"
"NSSS","1500","-17.58"
"WIIM","1825","1.11"
"ASGR","1700","2.72"
"NCKL","1375","-6.46"
"LPPF","1875","0.27"
"ASLI","550","-5.98"
"RALS","458","-2.55"
"BGTG","138","-1.43"
"INCO","6450","-4.8"
"GULA","418","-3.24"
"JPFA","2770","-4.48"
"PGAS","2120","-6.61"
"KETR","750","-20.21"
"DAAZ","3730","-7.9"
"BRMS","1080","-13.6"
"IPCC","1305","-0.38"
"ADRO","2210","-7.92"
"MDKA","3210","-2.73"
"ASII","6350","-6.96"
"UANG","4160","-34.75"
