"Tick","Price","%Chg"
"MORA","11675","-11.22"
"SILO","2760","-1.43"
"MYOR","2310","4.52"
"ERTX","270","35"
"SWID","117","9.35"
"NELY","414","1.97"
"MAPA","700","2.94"
"ASSA","1190","4.39"
"ELSA","685","6.2"
"KOKA","256","9.4"
"AYLS","266","22.02"
"GOTO","64","1.59"
"PGAS","2120","1.92"
"DGIK","132","3.12"
"AMMN","7600","6.29"
"SMDR","378","8"
"UVCR","187","7.47"
"DNAR","153","4.08"
"SRTG","1765","2.02"
"BNGA","1815","0"
"HMSP","820","5.81"
"ANTM","4210","-2.55"
"INOV","160","17.65"
"AMAN","228","4.59"
"NIKL","372","0.54"
"JPFA","2770","6.54"
"BMRI","4820","4.1"
"NASI","142","6.77"
"BAPA","91","4.6"
"HAIS","224","2.75"
"JMAS","258","12.17"
"BGTG","138","3.76"
"GTRA","360","-0.55"
"TLKM","3600","4.35"
"GULA","418","3.47"
"EMAS","6550","-4.03"
"BRMS","1080","0.93"
"INCO","6450","5.74"
"AKRA","1260","4.56"
"TRIN","1140","6.05"
"HRTA","2230","-4.29"
