"Tick","Price","%Chg(5)"
"MORA","11675","-20.44"
"SILO","2760","6.15"
"DRMA","1045","-4.57"
"MAPA","700","5.26"
"HMSP","820","2.5"
"TUGU","1155","-2.94"
"AMMN","7600","5.56"
"DGIK","132","-7.04"
"MYOR","2310","1.32"
"ASSA","1190","-1.65"
"BABP","59","-7.81"
"GOTO","64","6.67"
"BVIC","128","0"
"SWID","117","-10.69"
"BGTG","138","-1.43"
"NIKL","372","-4.62"
"KOKA","256","-2.29"
"ERTX","270","-2.88"
"SMDR","378","-2.07"
"AYLS","266","3.91"
"ENRG","1300","-16.93"
"UVCR","187","-5.08"
"ELSA","685","18.1"
"ISAT","2230","-7.08"
"AGII","1930","23.32"
"NELY","414","-4.61"
"ERAL","350","-4.89"
"SSTM","2950","-15.23"
"BNGA","1815","-2.42"
"TKIM","7300","-9.88"
"ASLI","550","-5.98"
"INOV","160","-8.57"
"KPIG","187","-31.25"
"NASI","142","17.36"
"BUVA","1240","-32.79"
"INKP","9100","-13.95"
"ESTA","224","-41.05"
"ADMR","1985","-12.94"
"TRON","190","-24"
"JPFA","2770","-4.48"
"ADRO","2210","-7.92"
"GTRA","360","5.88"
"TRIN","1140","-16.79"
"HRTA","2230","-4.29"
"GULA","418","-3.24"
"ASGR","1700","2.72"
"JAST","108","-2.7"
"VKTR","800","-27.27"
"AKRA","1260","-3.45"
"LPKR","97","-15.65"
