no,tick,price,chg,history,tx
1,AYLS,270,1.50%,"420.684,-364.936,1897.303,1016.562,4631.699",22.83%
2,SILO,2820,2.17%,"1640.866,1347.795,3761.021,3400.688,3320.805",17.82%
3,TRON,162,-14.74%,"456.869,-1023.612,1568.254,-384.875,1676.932",17.36%
4,ISAT,2220,-0.45%,"-15920.196,5005.379,749.225,-4587.723,18451.032",12.32%
5,BVIC,126,-1.56%,"-294.847,1605.014,2680.295,-56.406,1433.99",12.01%
6,BGTG,136,-1.45%,"699.859,2535.413,3686.237,254.125,3963.334",11.43%
7,NCKL,1245,-9.45%,"-65253.807,72313.014,-2753.048,-11804.819,87536.89",11.19%
8,JMAS,220,-14.73%,"-488.248,18.675,-214.955,180.365,177.636",9.84%
9,AKRA,1240,-1.59%,"-5252.935,5914.577,-16452.66,877.736,13242.691",9.27%
10,ASGR,1730,1.76%,"-620.192,2497.143,490.346,-3626.886,2859.314",8.40%
1,BAPA,86,-5.49%,"45.897,-89.102,-216.266,45.263,124.589",8.39%
2,EMAS,5900,-9.92%,"-83764.388,-50112.567,-169472.954,11025.071,120747.67",8.19%
3,KOKA,234,-8.59%,"411.078,870.647,712.463,1763.148,1154.119",7.99%
4,PTBA,2540,2.42%,"26318.11,-8046.488,6049.573,-4641.55,47422.388",7.17%
5,KPIG,180,-3.74%,"5302.967,4388.28,-5433.789,-3698.05,3615.27",6.25%
6,ADMR,1850,-6.80%,"125072.681,-24579.795,-45114.876,-37201.388,70033.789",6.16%
7,APIC,1375,-9.54%,"218.501,95.882,1222.178,376.728,16.188",5.78%
8,PGAS,2180,2.83%,"-25497.359,46389.872,-166541.805,42196.729,61549.148",5.37%
9,ELSA,675,-1.46%,"-19190.084,21888.885,5060.095,40302.196,16159.141",4.95%
10,MDKA,2730,-14.95%,"-97683.954,234523.99,-137958.53,-32668.201,62947.936",4.93%
1,BNGA,1800,-0.83%,"-9493.896,1885.98,13208.06,4718.463,2611.096",4.65%
2,TINS,2970,-8.33%,"-52860.169,-160848.627,3236.505,-83456.273,55956.178",4.52%
3,GULA,446,6.70%,"959.388,1520.676,-618.427,186.889,9493.963",4.47%
4,AADI,8075,6.25%,"-77793.867,-37159.376,-49111.146,-7056.318,71125.35",4.39%
5,NASI,139,-2.11%,"370.825,-364.749,242.924,1842.063,577.636",3.29%
6,BUVA,1055,-14.92%,"27196.427,-30219.535,129354.016,-9656.374,17292.566",2.85%
7,JPFA,2670,-3.61%,"84141.5,23953.778,-77796.969,11161.166,3752.536",2.14%
8,OASA,342,-14.93%,"-2652.919,-1426.391,5620.795,-4822.418,2829.389",1.91%
9,HRTA,1900,-14.80%,"7651.428,-4914.988,-167.428,470.163,6187.643",1.87%
10,ANTM,3810,-9.50%,"-216613.167,-660177.197,-984807.931,199534.069,66236.74",1.15%
1,INCO,5925,-8.14%,"-20089.156,-21649.716,-46060.54,3796.67,6787.365",0.59%
