no,tick,price,chg,history,tx
1,TINS,2970,-8.33%,"-209684.009,-413791.498,-208499.817,-337314.137,182631.99",9.78%
2,TSPC,2710,0.37%,"-4503.113,-3984.687,-9559.212,-1725.273,795.253",6.81%
3,BULL,420,-14.63%,"140125.219,-61428.288,109576.905,-475285.937,61591.85",6.57%
4,IRSX,486,-14.74%,"30184.37,-2595.326,14496.336,-38732.377,14693.068",5.43%
5,AGII,1750,-9.33%,"55128.924,24985.1,17063.788,-9066.797,1447.084",4.06%
6,ANTM,3810,-9.50%,"-1893449.132,-1877470.906,-3397905.983,743854.471,306874.38",3.53%
7,BGTG,136,-1.45%,"-744.659,-9554.42,22316.681,7766.404,1324.797",2.53%
8,NCKL,1245,-9.45%,"-97943.797,408884.882,-181739.225,59358.163,14619.19",1.24%
9,BBNI,4500,0.22%,"63834.387,32416.675,-1863249.677,-726410.597,15971.966",0.70%
