<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/13/2025,IHSG,8169.650,8288.280,8133.630,8227.202,41037111400
10/13/2025,AADI,7625,7975,7525,7825,19216600
10/13/2025,AADIDRCN6A,90,95,87,92,3739600
10/13/2025,AADIHDCK6A,90,98,90,98,1348600
10/13/2025,AADIYUCK6A,306,306,302,302,17600
10/13/2025,AALI,7700,7850,7275,7800,3632100
10/13/2025,ABBA,73,73,73,73,17335600
10/13/2025,ABDA,2710,2710,2710,2710,300
10/13/2025,ABMM,2780,2780,2750,2760,602400
10/13/2025,ACES,426,426,420,422,26761200
10/13/2025,ACESBQCV5A,4,4,2,3,5600100
10/13/2025,ACESBQCX5B,6,6,4,5,2494800
10/13/2025,ACESBQCZ5A,14,14,13,13,35500
10/13/2025,ACESDRCJ6A,11,11,10,11,2374100
10/13/2025,ACESHDCZ5A,0,0,0,0,0
10/13/2025,ACESZPCJ6A,0,0,0,0,0
10/13/2025,ACRO,87,89,86,87,8046200
10/13/2025,ACRO-W,13,13,10,11,21684600
10/13/2025,ACST,139,144,137,140,3853800
10/13/2025,ADCP,60,61,59,59,30584100
10/13/2025,ADES,13650,13675,13450,13500,29700
10/13/2025,ADHI,264,268,258,264,7864000
10/13/2025,ADMF,8775,8800,8600,8650,147500
10/13/2025,ADMG,135,136,133,135,547200
10/13/2025,ADMR,1335,1435,1315,1370,157128800
10/13/2025,ADMRDRCJ6A,72,79,64,70,3663800
10/13/2025,ADMRHDCJ6A,104,120,104,110,2120400
10/13/2025,ADMRZPCH6A,93,103,93,93,178900
10/13/2025,ADRO,1725,1775,1690,1725,115736300
10/13/2025,ADROBQCG6A,60,66,60,66,2021100
10/13/2025,ADROBQCZ5A,13,14,12,12,3109100
10/13/2025,ADRODRCJ6A,52,52,51,51,5200
10/13/2025,ADRODRCX5A,30,34,29,30,115800
10/13/2025,ADROHDCZ5A,0,0,0,0,0
10/13/2025,ADROHDPH6A,0,0,0,0,0
10/13/2025,ADROYUCZ5A,52,52,52,52,100
10/13/2025,ADROZPCF6A,25,25,22,22,263700
10/13/2025,ADROZPCK6A,48,50,47,48,166800
10/13/2025,AEGS,44,48,43,45,42286800
10/13/2025,AGAR,248,268,240,250,333000
10/13/2025,AGII,0,0,0,0,0
10/13/2025,AGRO,234,234,226,230,28817200
10/13/2025,AGRS,73,73,71,72,4051500
10/13/2025,AHAP,91,93,88,88,42716100
10/13/2025,AIMS,482,482,482,482,534900
10/13/2025,AISA,141,142,137,138,15623000
10/13/2025,AKKU,0,0,0,0,0
10/13/2025,AKPI,565,565,510,555,122500
10/13/2025,AKRA,1100,1110,1085,1090,23584400
10/13/2025,AKRABQCX5B,16,16,15,16,6800
10/13/2025,AKRADRCX5A,16,17,14,17,45400
10/13/2025,AKRAHDCH6A,41,41,41,41,2500
10/13/2025,AKRAZPCJ6A,34,34,34,34,11700
10/13/2025,AKRAZPCM6A,29,30,27,28,68800
10/13/2025,AKRAZPCX5A,34,34,32,32,12400
