<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/10/2025,IHSG,8443.320,8478.150,8391.240,8391.240,42966170000
11/10/2025,AADI,8850,8950,8675,8725,20257600
11/10/2025,AADIDRCN6A,110,120,110,112,215000
11/10/2025,AADIHDCK6A,124,124,115,116,1230200
11/10/2025,AADIYUCK6A,366,366,358,362,600
11/10/2025,AALI,7800,7825,7675,7725,1414900
11/10/2025,ABBA,63,63,62,62,2567600
11/10/2025,ABDA,0,0,0,0,0
11/10/2025,ABMM,3000,3020,2980,3000,999300
11/10/2025,ACES,458,460,446,450,53140100
11/10/2025,ACESBQCG6A,13,14,13,14,74200
11/10/2025,ACESBQCK6A,0,0,0,0,0
11/10/2025,ACESBQCX5B,2,3,1,2,14872000
11/10/2025,ACESBQCZ5A,14,14,11,11,1070000
11/10/2025,ACESDRCJ6A,12,12,11,12,1022000
11/10/2025,ACESHDCN6A,63,63,62,62,1500
11/10/2025,ACESHDCZ5A,0,0,0,0,0
11/10/2025,ACESZPCJ6A,19,19,18,18,3000
11/10/2025,ACRO,88,89,87,87,6269700
11/10/2025,ACRO-W,6,7,6,7,6861900
11/10/2025,ACST,130,132,129,130,2179000
11/10/2025,ADCP,55,55,54,54,11112300
11/10/2025,ADES,14975,15225,14975,15200,40800
11/10/2025,ADHI,268,270,264,266,13897000
11/10/2025,ADMF,8800,8875,8800,8825,85600
11/10/2025,ADMG,152,163,152,161,6460500
11/10/2025,ADMR,1405,1425,1380,1380,29978100
11/10/2025,ADMRDRCJ6A,72,72,69,69,263800
11/10/2025,ADMRHDCJ6A,117,117,107,109,26000
11/10/2025,ADMRZPCH6A,93,93,93,93,3100
11/10/2025,ADRO,1965,1980,1935,1960,118023700
11/10/2025,ADROBQCG6A,78,78,78,78,20000
11/10/2025,ADROBQCJ6A,67,67,65,65,2200
11/10/2025,ADROBQCN6A,70,70,70,70,100
11/10/2025,ADROBQCZ5A,7,7,5,6,1761900
11/10/2025,ADRODRCJ6A,66,67,64,65,1381200
11/10/2025,ADRODRCX5A,45,46,45,46,5440600
11/10/2025,ADROHDCN6A,83,83,81,81,50200
11/10/2025,ADROHDCZ5A,55,55,54,54,7200
11/10/2025,ADROHDPH6A,72,72,70,72,58100
11/10/2025,ADROYUCZ5A,0,0,0,0,0
11/10/2025,ADROZPCF6A,28,28,27,27,10200
11/10/2025,ADROZPCK6A,63,63,61,61,117200
11/10/2025,AEGS,84,84,79,84,10522900
11/10/2025,AGAR,244,244,238,240,86400
11/10/2025,AGII,1350,1395,1320,1335,1703900
11/10/2025,AGRO,230,234,226,228,15415000
11/10/2025,AGRS,72,75,72,72,23867300
11/10/2025,AHAP,87,90,87,89,14823100
11/10/2025,AIMS,390,400,382,390,430200
11/10/2025,AISA,145,147,143,143,9886300
11/10/2025,AKKU,38,38,38,38,922400
11/10/2025,AKPI,585,595,580,580,4700
11/10/2025,AKRA,1250,1250,1210,1210,19988600
11/10/2025,AKRABQCX5B,13,13,10,10,415500
11/10/2025,AKRADRCX5A,22,22,19,19,516000
11/10/2025,AKRAHDCH6A,0,0,0,0,0
11/10/2025,AKRAZPCJ6A,43,43,41,41,200500
11/10/2025,AKRAZPCM6A,37,38,35,35,1800
11/10/2025,AKRAZPCX5A,0,0,0,0,0
11/10/2025,AKSI,388,394,378,386,574300
11/10/2025,ALDO,530,540,520,525,834700
11/10/2025,ALII,600,650,580,650,4259800
11/10/2025,ALKA,364,378,354,362,54700
11/10/2025,ALMI,0,0,0,0,0
11/10/2025,ALTO,0,0,0,0,0
11/10/2025,AMAG,380,380,374,378,257800
11/10/2025,AMAN,150,154,150,152,1651500
11/10/2025,AMAR,228,230,226,226,679800
11/10/2025,AMFG,3560,3560,3500,3530,29700
11/10/2025,AMIN,254,260,250,260,215800
11/10/2025,AMMN,7075,7125,7000,7075,18528700
11/10/2025,AMMNBQCZ5A,7,7,6,7,2270000
11/10/2025,AMMNDRCJ6A,38,40,38,39,114600
11/10/2025,AMMNHDCH6A,59,59,59,59,100
11/10/2025,AMMNZPCG6A,21,23,21,21,409400
11/10/2025,AMMS,0,0,0,0,0
11/10/2025,AMOR,428,500,428,440,2397100
11/10/2025,AMRT,1915,1920,1875,1885,52298700
11/10/2025,AMRTBQCF6A,0,0,0,0,0
11/10/2025,AMRTBQCH6A,18,18,17,18,391100
11/10/2025,AMRTBQCJ6A,38,38,38,38,239500
11/10/2025,AMRTDRCZ5A,13,13,13,13,159400
11/10/2025,AMRTHDCJ6A,10,10,7,9,15459400
11/10/2025,AMRTZPCK6A,16,16,15,15,283700
11/10/2025,AMRTZPCX5A,13,13,12,12,600
11/10/2025,ANDI,24,24,24,24,6638400
11/10/2025,ANJT,2150,2230,2110,2150,1873100
11/10/2025,ANTM,2930,2960,2870,2910,156986000
11/10/2025,ANTMBQCG6A,37,40,37,39,20700
11/10/2025,ANTMBQCJ6A,48,49,48,49,20000
11/10/2025,ANTMBQCN6A,74,74,73,73,3000
11/10/2025,ANTMBQCX5A,10,11,8,11,2733300
11/10/2025,ANTMBQCZ5A,0,0,0,0,0
11/10/2025,ANTMDRCG6A,29,30,26,28,1536800
11/10/2025,ANTMDRCG6B,35,35,33,34,710300
11/10/2025,ANTMDRCX5A,0,0,0,0,0
11/10/2025,ANTMDRPZ5A,30,30,30,30,300
11/10/2025,ANTMHDCH6A,58,59,55,57,731200
11/10/2025,ANTMHDCH6B,98,98,94,94,1400
11/10/2025,ANTMHDPH6A,67,67,66,67,695800
11/10/2025,ANTMZPCJ6A,54,54,49,52,1407600
11/10/2025,ANTMZPCK6A,21,22,20,21,258500
11/10/2025,ANTMZPCX5A,0,0,0,0,0
11/10/2025,APEX,131,132,129,130,14995700
11/10/2025,APIC,1155,1155,1130,1155,5681100
11/10/2025,APII,190,192,190,191,15800
11/10/2025,APLI,444,460,444,454,4600
11/10/2025,APLN,99,100,97,98,6603600
11/10/2025,ARCI,1175,1285,1175,1280,224514900
11/10/2025,AREA,535,535,520,525,1045400
11/10/2025,ARGO,1090,1115,1090,1090,7700
11/10/2025,ARII,268,274,260,266,385300
11/10/2025,ARKA,27,28,27,28,3150800
11/10/2025,ARKO,1610,1650,1580,1630,494700
11/10/2025,ARMY,0,0,0,0,0
11/10/2025,ARNA,555,555,545,550,2457300
11/10/2025,ARTA,3120,3210,3030,3040,3300
11/10/2025,ARTI,0,0,0,0,0
11/10/2025,ARTO,2190,2230,2150,2200,10989100
11/10/2025,ARTOBQCG6A,30,30,30,30,4600
11/10/2025,ARTOBQCJ6A,0,0,0,0,0
11/10/2025,ARTOBQCN6A,0,0,0,0,0
11/10/2025,ARTOBQCX5B,0,0,0,0,0
11/10/2025,ARTOBQCZ5A,12,12,9,10,4965100
11/10/2025,ARTODRCK6A,68,68,65,67,178100
11/10/2025,ARTODRCX5A,48,48,44,45,86600
11/10/2025,ARTOHDCN6A,0,0,0,0,0
11/10/2025,ARTOHDCZ5A,0,0,0,0,0
11/10/2025,ARTOZPCK6A,45,46,43,44,15100
11/10/2025,ARTOZPCX5A,44,44,44,44,37000
11/10/2025,ASBI,488,488,470,470,8000
11/10/2025,ASDM,600,650,575,620,865900
11/10/2025,ASGR,1205,1225,1205,1215,1185900
11/10/2025,ASHA,44,44,44,44,1235300
11/10/2025,ASII,6500,6500,6400,6425,45533400
11/10/2025,ASIIBQCZ5A,0,0,0,0,0
11/10/2025,ASIIDRCX5A,189,189,189,189,100
11/10/2025,ASIIDRCX6A,0,0,0,0,0
