<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
8/22/2025,IHSG,7910.099,7913.387,7858.851,7858.851,8608535587
8/22/2025,IDX30,0.000,0.000,0.000,0.000,0
8/22/2025,IDX80,0.000,0.000,0.000,0.000,0
8/22/2025,AADI,6900,6925,6825,6825,4821600
8/22/2025,AALI,7300,7575,7300,7450,1870000
8/22/2025,ABBA,39,39,38,39,1021700
8/22/2025,ABDA,0,0,0,0,0
8/22/2025,ABMM,3000,3000,2970,2990,880200
8/22/2025,ACES,464,464,454,456,47923300
8/22/2025,ACESBQCV5A,3,3,2,2,4684200
8/22/2025,ACESBQCX5B,0,0,0,0,0
8/22/2025,ACESBQCZ5A,32,32,32,32,177600
8/22/2025,ACESDRCJ6A,17,17,17,17,100100
8/22/2025,ACESHDCZ5A,0,0,0,0,0
8/22/2025,ACESZPCJ6A,25,25,25,25,100000
8/22/2025,ACRO,115,115,93,95,373431900
8/22/2025,ACRO-W,10,10,8,10,43528900
8/22/2025,ACST,197,204,153,158,345882700
8/22/2025,ADCP,50,51,50,50,13428200
8/22/2025,ADES,13550,14100,13500,14100,58600
8/22/2025,ADHI,296,306,288,290,151822800
8/22/2025,ADMF,9150,9150,9100,9125,56700
8/22/2025,ADMG,140,186,140,163,65610000
8/22/2025,ADMR,1025,1035,1015,1025,10343600
8/22/2025,ADMRDRCJ6A,35,36,34,35,48800
8/22/2025,ADMRZPCH6A,55,55,53,53,308000
8/22/2025,ADRO,1790,1800,1775,1775,55696800
8/22/2025,ADROBQCU5A,8,8,8,8,200000
8/22/2025,ADROBQCZ5A,24,24,22,22,297200
8/22/2025,ADRODRCJ6A,65,65,65,65,10500
8/22/2025,ADRODRCX5A,41,42,40,40,380000
8/22/2025,ADROHDCQ5A,0,0,0,0,0
8/22/2025,ADROHDCZ5A,0,0,0,0,0
8/22/2025,ADROYUCZ5A,83,83,83,83,100
8/22/2025,ADROZPCF6A,0,0,0,0,0
8/22/2025,AEGS,53,56,50,54,10129700
8/22/2025,AGAR,238,290,232,274,1886700
8/22/2025,AGII,900,900,880,895,962200
8/22/2025,AGRO,240,250,236,240,37630200
8/22/2025,AGRS,71,81,70,75,94689200
8/22/2025,AHAP,77,100,76,86,256631200
8/22/2025,AIMS,358,358,350,350,46100
8/22/2025,AISA,128,131,126,126,4964200
8/22/2025,AKKU,0,0,0,0,0
8/22/2025,AKPI,570,575,565,570,8900
8/22/2025,AKRA,1235,1245,1220,1230,12616000
8/22/2025,AKRABQCX5B,0,0,0,0,0
8/22/2025,AKRADRCX5A,0,0,0,0,0
8/22/2025,AKRAHDCH6A,64,64,64,64,20000
8/22/2025,AKRAHDCQ5A,0,0,0,0,0
8/22/2025,AKRAZPCJ6A,0,0,0,0,0
8/22/2025,AKRAZPCX5A,0,0,0,0,0
8/22/2025,AKSI,252,254,248,252,101100
8/22/2025,ALDO,496,505,496,500,93100
8/22/2025,ALII,565,575,560,565,3353400
8/22/2025,ALKA,310,318,310,316,14100
8/22/2025,ALMI,0,0,0,0,0
8/22/2025,ALTO,0,0,0,0,0
8/22/2025,AMAG,370,376,366,370,87000
8/22/2025,AMAN,125,125,119,120,1637800
8/22/2025,AMAR,220,220,212,212,696500
8/22/2025,AMFG,3070,3070,3040,3060,85700
8/22/2025,AMIN,193,216,193,210,2668800
8/22/2025,AMMN,8700,8775,8550,8600,63688800
8/22/2025,AMMNBQCZ5A,56,58,56,58,177700
8/22/2025,AMMNDRCJ6A,0,0,0,0,0
8/22/2025,AMMNHDCH6A,0,0,0,0,0
8/22/2025,AMMNZPCG6A,0,0,0,0,0
8/22/2025,AMMS,158,173,143,152,20406900
8/22/2025,AMOR,498,500,494,494,62500
8/22/2025,AMRT,2370,2390,2290,2300,17419100
8/22/2025,AMRTBQCU5A,11,12,7,7,30263200
8/22/2025,AMRTDRCZ5A,0,0,0,0,0
8/22/2025,AMRTHDCJ6A,44,44,39,39,62600
8/22/2025,AMRTHDCQ5A,3,3,2,2,189200
8/22/2025,AMRTZPCX5A,0,0,0,0,0
8/22/2025,ANDI,27,27,27,27,185122700
8/22/2025,ANJT,1775,1780,1740,1765,2533500
8/22/2025,ANTM,2840,2870,2820,2820,29415000
8/22/2025,ANTMBQCU5A,0,0,0,0,0
8/22/2025,ANTMBQCX5A,53,53,53,53,1200
8/22/2025,ANTMBQCZ5A,0,0,0,0,0
8/22/2025,ANTMDRCG6A,41,41,41,41,100
8/22/2025,ANTMDRCX5A,262,266,258,258,68500
8/22/2025,ANTMDRPU5A,0,0,0,0,0
8/22/2025,ANTMDRPU5B,18,18,17,17,200
8/22/2025,ANTMHDCH6A,0,0,0,0,0
8/22/2025,ANTMHDCH6B,0,0,0,0,0
8/22/2025,ANTMHDCQ5A,0,0,0,0,0
8/22/2025,ANTMHDCU5A,0,0,0,0,0
8/22/2025,ANTMZPCJ6A,62,63,59,59,300
8/22/2025,ANTMZPCX5A,0,0,0,0,0
8/22/2025,APEX,126,126,124,124,27688100
8/22/2025,APIC,1135,1180,1135,1175,6101900
8/22/2025,APII,172,178,172,177,80400
8/22/2025,APLI,480,482,480,482,1300
8/22/2025,APLN,109,109,107,108,11243800
8/22/2025,ARCI,655,680,640,655,25386900
8/22/2025,AREA,525,620,500,600,10305000
8/22/2025,ARGO,1535,1535,1420,1445,182600
8/22/2025,ARII,268,270,264,270,229500
8/22/2025,ARKA,31,33,31,33,7825400
8/22/2025,ARKO,1455,1470,1410,1440,771300
8/22/2025,ARMY,0,0,0,0,0
8/22/2025,ARNA,580,580,570,575,836800
8/22/2025,ARTA,3790,3790,3230,3370,44200
8/22/2025,ARTI,0,0,0,0,0
8/22/2025,ARTO,2220,2330,2200,2210,22245200
8/22/2025,ARTOBQCU5A,6,9,5,6,48286600
8/22/2025,ARTOBQCX5B,134,147,134,147,1400000
8/22/2025,ARTOBQCZ5A,31,35,29,30,1196900
8/22/2025,ARTODRCX5A,61,68,60,60,949300
8/22/2025,ARTOHDCZ5A,148,148,148,148,200000
8/22/2025,ARTOZPCX5A,65,68,65,68,388800
8/22/2025,ASBI,448,462,438,450,23000
8/22/2025,ASDM,570,570,535,555,77400
8/22/2025,ASGR,1080,1345,1070,1280,10570000
8/22/2025,ASHA,25,26,25,25,15305200
8/22/2025,ASII,5650,5775,5600,5700,73126900
8/22/2025,ASIIBQCU5A,0,0,0,0,0
8/22/2025,ASIIBQCZ5A,0,0,0,0,0
8/22/2025,ASIIDRCQ5B,0,0,0,0,0
8/22/2025,ASIIDRCX5A,0,0,0,0,0
8/22/2025,ASIIDRCX6A,3670,3670,3670,3670,200
8/22/2025,ASIIHDCZ5A,0,0,0,0,0
8/22/2025,ASIIZPCJ6A,135,135,135,135,16700
8/22/2025,ASJT,106,107,105,107,42800
8/22/2025,ASLC,0,0,0,0,0
8/22/2025,ASLI,0,0,0,0,0
8/22/2025,ASMI,21,23,21,23,15507000
8/22/2025,ASPI,390,430,380,416,7332100
8/22/2025,ASPR,97,98,97,97,4577000
8/22/2025,ASRI,183,185,178,180,58655400
8/22/2025,ASRM,282,284,280,282,30800
8/22/2025,ASSA,935,965,920,965,12881800
8/22/2025,ATAP,34,34,34,34,552200
8/22/2025,ATIC,406,406,390,398,507200
8/22/2025,ATLA,50,50,50,50,16502800
8/22/2025,AUTO,2310,2460,2310,2460,11837300
8/22/2025,AUTOZPCJ6A,33,38,33,38,25300
8/22/2025,AVIA,428,428,422,426,14972300
8/22/2025,AVIAZPCJ6A,0,0,0,0,0
8/22/2025,AWAN,262,262,254,254,18685500
8/22/2025,AXIO,130,132,127,128,932500
8/22/2025,AYAM,169,175,167,170,171831900
8/22/2025,AYLS,109,113,108,109,13891500
8/22/2025,BABP,53,56,50,56,163439500
8/22/2025,BABY,342,358,338,354,8139100
8/22/2025,BACA,133,134,131,134,666700
8/22/2025,BAIK,115,118,111,113,24418800
8/22/2025,BAIK-W,8,9,8,9,1177700
8/22/2025,BAJA,136,136,131,131,2953300
8/22/2025,BALI,1360,1360,1305,1360,35400
8/22/2025,BANK,830,845,830,840,6859700
8/22/2025,BANK-W,0,0,0,0,0
8/22/2025,BAPA,61,62,58,58,5361800
8/22/2025,BAPI,15,15,15,15,7691500
8/22/2025,BATA,50,50,50,50,117600
8/22/2025,BATR,103,110,101,108,18756500
8/22/2025,BAUT,36,38,36,37,32379500
8/22/2025,BAYU,1340,1365,1325,1365,134100
8/22/2025,BBCA,8575,8575,8450,8450,66394100
8/22/2025,BBCABQCV5A,16,16,15,15,100900
8/22/2025,BBCABQCX5A,33,33,33,33,190000
8/22/2025,BBCADRCF6A,60,61,59,60,17700
8/22/2025,BBCADRCX6A,0,0,0,0,0
8/22/2025,BBCAHDCQ5A,0,0,0,0,0
8/22/2025,BBCAHDCQ7A,80,81,80,81,8000
8/22/2025,BBCAHDCU5A,0,0,0,0,0
8/22/2025,BBCAHDCV5A,0,0,0,0,0
8/22/2025,BBCAZPCF6A,43,43,43,43,2000
8/22/2025,BBCAZPCH6A,0,0,0,0,0
8/22/2025,BBHI,1560,1580,1535,1555,1030700
8/22/2025,BBKP,62,66,62,63,395182000
8/22/2025,BBLD,1150,1405,960,965,2434000
8/22/2025,BBMD,2110,2110,2080,2110,1100
8/22/2025,BBNI,4500,4500,4380,4390,32633000
8/22/2025,BBNIBQCU5A,23,23,23,23,43400
8/22/2025,BBNIBQCV5A,0,0,0,0,0
8/22/2025,BBNIDRCX6A,0,0,0,0,0
8/22/2025,BBNIDRCZ5A,0,0,0,0,0
8/22/2025,BBNIDRPU5A,11,12,10,12,553500
8/22/2025,BBNIHDCQ7A,0,0,0,0,0
8/22/2025,BBNIHDCU5A,0,0,0,0,0
8/22/2025,BBNIHDPU5A,0,0,0,0,0
8/22/2025,BBNIYUCV5A,72,72,70,70,200
8/22/2025,BBNIZPCH6A,0,0,0,0,0
8/22/2025,BBNIZPCX5A,0,0,0,0,0
8/22/2025,BBRI,4170,4170,4100,4100,71971500
8/22/2025,BBRIBQCQ5A,2,2,1,1,15754500
8/22/2025,BBRIBQCU5A,31,32,29,29,14814800
8/22/2025,BBRIBQCZ5A,0,0,0,0,0
8/22/2025,BBRIDRCX5A,0,0,0,0,0
8/22/2025,BBRIDRCX6A,0,0,0,0,0
8/22/2025,BBRIHDCH6A,0,0,0,0,0
8/22/2025,BBRIHDCQ5A,0,0,0,0,0
8/22/2025,BBRIHDCQ7A,106,106,105,105,3000
8/22/2025,BBRIYUCV5A,151,152,147,147,4000200
8/22/2025,BBRIZPCH6A,109,109,109,109,1000
8/22/2025,BBRIZPCX5A,0,0,0,0,0
