<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/16/2025,IHSG,8064.679,8148.045,8030.777,8124.757,25713215300
10/16/2025,AADI,7875,7975,7750,7850,11419700
10/16/2025,AADIDRCN6A,91,95,91,95,1262200
10/16/2025,AADIHDCK6A,93,98,93,94,905100
10/16/2025,AADIYUCK6A,0,0,0,0,0
10/16/2025,AALI,7925,8050,7900,8050,2842100
10/16/2025,ABBA,65,65,65,65,11371000
10/16/2025,ABDA,2710,2710,2710,2710,100
10/16/2025,ABMM,2630,2630,2570,2600,2741100
10/16/2025,ACES,438,438,420,420,88095800
10/16/2025,ACESBQCV5A,2,3,1,2,17410400
10/16/2025,ACESBQCX5B,5,5,4,5,10375700
10/16/2025,ACESBQCZ5A,13,13,13,13,300
10/16/2025,ACESDRCJ6A,11,12,10,11,955200
10/16/2025,ACESHDCZ5A,22,22,20,20,900
10/16/2025,ACESZPCJ6A,18,18,17,17,500
10/16/2025,ACRO,84,85,83,84,3100400
10/16/2025,ACRO-W,12,12,10,12,3364100
10/16/2025,ACST,134,136,132,134,1317000
10/16/2025,ADCP,55,57,53,56,40817300
10/16/2025,ADES,13600,13750,13500,13600,26100
10/16/2025,ADHI,258,260,256,258,3551800
10/16/2025,ADMF,8600,8725,8575,8675,42900
10/16/2025,ADMG,129,132,127,132,534400
10/16/2025,ADMR,1280,1320,1270,1320,55351200
10/16/2025,ADMRDRCJ6A,58,62,57,62,4445600
10/16/2025,ADMRHDCJ6A,95,95,95,95,106100
10/16/2025,ADMRZPCH6A,81,85,80,82,100300
10/16/2025,ADRO,1690,1695,1670,1675,43126000
10/16/2025,ADROBQCG6A,56,56,55,55,2800
10/16/2025,ADROBQCZ5A,11,12,10,12,2213300
10/16/2025,ADRODRCJ6A,0,0,0,0,0
10/16/2025,ADRODRCX5A,0,0,0,0,0
10/16/2025,ADROHDCZ5A,0,0,0,0,0
10/16/2025,ADROHDPH6A,0,0,0,0,0
10/16/2025,ADROYUCZ5A,45,45,45,45,600
10/16/2025,ADROZPCF6A,20,20,20,20,313100
10/16/2025,ADROZPCK6A,0,0,0,0,0
10/16/2025,AEGS,40,44,39,44,11611300
10/16/2025,AGAR,246,246,230,236,75300
10/16/2025,AGII,0,0,0,0,0
10/16/2025,AGRO,222,224,218,218,11973000
10/16/2025,AGRS,70,70,67,69,6058600
10/16/2025,AHAP,85,88,83,85,19589200
10/16/2025,AIMS,402,410,402,410,982500
10/16/2025,AISA,137,138,133,135,5149400
10/16/2025,AKKU,0,0,0,0,0
10/16/2025,AKPI,555,570,550,570,12900
10/16/2025,AKRA,1100,1110,1070,1085,30891200
10/16/2025,AKRABQCX5B,13,13,12,12,8000
10/16/2025,AKRADRCX5A,15,17,15,17,700
10/16/2025,AKRAHDCH6A,0,0,0,0,0
10/16/2025,AKRAZPCJ6A,0,0,0,0,0
10/16/2025,AKRAZPCM6A,29,29,27,27,137200
10/16/2025,AKRAZPCX5A,0,0,0,0,0
10/16/2025,AKSI,320,324,300,310,763700
10/16/2025,ALDO,494,496,488,496,5000
10/16/2025,ALII,545,565,540,555,752400
10/16/2025,ALKA,336,338,328,338,47200
10/16/2025,ALMI,0,0,0,0,0
10/16/2025,ALTO,0,0,0,0,0
10/16/2025,AMAG,348,348,344,348,30100
10/16/2025,AMAN,132,148,130,137,2591200
10/16/2025,AMAR,232,234,216,230,2205700
10/16/2025,AMFG,3420,3420,3420,3420,300
10/16/2025,AMIN,250,280,242,264,943900
10/16/2025,AMMN,7375,7925,7300,7925,38683300
10/16/2025,AMMNBQCZ5A,20,24,16,24,7305200
10/16/2025,AMMNDRCJ6A,51,59,51,59,2567300
10/16/2025,AMMNHDCH6A,0,0,0,0,0
10/16/2025,AMMNZPCG6A,32,45,32,45,694900
10/16/2025,AMMS,302,316,286,302,5186200
10/16/2025,AMOR,428,432,420,424,115000
10/16/2025,AMRT,2220,2270,2160,2220,55170200
10/16/2025,AMRTBQCH6A,35,38,34,36,202200
10/16/2025,AMRTDRCZ5A,30,35,30,33,4800
10/16/2025,AMRTHDCJ6A,27,28,23,24,1384300
10/16/2025,AMRTZPCK6A,29,29,28,28,600
10/16/2025,AMRTZPCX5A,0,0,0,0,0
10/16/2025,ANDI,23,23,23,23,11060700
10/16/2025,ANJT,2320,2330,2250,2270,503900
10/16/2025,ANTM,3450,3540,3400,3430,256647500
10/16/2025,ANTMBQCX5A,68,78,66,66,1033000
10/16/2025,ANTMBQCZ5A,0,0,0,0,0
10/16/2025,ANTMDRCG6A,58,61,56,56,1012000
10/16/2025,ANTMDRCG6B,88,93,83,83,119000
10/16/2025,ANTMDRCX5A,0,0,0,0,0
10/16/2025,ANTMDRPZ5A,26,26,23,26,6800
10/16/2025,ANTMHDCH6A,99,102,96,96,12600
10/16/2025,ANTMHDCH6B,147,159,147,147,247100
10/16/2025,ANTMHDPH6A,51,52,48,52,319400
10/16/2025,ANTMZPCJ6A,94,100,93,93,313300
10/16/2025,ANTMZPCK6A,37,41,37,37,905600
10/16/2025,ANTMZPCX5A,258,262,256,256,306000
10/16/2025,APEX,127,132,125,130,23451500
10/16/2025,APIC,1125,1145,1125,1125,4624800
10/16/2025,APII,186,186,180,185,129000
10/16/2025,APLI,470,492,468,476,176400
10/16/2025,APLN,96,98,96,96,4758000
10/16/2025,ARCI,1440,1525,1385,1475,237542900
10/16/2025,AREA,505,510,500,505,912500
10/16/2025,ARGO,1050,1090,1045,1080,900
10/16/2025,ARII,268,270,262,266,183200
10/16/2025,ARKA,32,32,30,30,4277700
10/16/2025,ARKO,1530,1570,1485,1490,279400
10/16/2025,ARMY,0,0,0,0,0
10/16/2025,ARNA,530,540,520,535,1013100
10/16/2025,ARTA,3240,3240,3000,3110,5900
10/16/2025,ARTI,0,0,0,0,0
10/16/2025,ARTO,2070,2090,2030,2050,3131900
10/16/2025,ARTOBQCX5B,68,68,68,68,2000
10/16/2025,ARTOBQCZ5A,10,11,9,10,937800
10/16/2025,ARTODRCK6A,62,62,62,62,1700
10/16/2025,ARTODRCX5A,42,42,38,41,300
10/16/2025,ARTOHDCZ5A,0,0,0,0,0
10/16/2025,ARTOZPCK6A,0,0,0,0,0
10/16/2025,ARTOZPCX5A,0,0,0,0,0
10/16/2025,ASBI,454,492,454,472,24900
10/16/2025,ASDM,530,565,520,545,94200
10/16/2025,ASGR,1075,1090,1060,1085,763700
10/16/2025,ASHA,75,83,75,83,32953000
10/16/2025,ASII,5850,5850,5750,5750,15044500
10/16/2025,ASIIBQCZ5A,0,0,0,0,0
10/16/2025,ASIIDRCX5A,0,0,0,0,0
10/16/2025,ASIIDRCX6A,0,0,0,0,0
10/16/2025,ASIIHDCZ5A,0,0,0,0,0
10/16/2025,ASIIZPCJ6A,0,0,0,0,0
10/16/2025,ASIIZPCM6A,32,32,32,32,51700
10/16/2025,ASJT,128,131,120,122,652400
10/16/2025,ASLC,77,82,75,79,49117200
10/16/2025,ASLI,0,0,0,0,0
10/16/2025,ASMI,27,27,27,27,1701300
10/16/2025,ASPI,0,0,0,0,0
10/16/2025,ASPR,93,103,93,98,21912300
10/16/2025,ASRI,162,168,162,165,11287500
10/16/2025,ASRM,400,402,362,388,243700
10/16/2025,ASSA,865,910,865,885,7237600
10/16/2025,ATAP,88,88,80,83,864600
10/16/2025,ATIC,440,440,420,430,328500
10/16/2025,ATLA,70,76,69,73,182321700
10/16/2025,AUTO,2400,2410,2310,2400,2849500
10/16/2025,AUTODRCV6A,61,62,61,62,1100
10/16/2025,AUTOZPCJ6A,35,35,35,35,100
10/16/2025,AVIA,446,474,432,434,32229700
10/16/2025,AVIADRCV6A,0,0,0,0,0
10/16/2025,AVIAZPCJ6A,20,26,19,19,6791000
10/16/2025,AWAN,220,224,220,222,19534200
10/16/2025,AXIO,116,121,116,120,705300
10/16/2025,AYAM,178,179,175,179,95388100
10/16/2025,AYLS,178,197,176,187,38186600
10/16/2025,BABP,53,53,52,52,6441400
10/16/2025,BABY,336,356,320,356,11467900
10/16/2025,BACA,141,142,139,141,1563000
10/16/2025,BAIK,101,102,99,100,550800
10/16/2025,BAIK-W,10,10,9,9,4667200
10/16/2025,BAJA,160,162,147,159,5663300
10/16/2025,BALI,1115,1265,1115,1150,150200
10/16/2025,BANK,800,815,800,810,4135100
10/16/2025,BANK-W,0,0,0,0,0
10/16/2025,BAPA,81,82,67,69,48778800
10/16/2025,BAPI,25,25,24,24,7429700
10/16/2025,BATA,55,57,55,56,620500
10/16/2025,BATR,103,107,103,104,1334300
10/16/2025,BAUT,37,38,37,38,3859700
10/16/2025,BAYU,1285,1295,1275,1290,127200
10/16/2025,BBCA,7250,7325,7225,7300,120611200
10/16/2025,BBCABQCG6A,50,50,49,50,600
10/16/2025,BBCABQCV5A,7,7,4,5,6520800
10/16/2025,BBCABQCX5A,8,10,7,9,5116600
10/16/2025,BBCADRCF6A,18,18,17,18,1328400
10/16/2025,BBCADRCX6A,0,0,0,0,0
10/16/2025,BBCAHDCQ7A,0,0,0,0,0
10/16/2025,BBCAHDCV5A,0,0,0,0,0
10/16/2025,BBCAYUCK6A,145,145,145,145,1000
10/16/2025,BBCAZPCF6A,10,11,10,11,1987200
10/16/2025,BBCAZPCH6A,50,51,50,51,1003000
10/16/2025,BBHI,1500,1530,1495,1495,494900
10/16/2025,BBKP,69,70,67,70,93996700
10/16/2025,BBLD,0,0,0,0,0
10/16/2025,BBMD,0,0,0,0,0
10/16/2025,BBNI,3790,3890,3760,3850,55980800
10/16/2025,BBNIBQCG6A,0,0,0,0,0
10/16/2025,BBNIBQCV5A,3,5,2,3,2728500
10/16/2025,BBNIDRCX6A,1915,1915,1915,1915,200
10/16/2025,BBNIDRCZ5A,24,29,24,29,81500
10/16/2025,BBNIDRPZ5A,0,0,0,0,0
10/16/2025,BBNIHDCQ7A,0,0,0,0,0
10/16/2025,BBNIYUCV5A,0,0,0,0,0
10/16/2025,BBNIZPCH6A,0,0,0,0,0
10/16/2025,BBNIZPCX5A,0,0,0,0,0
10/16/2025,BBRI,3500,3580,3480,3530,227629500
10/16/2025,BBRIBQCJ6A,35,38,35,37,71600
10/16/2025,BBRIBQCZ5A,0,0,0,0,0
10/16/2025,BBRIDRCG6A,60,60,59,60,1637000
10/16/2025,BBRIDRCN6A,80,80,78,78,392000
10/16/2025,BBRIDRCX5A,56,60,55,57,572200
10/16/2025,BBRIDRCX6A,1800,1800,1800,1800,2400
10/16/2025,BBRIDRPZ5A,0,0,0,0,0
10/16/2025,BBRIHDCH6A,86,86,86,86,1081300
10/16/2025,BBRIHDCQ7A,61,61,60,60,106400
10/16/2025,BBRIYUCV5A,0,0,0,0,0
10/16/2025,BBRIZPCH6A,55,57,55,57,104600
10/16/2025,BBRIZPCX5A,0,0,0,0,0
10/16/2025,BBRM,86,86,83,85,6991300
10/16/2025,BBSI,4800,4800,3950,4080,694700
10/16/2025,BBSS,312,318,312,318,6900
10/16/2025,BBTN,1140,1175,1130,1150,38997900
10/16/2025,BBTNDRCV6A,0,0,0,0,0
10/16/2025,BBTNHDCZ5A,70,70,69,69,1000000
10/16/2025,BBTNYUCZ5A,0,0,0,0,0
10/16/2025,BBTNZPCG6A,33,33,32,32,16800
10/16/2025,BBYB,358,370,350,354,69065600
10/16/2025,BCAP,55,58,55,55,31456400
10/16/2025,BCIC,165,165,163,163,699600
10/16/2025,BCIP,109,109,101,101,31108200
10/16/2025,BDKR,164,171,163,166,30975000
10/16/2025,BDMN,2360,2370,2340,2350,437600
10/16/2025,BEBS,0,0,0,0,0
10/16/2025,BEEF,492,492,478,478,9235300
10/16/2025,BEER,115,123,114,118,4334300
10/16/2025,BEKS,27,27,27,27,11973600
10/16/2025,BELI,370,370,366,368,1305200
10/16/2025,BELL,61,63,60,63,7151900
10/16/2025,BESS,1095,1095,1070,1080,13900
10/16/2025,BEST,105,106,103,105,7459200
10/16/2025,BFIN,755,760,750,755,3137000
10/16/2025,BFINDRCK6A,0,0,0,0,0
10/16/2025,BFINHDCM6A,0,0,0,0,0
10/16/2025,BFINZPCM6A,18,18,18,18,300
10/16/2025,BGTG,110,110,105,106,25644500
10/16/2025,BHAT,915,935,910,930,2658300
10/16/2025,BHIT,33,33,33,33,8328100
10/16/2025,BIKA,0,0,0,0,0
10/16/2025,BIKE,950,965,945,960,9162600
10/16/2025,BIMA,76,76,74,74,46400
10/16/2025,BINA,4550,4550,4480,4510,2800
10/16/2025,BINO,128,154,126,131,19985700
10/16/2025,BIPI,97,102,95,96,472431400
10/16/2025,BIPP,43,43,43,43,368700
10/16/2025,BIRD,1775,1775,1735,1735,2957100
10/16/2025,BISI,890,890,870,885,108200
10/16/2025,BJBR,750,755,745,755,4256000
10/16/2025,BJTM,505,510,500,505,5258100
10/16/2025,BKDP,44,44,42,42,347500
10/16/2025,BKSL,132,134,129,130,267234700
10/16/2025,BKSW,60,62,59,62,2815800
10/16/2025,BLES,160,171,160,162,5516100
10/16/2025,BLOG,500,510,500,505,1597000
10/16/2025,BLTA,32,35,32,35,3959400
10/16/2025,BLTZ,2680,2680,2680,2680,2000
10/16/2025,BLUE,1055,1055,1000,1055,3094400
10/16/2025,BMAS,670,715,620,680,96000
10/16/2025,BMBL,52,56,50,54,8790200
10/16/2025,BMHS,149,151,145,150,5030300
