<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
8/25/2025,IHSG,7921.021,7951.978,7858.851,7926.907,5258822549
8/25/2025,IDX30,0.000,0.000,0.000,0.000,0
8/25/2025,IDX80,0.000,0.000,0.000,0.000,0
8/25/2025,AADI,6850,6875,6800,6825,11577700
8/25/2025,AALI,7475,7575,7475,7475,1623300
8/25/2025,ABBA,39,42,39,42,3591300
8/25/2025,ABDA,3400,3400,3400,3400,100
8/25/2025,ABMM,2990,3000,2960,2980,957100
8/25/2025,ACES,456,464,456,460,54222400
8/25/2025,ACESBQCV5A,2,3,2,3,95700
8/25/2025,ACESBQCX5B,0,0,0,0,0
8/25/2025,ACESBQCZ5A,30,31,30,31,3500
8/25/2025,ACESDRCJ6A,17,17,16,16,2600
8/25/2025,ACESHDCZ5A,44,44,44,44,33000
8/25/2025,ACESZPCJ6A,0,0,0,0,0
8/25/2025,ACRO,95,97,91,94,37898900
8/25/2025,ACRO-W,10,10,9,10,11305900
8/25/2025,ACST,159,171,146,162,124973300
8/25/2025,ADCP,50,51,50,50,12900400
8/25/2025,ADES,14100,14400,13600,13775,126200
8/25/2025,ADHI,292,300,286,292,62521700
8/25/2025,ADMF,9125,9150,9050,9075,90000
8/25/2025,ADMG,163,163,152,157,10704000
8/25/2025,ADMR,1025,1025,1005,1010,24354100
8/25/2025,ADMRDRCJ6A,34,34,33,33,519900
8/25/2025,ADMRZPCH6A,54,54,53,53,153000
8/25/2025,ADRO,1780,1795,1740,1740,126177800
8/25/2025,ADROBQCU5A,8,8,6,6,85600
8/25/2025,ADROBQCZ5A,22,22,21,21,4841100
8/25/2025,ADRODRCJ6A,65,65,62,62,11100
8/25/2025,ADRODRCX5A,40,40,38,38,208900
8/25/2025,ADROHDCZ5A,62,62,61,61,37000
8/25/2025,ADROYUCZ5A,79,79,78,78,14800
8/25/2025,ADROZPCF6A,32,32,31,31,253200
8/25/2025,AEGS,55,56,51,52,5327800
8/25/2025,AGAR,274,310,246,258,2128800
8/25/2025,AGII,895,900,880,890,727200
8/25/2025,AGRO,250,258,244,252,80385700
8/25/2025,AGRS,76,86,74,83,107948800
8/25/2025,AHAP,87,92,82,85,141717700
8/25/2025,AIMS,352,352,350,350,1553800
8/25/2025,AISA,128,129,126,128,4283500
8/25/2025,AKKU,0,0,0,0,0
8/25/2025,AKPI,550,570,545,565,32100
8/25/2025,AKRA,1250,1260,1235,1250,19749600
8/25/2025,AKRABQCX5B,0,0,0,0,0
8/25/2025,AKRADRCX5A,38,39,38,39,300
8/25/2025,AKRAHDCH6A,0,0,0,0,0
8/25/2025,AKRAZPCJ6A,0,0,0,0,0
8/25/2025,AKRAZPCX5A,68,69,68,69,200
8/25/2025,AKSI,256,258,252,254,140400
8/25/2025,ALDO,510,515,496,505,45500
8/25/2025,ALII,570,570,560,565,3541300
8/25/2025,ALKA,314,320,312,318,231900
8/25/2025,ALMI,0,0,0,0,0
8/25/2025,ALTO,0,0,0,0,0
8/25/2025,AMAG,370,374,366,370,31700
8/25/2025,AMAN,124,124,118,120,4001700
8/25/2025,AMAR,212,224,208,220,5130200
8/25/2025,AMFG,3050,3090,3050,3060,135400
8/25/2025,AMIN,210,214,197,204,746100
8/25/2025,AMMN,8600,8625,8450,8500,62792700
8/25/2025,AMMNBQCZ5A,52,53,52,53,200000
8/25/2025,AMMNDRCJ6A,0,0,0,0,0
8/25/2025,AMMNHDCH6A,0,0,0,0,0
8/25/2025,AMMNZPCG6A,0,0,0,0,0
8/25/2025,AMMS,152,160,145,148,7514000
8/25/2025,AMOR,494,500,492,498,141000
8/25/2025,AMRT,2340,2340,2270,2280,21226100
8/25/2025,AMRTBQCU5A,8,9,7,8,2605500
8/25/2025,AMRTDRCZ5A,43,44,43,44,61200
8/25/2025,AMRTHDCJ6A,37,37,37,37,700
8/25/2025,AMRTHDCQ5A,1,2,1,2,92900
8/25/2025,AMRTZPCX5A,55,57,55,55,204800
8/25/2025,ANDI,28,29,28,29,307327000
8/25/2025,ANJT,1780,1790,1780,1780,6353500
8/25/2025,ANTM,2850,2900,2840,2870,72067200
8/25/2025,ANTMBQCU5A,0,0,0,0,0
8/25/2025,ANTMBQCX5A,57,57,56,56,1600
8/25/2025,ANTMBQCZ5A,0,0,0,0,0
8/25/2025,ANTMDRCG6A,43,43,42,42,74300
8/25/2025,ANTMDRCX5A,268,272,266,268,14500
8/25/2025,ANTMDRPU5A,0,0,0,0,0
8/25/2025,ANTMDRPU5B,14,14,14,14,68300
8/25/2025,ANTMHDCH6A,0,0,0,0,0
8/25/2025,ANTMHDCH6B,114,114,114,114,1000000
8/25/2025,ANTMHDCU5A,66,66,64,64,4200
8/25/2025,ANTMZPCJ6A,62,65,62,65,300
8/25/2025,ANTMZPCX5A,168,168,167,167,400
8/25/2025,APEX,126,129,124,124,70101400
8/25/2025,APIC,1175,1215,1160,1205,6851900
8/25/2025,APII,178,178,173,177,22000
8/25/2025,APLI,482,484,482,484,400
8/25/2025,APLN,109,115,108,111,69047300
8/25/2025,ARCI,670,700,655,690,28022400
8/25/2025,AREA,600,620,555,600,4158900
8/25/2025,ARGO,1495,1540,1420,1420,104300
8/25/2025,ARII,270,270,258,270,490600
8/25/2025,ARKA,35,36,35,36,24027800
8/25/2025,ARKO,1430,1440,1365,1395,1248600
8/25/2025,ARMY,0,0,0,0,0
8/25/2025,ARNA,575,580,570,575,1720400
8/25/2025,ARTA,3460,3460,3340,3390,4100
8/25/2025,ARTI,0,0,0,0,0
8/25/2025,ARTO,2230,2340,2220,2290,20864900
8/25/2025,ARTOBQCU5A,6,9,6,6,16111900
8/25/2025,ARTOBQCX5B,136,146,136,146,1800000
8/25/2025,ARTOBQCZ5A,34,35,33,34,500200
8/25/2025,ARTODRCK6A,88,100,86,100,550800
8/25/2025,ARTODRCX5A,63,68,60,63,880200
8/25/2025,ARTOHDCZ5A,140,140,140,140,400000
8/25/2025,ARTOZPCX5A,63,65,63,65,1486900
8/25/2025,ASBI,450,450,438,438,11300
8/25/2025,ASDM,550,565,550,555,40100
8/25/2025,ASGR,1290,1315,1260,1260,4309700
8/25/2025,ASHA,27,27,27,27,24506200
8/25/2025,ASII,5750,5775,5675,5750,60737900
8/25/2025,ASIIBQCU5A,0,0,0,0,0
8/25/2025,ASIIBQCZ5A,0,0,0,0,0
8/25/2025,ASIIDRCX5A,0,0,0,0,0
8/25/2025,ASIIDRCX6A,0,0,0,0,0
8/25/2025,ASIIHDCZ5A,0,0,0,0,0
