<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
8/20/2025,IHSG,7874.896,7952.342,7862.939,7943.825,2635661475
8/20/2025,IDX30,0.000,0.000,0.000,0.000,0
8/20/2025,IDX80,0.000,0.000,0.000,0.000,0
8/20/2025,AADI,6925,6950,6825,6850,7760100
8/20/2025,AALI,7400,7550,7350,7400,3897900
8/20/2025,ABBA,38,39,38,38,2449200
8/20/2025,ABDA,3400,3400,3400,3400,100
8/20/2025,ABMM,2980,2990,2960,2970,619800
8/20/2025,ACES,458,464,454,456,67306800
8/20/2025,ACESBQCV5A,3,3,2,2,77200
8/20/2025,ACESBQCX5B,0,0,0,0,0
8/20/2025,ACESBQCZ5A,32,33,31,31,169200
8/20/2025,ACESDRCJ6A,17,17,17,17,119900
8/20/2025,ACESHDCZ5A,0,0,0,0,0
8/20/2025,ACESZPCJ6A,0,0,0,0,0
8/20/2025,ACRO,74,75,72,74,9258900
8/20/2025,ACRO-W,8,8,6,8,4563400
8/20/2025,ACST,90,121,90,121,100768200
8/20/2025,ADCP,51,51,50,50,35192500
8/20/2025,ADES,13625,14250,13575,13725,35500
8/20/2025,ADHI,282,288,276,284,35431200
8/20/2025,ADMF,9075,9150,9075,9150,107500
8/20/2025,ADMG,125,140,120,134,1604400
8/20/2025,ADMR,1020,1060,1010,1050,29662400
8/20/2025,ADMRDRCJ6A,37,38,37,37,343100
8/20/2025,ADMRZPCH6A,54,60,54,57,368800
8/20/2025,ADRO,1800,1815,1800,1810,39415400
8/20/2025,ADROBQCU5A,10,10,10,10,330000
8/20/2025,ADROBQCZ5A,24,25,24,24,2483100
8/20/2025,ADRODRCJ6A,68,68,67,67,89300
8/20/2025,ADRODRCX5A,42,42,42,42,25000
8/20/2025,ADROHDCQ5A,2,2,1,1,408500
8/20/2025,ADROHDCZ5A,0,0,0,0,0
8/20/2025,ADROYUCZ5A,0,0,0,0,0
8/20/2025,ADROZPCF6A,0,0,0,0,0
8/20/2025,AEGS,50,51,49,49,2690600
8/20/2025,AGAR,250,290,222,234,1941300
8/20/2025,AGII,900,900,895,900,330100
8/20/2025,AGRO,232,248,232,244,64006500
8/20/2025,AGRS,69,73,69,73,13315200
8/20/2025,AHAP,72,81,72,75,75409400
8/20/2025,AIMS,320,338,320,334,16000
8/20/2025,AISA,123,125,121,124,5088500
8/20/2025,AKKU,0,0,0,0,0
8/20/2025,AKPI,590,590,580,580,25600
8/20/2025,AKRA,1215,1235,1195,1230,43491000
8/20/2025,AKRABQCX5B,48,48,48,48,800
8/20/2025,AKRADRCX5A,36,36,35,35,600
8/20/2025,AKRAHDCH6A,63,64,63,64,48200
8/20/2025,AKRAHDCQ5A,0,0,0,0,0
8/20/2025,AKRAZPCJ6A,0,0,0,0,0
8/20/2025,AKRAZPCX5A,60,62,60,62,721500
8/20/2025,AKSI,262,262,252,254,258300
8/20/2025,ALDO,494,498,490,496,252700
8/20/2025,ALII,575,575,550,565,3902600
8/20/2025,ALKA,320,330,310,312,52800
8/20/2025,ALMI,0,0,0,0,0
8/20/2025,ALTO,0,0,0,0,0
8/20/2025,AMAG,358,420,356,370,549900
8/20/2025,AMAN,120,126,117,119,6072400
8/20/2025,AMAR,210,216,208,216,2330000
8/20/2025,AMFG,3060,3060,2950,3030,637200
8/20/2025,AMIN,184,186,178,186,346500
8/20/2025,AMMN,8500,8675,8450,8500,68117900
8/20/2025,AMMNBQCZ5A,55,55,54,55,361500
8/20/2025,AMMNDRCJ6A,82,82,82,82,528600
8/20/2025,AMMNHDCH6A,0,0,0,0,0
8/20/2025,AMMNZPCG6A,0,0,0,0,0
8/20/2025,AMMS,159,159,144,144,15935400
8/20/2025,AMOR,525,525,480,488,442000
8/20/2025,AMRT,2210,2370,2210,2360,40462200
8/20/2025,AMRTBQCU5A,7,10,6,10,1941900
8/20/2025,AMRTDRCZ5A,39,47,38,45,45186000
8/20/2025,AMRTHDCJ6A,37,39,37,39,217600
8/20/2025,AMRTHDCQ5A,3,3,3,3,385600
8/20/2025,AMRTZPCX5A,56,56,56,56,100000
8/20/2025,ANDI,23,23,23,23,40556200
8/20/2025,ANJT,1750,1760,1745,1760,1506300
8/20/2025,ANTM,2810,2840,2790,2840,67288600
8/20/2025,ANTMBQCU5A,0,0,0,0,0
8/20/2025,ANTMBQCX5A,53,54,53,54,14600
8/20/2025,ANTMBQCZ5A,0,0,0,0,0
8/20/2025,ANTMDRCG6A,41,41,40,40,3000
8/20/2025,ANTMDRCX5A,256,262,256,260,102900
8/20/2025,ANTMDRPU5A,0,0,0,0,0
8/20/2025,ANTMDRPU5B,0,0,0,0,0
8/20/2025,ANTMHDCH6A,75,75,73,73,15100
8/20/2025,ANTMHDCH6B,0,0,0,0,0
8/20/2025,ANTMHDCQ5A,0,0,0,0,0
8/20/2025,ANTMHDCU5A,0,0,0,0,0
8/20/2025,ANTMYUCQ5A,0,0,0,0,0
8/20/2025,ANTMZPCJ6A,59,61,58,61,514200
8/20/2025,ANTMZPCX5A,160,160,159,159,20000
8/20/2025,APEX,125,127,124,126,21035800
8/20/2025,APIC,1155,1155,1130,1155,5423700
8/20/2025,APII,178,178,173,174,22800
8/20/2025,APLI,494,494,478,484,12600
8/20/2025,APLN,106,116,104,113,166872000
8/20/2025,ARCI,650,685,635,670,27275000
8/20/2025,AREA,476,478,440,444,1385100
8/20/2025,ARGO,1725,1900,1465,1590,682500
8/20/2025,ARII,270,276,260,270,463100
8/20/2025,ARKA,34,34,31,31,15201400
8/20/2025,ARKO,1320,1400,1225,1395,5299900
8/20/2025,ARMY,0,0,0,0,0
8/20/2025,ARNA,570,580,570,580,1807500
8/20/2025,ARTA,3250,3250,3000,3220,11300
8/20/2025,ARTI,0,0,0,0,0
8/20/2025,ARTO,2180,2290,2170,2270,26249400
8/20/2025,ARTOBQCU5A,10,10,7,8,16882900
8/20/2025,ARTOBQCX5B,134,140,134,135,1600000
8/20/2025,ARTOBQCZ5A,29,33,29,33,9000
