<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/19/2025,IHSG,8384.362,8426.633,8375.575,8406.577,44063113700
11/19/2025,AADI,7950,8025,7800,7850,13660500
11/19/2025,AADIDRCN6A,103,104,97,97,245500
11/19/2025,AADIHDCK6A,105,106,101,101,231200
11/19/2025,AADIYUCK6A,322,322,320,320,5300
11/19/2025,AALI,7700,7800,7700,7800,1295300
11/19/2025,ABBA,58,58,57,57,3135300
11/19/2025,ABDA,2550,2550,2540,2540,300
11/19/2025,ABMM,3040,3080,3020,3080,803200
11/19/2025,ACES,428,432,428,430,18483100
11/19/2025,ACESBQCG6A,11,11,10,10,44800
11/19/2025,ACESBQCK6A,15,15,15,15,200
11/19/2025,ACESBQCX5B,1,2,1,2,45231500
11/19/2025,ACESBQCZ5A,5,6,5,6,45344200
11/19/2025,ACESDRCJ6A,9,10,9,10,72500
11/19/2025,ACESHDCN6A,55,55,55,55,1200
11/19/2025,ACESHDCZ5A,8,8,7,7,51600
11/19/2025,ACESZPCJ6A,0,0,0,0,0
11/19/2025,ACRO,92,96,90,92,45023400
11/19/2025,ACRO-W,7,8,7,7,1053700
11/19/2025,ACST,132,153,130,143,138234600
11/19/2025,ADCP,55,56,54,55,6371000
11/19/2025,ADES,15025,15250,15000,15050,31000
11/19/2025,ADHI,258,260,256,256,4647900
11/19/2025,ADMF,8825,8850,8725,8725,131200
11/19/2025,ADMG,163,166,159,161,1832600
11/19/2025,ADMR,1295,1345,1285,1320,35225000
11/19/2025,ADMRDRCH6A,45,45,37,41,105000
11/19/2025,ADMRDRCJ6A,58,62,57,60,5148900
11/19/2025,ADMRHDCJ6A,88,95,88,95,51200
11/19/2025,ADMRZPCH6A,77,82,77,81,185500
11/19/2025,ADRO,1890,1930,1880,1920,74350800
11/19/2025,ADROBQCG6A,0,0,0,0,0
11/19/2025,ADROBQCJ6A,59,61,59,61,213600
11/19/2025,ADROBQCN6A,0,0,0,0,0
11/19/2025,ADROBQCZ5A,4,4,3,3,2634100
11/19/2025,ADRODRCJ6A,57,60,57,60,64400
11/19/2025,ADROHDCN6A,72,75,72,75,61800
11/19/2025,ADROHDCZ5A,39,43,39,43,101500
11/19/2025,ADROHDPH6A,70,71,69,71,80100
11/19/2025,ADROYUCZ5A,42,43,41,41,5900
11/19/2025,ADROZPCF6A,22,22,22,22,200
11/19/2025,ADROZPCK6A,58,58,58,58,17300
11/19/2025,AEGS,92,94,83,90,35953200
11/19/2025,AGAR,236,242,236,240,38700
11/19/2025,AGII,1265,1300,1255,1300,668900
11/19/2025,AGRO,228,230,224,226,12732900
11/19/2025,AGRS,72,72,69,71,7571900
11/19/2025,AHAP,102,112,100,100,260425000
11/19/2025,AIMS,378,382,370,380,120000
11/19/2025,AISA,143,143,139,140,6549800
11/19/2025,AKKU,36,36,36,36,48400
11/19/2025,AKPI,575,580,570,575,49200
11/19/2025,AKRA,1345,1355,1305,1340,35019100
11/19/2025,AKRABQCX5B,30,33,10,14,39932200
11/19/2025,AKRADRCH6A,56,63,56,61,198300
11/19/2025,AKRAHDCH6A,61,62,61,62,1341600
11/19/2025,AKRAZPCJ6A,0,0,0,0,0
11/19/2025,AKRAZPCM6A,45,45,42,45,4144700
11/19/2025,AKRAZPCX5A,66,73,66,72,1617200
11/19/2025,AKSI,408,492,406,426,10776700
11/19/2025,ALDO,560,560,545,555,74600
11/19/2025,ALII,615,620,590,605,2132500
11/19/2025,ALKA,354,368,334,360,5000
11/19/2025,ALMI,0,0,0,0,0
11/19/2025,ALTO,0,0,0,0,0
11/19/2025,AMAG,380,382,378,380,77100
11/19/2025,AMAN,183,184,167,169,17917600
11/19/2025,AMAR,226,226,222,224,307600
11/19/2025,AMFG,3470,3470,3280,3300,211700
11/19/2025,AMIN,268,268,260,260,35300
11/19/2025,AMMN,6325,6475,6300,6475,21405800
11/19/2025,AMMNBQCZ5A,5,5,3,3,5420000
11/19/2025,AMMNDRCJ6A,27,27,26,27,302300
11/19/2025,AMMNHDCH6A,42,44,42,44,20000
11/19/2025,AMMNZPCG6A,13,14,12,13,573700
11/19/2025,AMMS,0,0,0,0,0
11/19/2025,AMOR,400,406,400,406,1104000
11/19/2025,AMRT,1875,1895,1860,1885,19845900
11/19/2025,AMRTBQCF6A,14,15,14,14,2960200
11/19/2025,AMRTBQCH6A,16,16,15,15,500300
11/19/2025,AMRTBQCJ6A,0,0,0,0,0
11/19/2025,AMRTDRCH6A,23,25,23,25,6800
11/19/2025,AMRTDRCZ5A,10,11,10,10,645200
11/19/2025,AMRTHDCJ6A,7,8,6,8,4975000
11/19/2025,AMRTZPCK6A,13,14,13,14,125200
11/19/2025,AMRTZPCX5A,0,0,0,0,0
11/19/2025,ANDI,23,24,23,23,2342700
11/19/2025,ANJT,1975,1995,1955,1980,317900
11/19/2025,ANTM,3010,3050,3000,3000,72939900
11/19/2025,ANTMBQCG6A,38,39,38,38,175000
11/19/2025,ANTMBQCJ6A,51,52,51,51,6325900
11/19/2025,ANTMBQCN6A,75,75,75,75,1400
11/19/2025,ANTMBQCX5A,4,5,3,3,28494200
11/19/2025,ANTMBQCZ5A,0,0,0,0,0
11/19/2025,ANTMDRCG6A,35,35,29,29,307800
11/19/2025,ANTMDRCG6B,37,37,36,36,16000
11/19/2025,ANTMDRPZ5A,22,22,22,22,1600
11/19/2025,ANTMHDCH6A,60,60,59,59,8600
11/19/2025,ANTMHDCH6B,102,102,101,101,40600
11/19/2025,ANTMHDPH6A,56,57,56,57,100100
11/19/2025,ANTMZPCJ6A,56,56,56,56,10000
11/19/2025,ANTMZPCK6A,23,23,22,22,110700
11/19/2025,ANTMZPCX5A,156,156,156,156,100
11/19/2025,APEX,214,236,199,222,517484200
11/19/2025,APIC,1130,1195,1125,1170,6176500
11/19/2025,APII,188,194,187,190,692000
11/19/2025,APLI,438,444,438,438,2700
11/19/2025,APLN,102,102,99,99,6033700
11/19/2025,ARCI,1155,1195,1155,1165,78951000
11/19/2025,AREA,535,575,535,540,2703600
11/19/2025,ARGO,1055,1095,1050,1060,6500
11/19/2025,ARII,270,276,268,272,167200
11/19/2025,ARKA,30,30,30,30,1154800
11/19/2025,ARKO,2010,2300,1970,2200,4330000
11/19/2025,ARMY,0,0,0,0,0
11/19/2025,ARNA,555,560,550,555,1795300
11/19/2025,ARTA,3110,3110,2960,3090,5800
11/19/2025,ARTI,0,0,0,0,0
11/19/2025,ARTO,1985,2000,1960,1960,8867100
11/19/2025,ARTOBQCG6A,0,0,0,0,0
11/19/2025,ARTOBQCJ6A,0,0,0,0,0
11/19/2025,ARTOBQCN6A,0,0,0,0,0
11/19/2025,ARTOBQCX5B,16,16,14,14,100200
11/19/2025,ARTOBQCZ5A,10,10,8,9,1989900
11/19/2025,ARTODRCK6A,0,0,0,0,0
11/19/2025,ARTOHDCN6A,48,48,48,48,1000
11/19/2025,ARTOHDCZ5A,0,0,0,0,0
11/19/2025,ARTOZPCK6A,30,30,30,30,189100
11/19/2025,ARTOZPCX5A,24,24,22,22,34300
11/19/2025,ASBI,478,486,476,484,35900
11/19/2025,ASDM,595,615,595,600,21000
11/19/2025,ASGR,1305,1305,1260,1270,576200
11/19/2025,ASHA,65,68,65,68,12309200
11/19/2025,ASII,6425,6475,6275,6400,45476700
11/19/2025,ASIIBQCZ5A,0,0,0,0,0
11/19/2025,ASIIDRCH6A,41,42,41,41,41100
11/19/2025,ASIIDRCX6A,4330,4330,4330,4330,500
11/19/2025,ASIIHDCZ5A,0,0,0,0,0
11/19/2025,ASIIZPCJ6A,0,0,0,0,0
11/19/2025,ASIIZPCM6A,41,41,41,41,25000
11/19/2025,ASJT,156,156,139,143,5128400
11/19/2025,ASLC,90,91,85,86,62643300
11/19/2025,ASLI,194,196,192,195,5870300
11/19/2025,ASMI,26,27,26,27,1414000
11/19/2025,ASPI,785,785,750,750,367700
11/19/2025,ASPR,102,102,96,99,9638400
11/19/2025,ASRI,170,170,164,165,27885000
11/19/2025,ASRM,324,328,322,324,34600
11/19/2025,ASSA,1105,1130,1060,1080,13848900
11/19/2025,ATAP,0,0,0,0,0
11/19/2025,ATIC,650,650,600,635,1022200
11/19/2025,ATLA,64,65,63,64,43390000
11/19/2025,AUTO,2630,2660,2620,2640,1172200
11/19/2025,AUTODRCV6A,0,0,0,0,0
11/19/2025,AUTOHDCN6A,0,0,0,0,0
11/19/2025,AUTOZPCJ6A,0,0,0,0,0
11/19/2025,AVIA,444,448,440,446,10597500
11/19/2025,AVIADRCV6A,72,76,72,76,300
11/19/2025,AVIAHDCN6A,0,0,0,0,0
11/19/2025,AVIAZPCJ6A,20,23,20,23,669300
11/19/2025,AWAN,260,260,236,236,20010800
11/19/2025,AXIO,132,150,129,148,46024000
11/19/2025,AYAM,322,326,304,320,129908300
11/19/2025,AYLS,0,0,0,0,0
11/19/2025,BABP,55,55,54,54,12819000
11/19/2025,BABY,370,440,362,368,189606500
11/19/2025,BACA,143,144,142,143,862800
11/19/2025,BAIK,103,103,101,102,2206200
11/19/2025,BAIK-W,8,9,7,8,2139700
11/19/2025,BAJA,170,172,168,170,2942600
11/19/2025,BALI,1190,1200,1180,1195,5700
11/19/2025,BANK,845,845,825,840,5406300
11/19/2025,BANK-W,0,0,0,0,0
11/19/2025,BAPA,92,114,92,93,294891200
11/19/2025,BAPI,23,23,23,23,4092000
11/19/2025,BATA,64,66,64,66,45500
11/19/2025,BATR,109,110,107,109,656900
11/19/2025,BAUT,38,40,38,40,1599300
11/19/2025,BAYU,1305,1335,1305,1315,164000
11/19/2025,BBCA,8350,8500,8325,8475,114209700
11/19/2025,BBCABQCG6A,66,68,66,68,121900
11/19/2025,BBCABQCJ6A,0,0,0,0,0
11/19/2025,BBCABQCN6A,49,49,49,49,41200
11/19/2025,BBCABQCX5A,2,2,1,2,1366300
11/19/2025,BBCADRCF6A,25,26,25,26,426800
11/19/2025,BBCADRCX6A,3900,3900,3900,3900,100
11/19/2025,BBCAHDCN6A,49,49,49,49,1000
11/19/2025,BBCAHDCQ7A,65,68,65,68,2028900
