<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/28/2025,IHSG,8144.430,8151.340,8039.850,8092.629,28940043500
10/28/2025,AADI,8025,8275,7950,8150,27386600
10/28/2025,AADIDRCN6A,92,97,92,96,181200
10/28/2025,AADIHDCK6A,97,104,97,99,2786400
10/28/2025,AADIYUCK6A,314,314,314,314,100
10/28/2025,AALI,7950,8000,7850,7900,1558900
10/28/2025,ABBA,61,61,60,60,1374100
10/28/2025,ABDA,2560,2560,2560,2560,500
10/28/2025,ABMM,2820,2890,2800,2880,1755600
10/28/2025,ACES,454,460,448,450,43436400
10/28/2025,ACESBQCX5B,4,5,4,5,1103300
10/28/2025,ACESBQCZ5A,15,15,15,15,121900
10/28/2025,ACESDRCJ6A,14,15,12,13,7033900
10/28/2025,ACESHDCZ5A,21,21,21,21,300
10/28/2025,ACESZPCJ6A,20,20,20,20,250000
10/28/2025,ACRO,86,88,84,86,8058100
10/28/2025,ACRO-W,8,9,7,8,22209200
10/28/2025,ACST,138,139,135,135,2620100
10/28/2025,ADCP,56,57,55,56,9901100
10/28/2025,ADES,15725,15750,15200,15725,17800
10/28/2025,ADHI,264,278,262,268,69475900
10/28/2025,ADMF,8650,8725,8650,8725,59000
10/28/2025,ADMG,148,152,143,144,1779300
10/28/2025,ADMR,1450,1470,1385,1435,118414900
10/28/2025,ADMRDRCJ6A,74,85,72,72,3393000
10/28/2025,ADMRHDCJ6A,119,122,112,112,909800
10/28/2025,ADMRZPCH6A,103,105,98,98,1288800
10/28/2025,ADRO,1795,1805,1775,1785,74745100
10/28/2025,ADROBQCG6A,63,63,63,63,4186000
10/28/2025,ADROBQCZ5A,8,9,8,9,432900
10/28/2025,ADRODRCJ6A,51,53,48,52,78300
10/28/2025,ADRODRCX5A,40,40,31,33,800
10/28/2025,ADROHDCZ5A,42,43,41,43,10600
10/28/2025,ADROHDPH6A,98,98,97,97,31500
10/28/2025,ADROYUCZ5A,49,49,47,47,2200
10/28/2025,ADROZPCF6A,22,22,22,22,100
10/28/2025,ADROZPCK6A,51,51,51,51,44000
