<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/22/2025,IHSG,8082.260,8087.930,8005.350,8040.039,36427095500
9/22/2025,AADI,7100,7125,7000,7075,8632000
9/22/2025,AADIHDCK6A,76,76,73,73,124900
9/22/2025,AALI,7850,7875,7700,7775,1091000
9/22/2025,ABBA,68,68,68,68,15265800
9/22/2025,ABDA,2970,2970,2970,2970,100
9/22/2025,ABMM,2880,2890,2860,2890,819600
9/22/2025,ACES,432,434,422,426,51187700
9/22/2025,ACESBQCV5A,9,19,6,6,52128900
9/22/2025,ACESBQCX5B,9,11,7,9,35087000
9/22/2025,ACESBQCZ5A,15,15,14,14,11400
9/22/2025,ACESDRCJ6A,12,13,12,12,90600
9/22/2025,ACESHDCZ5A,0,0,0,0,0
9/22/2025,ACESZPCJ6A,19,19,19,19,15000
9/22/2025,ACRO,85,86,84,85,3782000
9/22/2025,ACRO-W,11,12,10,11,17182800
9/22/2025,ACST,136,138,135,135,5683600
9/22/2025,ADCP,61,62,60,61,32211200
9/22/2025,ADES,13350,13350,13050,13300,30000
9/22/2025,ADHI,288,290,282,282,14279900
9/22/2025,ADMF,8950,9000,8925,8925,38700
9/22/2025,ADMG,137,140,135,139,319800
9/22/2025,ADMR,995,1000,985,995,25741800
9/22/2025,ADMRDRCJ6A,31,31,29,30,36300
9/22/2025,ADMRHDCJ6A,50,50,49,50,3600
9/22/2025,ADMRZPCH6A,51,51,47,47,2500
9/22/2025,ADRO,1665,1680,1645,1660,68080400
9/22/2025,ADROBQCG6A,63,63,63,63,100
9/22/2025,ADROBQCU5A,5,7,3,4,26503500
9/22/2025,ADROBQCZ5A,10,12,9,12,18665000
9/22/2025,ADRODRCJ6A,0,0,0,0,0
9/22/2025,ADRODRCX5A,28,29,28,29,216100
9/22/2025,ADROHDCZ5A,44,44,44,44,22700
9/22/2025,ADROHDPH6A,133,133,129,131,50800
9/22/2025,ADROYUCZ5A,0,0,0,0,0
9/22/2025,ADROZPCF6A,22,23,22,22,132100
9/22/2025,ADROZPCK6A,46,46,46,46,5600
9/22/2025,AEGS,53,57,53,57,78404800
9/22/2025,AGAR,252,280,252,276,452000
9/22/2025,AGII,820,820,795,810,1278200
9/22/2025,AGRO,242,244,236,240,7394200
9/22/2025,AGRS,80,82,79,79,9196900
9/22/2025,AHAP,77,82,76,79,20517900
9/22/2025,AIMS,340,360,340,356,29600
9/22/2025,AISA,148,154,142,151,37135300
9/22/2025,AKKU,0,0,0,0,0
9/22/2025,AKPI,590,595,550,575,192400
9/22/2025,AKRA,1220,1230,1195,1200,20733300
9/22/2025,AKRABQCX5B,39,39,34,34,13600
9/22/2025,AKRADRCX5A,0,0,0,0,0
9/22/2025,AKRAHDCH6A,60,60,60,60,300
9/22/2025,AKRAZPCJ6A,0,0,0,0,0
9/22/2025,AKRAZPCX5A,57,57,57,57,100
9/22/2025,AKSI,304,310,288,292,1715400
9/22/2025,ALDO,500,500,490,498,150000
9/22/2025,ALII,540,550,530,545,5744700
9/22/2025,ALKA,316,352,316,322,185800
9/22/2025,ALMI,0,0,0,0,0
9/22/2025,ALTO,0,0,0,0,0
9/22/2025,AMAG,358,370,356,368,60700
9/22/2025,AMAN,199,210,164,179,117227000
9/22/2025,AMAR,208,212,204,212,996800
9/22/2025,AMFG,3380,3420,3290,3360,17800
9/22/2025,AMIN,218,228,214,220,2617300
9/22/2025,AMMN,7750,7775,7000,7050,87139300
9/22/2025,AMMNBQCZ5A,32,32,17,18,16741800
9/22/2025,AMMNDRCJ6A,60,60,46,48,708100
9/22/2025,AMMNHDCH6A,90,90,72,72,21700
9/22/2025,AMMNZPCG6A,0,0,0,0,0
9/22/2025,AMMS,240,242,240,242,11750700
9/22/2025,AMOR,468,468,466,468,74200
9/22/2025,AMRT,2010,2010,1905,1905,70466300
9/22/2025,AMRTBQCU5A,5,7,3,4,66800500
9/22/2025,AMRTDRCZ5A,22,22,20,20,155000
9/22/2025,AMRTHDCJ6A,15,15,14,14,269600
9/22/2025,AMRTZPCK6A,20,20,19,20,21800
9/22/2025,AMRTZPCX5A,28,29,25,25,49300
9/22/2025,ANDI,36,36,35,35,37237400
9/22/2025,ANJT,1800,1810,1795,1810,3862800
9/22/2025,ANTM,3520,3580,3500,3580,128254500
9/22/2025,ANTMBQCU5A,386,386,382,382,15800
9/22/2025,ANTMBQCX5A,102,102,96,100,1495000
9/22/2025,ANTMBQCZ5A,0,0,0,0,0
9/22/2025,ANTMDRCG6A,68,69,66,68,244900
9/22/2025,ANTMDRCX5A,376,376,376,376,100
9/22/2025,ANTMDRPZ5A,31,32,30,31,24800
9/22/2025,ANTMHDCH6A,110,111,110,111,11000
9/22/2025,ANTMHDCH6B,165,165,165,165,10000
9/22/2025,ANTMHDCU5A,125,128,109,128,193700
9/22/2025,ANTMHDPH6A,58,58,57,57,11500
9/22/2025,ANTMZPCJ6A,105,105,102,104,6700
9/22/2025,ANTMZPCK6A,45,45,44,44,105000
9/22/2025,ANTMZPCX5A,0,0,0,0,0
9/22/2025,APEX,121,121,117,118,22395200
9/22/2025,APIC,1170,1175,1140,1140,4463300
9/22/2025,APII,182,182,180,180,66600
9/22/2025,APLI,498,498,462,474,43100
9/22/2025,APLN,103,105,102,103,10804500
9/22/2025,ARCI,910,955,890,950,99381400
9/22/2025,AREA,505,555,500,515,2778000
9/22/2025,ARGO,1230,1230,1195,1200,26300
9/22/2025,ARII,300,340,298,340,20678000
9/22/2025,ARKA,50,52,45,51,17790000
9/22/2025,ARKO,1855,1980,1835,1835,3347600
9/22/2025,ARMY,0,0,0,0,0
9/22/2025,ARNA,555,555,550,555,3236600
9/22/2025,ARTA,3180,3180,2950,3060,4800
9/22/2025,ARTI,0,0,0,0,0
9/22/2025,ARTO,2230,2240,2130,2140,6791500
9/22/2025,ARTOBQCU5A,5,5,2,2,32475800
9/22/2025,ARTOBQCX5B,0,0,0,0,0
9/22/2025,ARTOBQCZ5A,18,18,18,18,1800
9/22/2025,ARTODRCK6A,74,75,74,75,63700
9/22/2025,ARTODRCX5A,55,55,52,52,800
9/22/2025,ARTOHDCZ5A,115,115,115,115,200
9/22/2025,ARTOZPCK6A,0,0,0,0,0
9/22/2025,ARTOZPCX5A,55,55,55,55,100
9/22/2025,ASBI,456,456,444,446,26500
9/22/2025,ASDM,535,545,530,545,30600
9/22/2025,ASGR,1235,1240,1200,1220,452400
9/22/2025,ASHA,78,78,78,78,42001200
9/22/2025,ASII,5725,5725,5625,5700,35106300
9/22/2025,ASIIBQCU5A,18,18,4,4,6282600
9/22/2025,ASIIBQCZ5A,0,0,0,0,0
9/22/2025,ASIIDRCX5A,0,0,0,0,0
9/22/2025,ASIIDRCX6A,0,0,0,0,0
9/22/2025,ASIIHDCZ5A,0,0,0,0,0
9/22/2025,ASIIZPCJ6A,0,0,0,0,0
9/22/2025,ASJT,116,118,114,115,86000
9/22/2025,ASLC,91,94,88,90,199067000
9/22/2025,ASLI,0,0,0,0,0
9/22/2025,ASMI,42,42,42,42,16774300
9/22/2025,ASPI,0,0,0,0,0
9/22/2025,ASPR,95,97,95,96,5612300
9/22/2025,ASRI,169,170,167,168,28959400
9/22/2025,ASRM,276,280,274,274,180200
9/22/2025,ASSA,890,895,860,880,6034100
9/22/2025,ATAP,72,73,72,73,2904100
9/22/2025,ATIC,448,452,438,448,457600
9/22/2025,ATLA,72,73,68,69,223016300
9/22/2025,AUTO,2380,2380,2290,2320,4841700
9/22/2025,AUTOZPCJ6A,31,31,30,30,3200
9/22/2025,AVIA,406,410,404,406,4975300
9/22/2025,AVIAZPCJ6A,16,16,15,16,99200
9/22/2025,AWAN,256,266,254,264,20518100
9/22/2025,AXIO,129,135,128,132,2712600
9/22/2025,AYAM,176,177,173,175,132835200
9/22/2025,AYLS,116,120,114,114,7918600
9/22/2025,BABP,59,59,56,57,37269700
9/22/2025,BABY,314,320,302,306,12604400
9/22/2025,BACA,137,140,136,137,1170100
9/22/2025,BAIK,103,103,100,101,1048400
9/22/2025,BAIK-W,12,12,11,11,6781400
9/22/2025,BAJA,139,140,137,137,1788800
9/22/2025,BALI,1330,1330,1295,1305,13000
9/22/2025,BANK,810,810,795,805,6638700
9/22/2025,BANK-W,0,0,0,0,0
9/22/2025,BAPA,76,78,72,74,13892200
9/22/2025,BAPI,39,39,36,36,51640800
9/22/2025,BATA,56,56,54,54,2193500
9/22/2025,BATR,105,109,103,104,3828800
9/22/2025,BAUT,41,41,41,41,47007000
9/22/2025,BAYU,1290,1310,1285,1300,311700
9/22/2025,BBCA,7800,7825,7725,7725,92588800
9/22/2025,BBCABQCG6A,65,65,63,63,5800
9/22/2025,BBCABQCV5A,13,24,13,20,56791400
9/22/2025,BBCABQCX5A,12,21,10,15,131902600
9/22/2025,BBCADRCF6A,33,33,33,33,5917100
9/22/2025,BBCADRCX6A,0,0,0,0,0
9/22/2025,BBCAHDCQ7A,55,55,55,55,1000
9/22/2025,BBCAHDCV5A,27,28,24,24,98400
9/22/2025,BBCAZPCF6A,23,23,21,21,104800
9/22/2025,BBCAZPCH6A,74,74,70,70,46100
9/22/2025,BBHI,1540,1550,1475,1500,1375300
9/22/2025,BBKP,76,77,73,75,127245700
9/22/2025,BBLD,895,895,885,895,7800
9/22/2025,BBMD,2140,2140,2110,2110,200
9/22/2025,BBNI,4270,4280,4170,4210,63520200
9/22/2025,BBNIBQCG6A,0,0,0,0,0
9/22/2025,BBNIBQCU5A,5,5,1,3,38960000
9/22/2025,BBNIBQCV5A,25,25,21,23,506400
9/22/2025,BBNIDRCX6A,0,0,0,0,0
9/22/2025,BBNIDRCZ5A,49,49,48,48,5257600
9/22/2025,BBNIDRPZ5A,68,68,67,67,30000
9/22/2025,BBNIHDCQ7A,81,82,81,82,4800
9/22/2025,BBNIYUCV5A,31,31,31,31,20000
9/22/2025,BBNIZPCH6A,0,0,0,0,0
9/22/2025,BBNIZPCX5A,0,0,0,0,0
9/22/2025,BBRI,4250,4250,4110,4160,157592800
9/22/2025,BBRIBQCJ6A,74,74,74,74,6500
9/22/2025,BBRIBQCU5A,5,6,3,4,18340700
9/22/2025,BBRIBQCZ5A,85,85,85,85,2300
9/22/2025,BBRIDRCX5A,160,160,157,157,3000
9/22/2025,BBRIDRCX6A,0,0,0,0,0
9/22/2025,BBRIDRPZ5A,47,50,47,50,275300
9/22/2025,BBRIHDCH6A,136,136,134,134,4400
9/22/2025,BBRIHDCQ7A,108,108,104,104,2200
9/22/2025,BBRIYUCV5A,105,106,103,103,100000
9/22/2025,BBRIZPCH6A,106,106,104,104,2500
9/22/2025,BBRIZPCX5A,0,0,0,0,0
9/22/2025,BBRM,87,88,84,85,10718000
9/22/2025,BBSI,4040,4050,4000,4000,21700
9/22/2025,BBSS,342,344,318,330,1396300
9/22/2025,BBTN,1340,1345,1305,1305,20724000
9/22/2025,BBTNHDCZ5A,122,122,122,122,1000
9/22/2025,BBTNYUCZ5A,80,80,80,80,1200
9/22/2025,BBTNZPCG6A,57,57,54,54,60000
9/22/2025,BBYB,320,326,310,314,59675400
9/22/2025,BCAP,69,69,65,66,37061300
9/22/2025,BCIC,0,0,0,0,0
9/22/2025,BCIP,106,108,105,108,24349000
9/22/2025,BDKR,160,163,158,159,11813600
9/22/2025,BDMN,2380,2420,2350,2380,6401200
9/22/2025,BEBS,0,0,0,0,0
9/22/2025,BEEF,324,326,316,318,10490200
9/22/2025,BEER,107,108,105,107,1351300
9/22/2025,BEKS,30,30,30,30,334210300
9/22/2025,BELI,370,370,364,366,375300
9/22/2025,BELL,67,67,64,66,31357000
9/22/2025,BESS,1090,1130,1060,1120,138800
9/22/2025,BEST,113,116,112,113,15504300
9/22/2025,BFIN,770,790,755,775,9642800
9/22/2025,BFINDRCK6A,0,0,0,0,0
9/22/2025,BGTG,107,108,103,107,14416000
9/22/2025,BHAT,870,885,870,875,1807800
9/22/2025,BHIT,40,40,38,38,21112500
9/22/2025,BIKA,0,0,0,0,0
9/22/2025,BIKE,1040,1050,1020,1035,9779000
9/22/2025,BIMA,83,83,82,82,261300
9/22/2025,BINA,4480,4500,4480,4500,6100
9/22/2025,BINO,131,131,127,129,766300
9/22/2025,BIPI,84,86,81,83,301094000
9/22/2025,BIPP,51,51,50,50,1447700
9/22/2025,BIRD,1870,1870,1800,1810,1308100
9/22/2025,BISI,890,895,875,890,40800
9/22/2025,BJBR,760,765,760,765,2453500
9/22/2025,BJTM,515,515,510,515,4340300
