<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/11/2025,IHSG,7781.170,7819.100,7742.600,7747.905,31085408500
9/11/2025,IDX30,0.000,0.000,0.000,0.000,0
9/11/2025,IDX80,0.000,0.000,0.000,0.000,0
9/11/2025,AADI,7000,7100,6975,7050,4834400
9/11/2025,AADIHDCK6A,76,78,76,77,6700
9/11/2025,AALI,7275,7375,7250,7300,730100
9/11/2025,ABBA,43,44,43,44,705000
9/11/2025,ABDA,3060,3060,2970,2970,2400
9/11/2025,ABMM,2890,2920,2880,2900,864500
9/11/2025,ACES,432,444,432,434,63364400
9/11/2025,ACESBQCV5A,2,2,1,2,293500
9/11/2025,ACESBQCX5B,11,11,10,10,400
9/11/2025,ACESBQCZ5A,20,20,18,19,5800
9/11/2025,ACESDRCJ6A,14,14,13,14,3310300
9/11/2025,ACESHDCZ5A,0,0,0,0,0
9/11/2025,ACESZPCJ6A,0,0,0,0,0
9/11/2025,ACRO,87,87,83,85,11184900
9/11/2025,ACRO-W,12,12,10,12,20700900
9/11/2025,ACST,134,138,131,135,5608000
9/11/2025,ADCP,60,62,57,58,81457800
9/11/2025,ADES,13700,13700,13300,13525,25500
9/11/2025,ADHI,274,284,274,280,38406000
9/11/2025,ADMF,8950,9000,8925,8950,41800
9/11/2025,ADMG,146,147,144,145,275600
9/11/2025,ADMR,1000,1010,990,990,18876400
9/11/2025,ADMRDRCJ6A,32,32,30,31,21900
9/11/2025,ADMRHDCJ6A,0,0,0,0,0
9/11/2025,ADMRZPCH6A,0,0,0,0,0
9/11/2025,ADRO,1700,1710,1680,1680,53602600
9/11/2025,ADROBQCU5A,2,2,1,1,8200
9/11/2025,ADROBQCZ5A,15,15,14,15,300
9/11/2025,ADRODRCJ6A,54,54,54,54,23000
9/11/2025,ADRODRCX5A,34,34,31,31,248000
9/11/2025,ADROHDCZ5A,0,0,0,0,0
9/11/2025,ADROHDPH6A,131,131,131,131,200
9/11/2025,ADROYUCZ5A,64,64,64,64,100
9/11/2025,ADROZPCF6A,24,24,24,24,30000
9/11/2025,ADROZPCK6A,0,0,0,0,0
9/11/2025,AEGS,39,42,38,42,35782500
9/11/2025,AGAR,242,250,242,250,30800
9/11/2025,AGII,770,780,760,765,585100
9/11/2025,AGRO,250,262,248,248,114476700
9/11/2025,AGRS,75,79,75,76,6332300
9/11/2025,AHAP,78,78,75,77,4672200
9/11/2025,AIMS,292,292,292,292,160800
9/11/2025,AISA,120,122,120,121,2276000
9/11/2025,AKKU,0,0,0,0,0
9/11/2025,AKPI,555,560,555,560,3300
9/11/2025,AKRA,1250,1250,1220,1220,9479600
9/11/2025,AKRABQCX5B,41,42,41,41,36700
9/11/2025,AKRADRCX5A,0,0,0,0,0
9/11/2025,AKRAHDCH6A,0,0,0,0,0
9/11/2025,AKRAZPCJ6A,0,0,0,0,0
9/11/2025,AKRAZPCX5A,0,0,0,0,0
9/11/2025,AKSI,236,240,232,240,231500
9/11/2025,ALDO,496,498,492,498,104000
9/11/2025,ALII,550,560,535,535,2896600
9/11/2025,ALKA,316,366,316,326,252300
9/11/2025,ALMI,0,0,0,0,0
9/11/2025,ALTO,0,0,0,0,0
9/11/2025,AMAG,362,382,362,372,95600
9/11/2025,AMAN,120,123,117,120,2253200
9/11/2025,AMAR,210,214,206,210,985600
9/11/2025,AMFG,3320,3330,3220,3300,5400
9/11/2025,AMIN,250,286,224,250,10761000
9/11/2025,AMMN,7950,8100,7900,8050,31191700
9/11/2025,AMMNBQCZ5A,34,35,34,34,5900
9/11/2025,AMMNDRCJ6A,66,66,64,66,9700
9/11/2025,AMMNHDCH6A,0,0,0,0,0
9/11/2025,AMMNZPCG6A,0,0,0,0,0
9/11/2025,AMMS,0,0,0,0,0
9/11/2025,AMOR,468,468,460,466,333000
9/11/2025,AMRT,2140,2220,2100,2170,41718100
