<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/9/2025,IHSG,6918.699,6943.922,6907.213,6943.922,25609274800
7/9/2025,IDX30,0.000,0.000,0.000,0.000,0
7/9/2025,IDX80,0.000,0.000,0.000,0.000,0
7/9/2025,AADI,6900,6900,6825,6850,7961800
7/9/2025,AALI,5750,5850,5675,5825,438000
7/9/2025,ABBA,37,37,37,37,227100
7/9/2025,ABDA,0,0,0,0,0
7/9/2025,ABMM,3010,3030,3010,3010,208700
7/9/2025,ACES,488,515,484,510,75215700
7/9/2025,ACESBQCV5A,5,7,5,5,1703900
7/9/2025,ACESDRCN5A,2,3,1,3,617900
7/9/2025,ACESDRCQ5A,2,2,1,2,1465700
7/9/2025,ACESHDCZ5A,69,71,69,71,1500
7/9/2025,ACRO,61,63,60,61,2899000
7/9/2025,ACRO-W,6,7,5,6,2773500
7/9/2025,ACST,88,90,88,90,1263500
7/9/2025,ADCP,50,50,50,50,26000
7/9/2025,ADES,11750,13000,11525,12150,50100
7/9/2025,ADHI,236,252,234,250,71259700
7/9/2025,ADMF,9050,9200,9050,9100,77000
7/9/2025,ADMG,114,137,112,116,4555800
7/9/2025,ADMR,955,965,940,955,4793700
7/9/2025,ADMRZPCH6A,0,0,0,0,0
7/9/2025,ADRO,1745,1755,1730,1740,49878100
7/9/2025,ADROBQCN5A,6,6,6,6,375300
7/9/2025,ADROBQCU5A,36,36,25,25,630600
7/9/2025,ADROBQCZ5A,43,44,43,44,200
7/9/2025,ADRODRCN5A,0,0,0,0,0
7/9/2025,ADRODRCQ5A,3,3,2,3,7312500
7/9/2025,ADRODRCQ5B,20,20,18,18,2500
7/9/2025,ADRODRCX5A,43,43,43,43,53100
7/9/2025,ADROHDCN5A,0,0,0,0,0
7/9/2025,ADROHDCQ5A,0,0,0,0,0
7/9/2025,ADROHDCZ5A,0,0,0,0,0
7/9/2025,ADROZPCF6A,0,0,0,0,0
7/9/2025,AEGS,31,33,31,33,695200
7/9/2025,AGAR,228,230,226,228,48100
7/9/2025,AGII,985,995,980,990,644000
7/9/2025,AGRO,202,202,199,200,3913200
7/9/2025,AGRS,64,65,64,65,345300
7/9/2025,AHAP,65,65,63,65,1077600
7/9/2025,AIMS,274,298,274,298,39500
7/9/2025,AISA,140,140,137,139,1425300
7/9/2025,AKKU,0,0,0,0,0
7/9/2025,AKPI,595,625,590,595,24700
7/9/2025,AKRA,1160,1175,1155,1155,8542000
7/9/2025,AKRADRCN5A,29,29,29,29,100
7/9/2025,AKRADRCQ5A,7,8,7,8,54400
7/9/2025,AKRADRCX5A,0,0,0,0,0
7/9/2025,AKRAHDCQ5A,15,15,15,15,461200
7/9/2025,AKRAZPCX5A,0,0,0,0,0
7/9/2025,AKSI,280,280,266,268,393500
7/9/2025,ALDO,492,498,492,492,64100
7/9/2025,ALII,640,640,630,635,3293900
7/9/2025,ALKA,302,302,298,298,9900
7/9/2025,ALMI,0,0,0,0,0
7/9/2025,ALTO,0,0,0,0,0
7/9/2025,AMAG,346,352,346,352,16400
7/9/2025,AMAN,101,101,91,99,1128700
7/9/2025,AMAR,158,159,156,157,439700
7/9/2025,AMFG,3540,3540,3520,3520,62200
7/9/2025,AMIN,147,147,144,144,167100
7/9/2025,AMMN,8500,8850,8500,8750,44370300
7/9/2025,AMMNZPCG6A,82,82,80,80,20400
7/9/2025,AMMS,0,0,0,0,0
7/9/2025,AMMS-W,0,0,0,0,0
7/9/2025,AMOR,515,520,500,515,42600
7/9/2025,AMRT,2370,2370,2320,2370,23575600
7/9/2025,AMRTBQCU5A,0,0,0,0,0
7/9/2025,AMRTDRCN5A,0,0,0,0,0
7/9/2025,AMRTDRCQ5A,6,6,6,6,18500
7/9/2025,AMRTDRCZ5A,50,50,48,48,200
7/9/2025,AMRTHDCQ5A,33,33,32,32,95700
7/9/2025,AMRTZPCX5A,64,64,64,64,23600
7/9/2025,ANDI,17,18,17,18,6054900
7/9/2025,ANJT,1755,1760,1755,1760,2631500
7/9/2025,ANTM,2940,2960,2880,2920,97849400
7/9/2025,ANTMBQCU5A,272,272,272,272,100
7/9/2025,ANTMBQCX5A,80,83,80,83,1200
7/9/2025,ANTMBQCZ5A,0,0,0,0,0
7/9/2025,ANTMDRCG6A,51,53,51,52,196900
7/9/2025,ANTMDRCN5A,199,200,199,200,4000
7/9/2025,ANTMDRCQ5A,250,250,248,248,17800
7/9/2025,ANTMDRCX5A,282,284,276,282,113500
7/9/2025,ANTMDRPU5A,61,61,61,61,100
7/9/2025,ANTMDRPU5B,0,0,0,0,0
7/9/2025,ANTMHDCQ5A,0,0,0,0,0
7/9/2025,ANTMHDCU5A,148,151,148,151,3500
7/9/2025,ANTMYUCQ5A,0,0,0,0,0
7/9/2025,ANTMZPCX5A,186,193,186,189,167300
7/9/2025,APEX,132,133,127,130,18098000
7/9/2025,APIC,1145,1165,1130,1160,5712600
7/9/2025,APII,171,178,171,177,4600
7/9/2025,APLI,480,480,470,470,600
7/9/2025,APLN,89,91,89,89,2435300
7/9/2025,ARCI,580,615,575,605,45008000
7/9/2025,AREA,424,436,414,424,1162100
7/9/2025,ARGO,800,840,775,800,31500
7/9/2025,ARII,268,280,266,280,220400
7/9/2025,ARKA,20,20,20,20,1449400
7/9/2025,ARKO,805,815,805,805,51600
7/9/2025,ARMY,0,0,0,0,0
7/9/2025,ARNA,585,595,585,590,530300
7/9/2025,ARTA,2970,2980,2400,2500,176500
7/9/2025,ARTI,0,0,0,0,0
7/9/2025,ARTO,1720,1720,1665,1670,4034000
7/9/2025,ARTOBQCU5A,9,9,9,9,140000
7/9/2025,ARTOBQCZ5A,26,26,26,26,21600
7/9/2025,ARTODRCN5A,2,2,2,2,5000
7/9/2025,ARTODRCQ5A,3,3,3,3,83500
7/9/2025,ARTODRCX5A,32,32,32,32,100
7/9/2025,ARTOHDCZ5A,0,0,0,0,0
7/9/2025,ARTOZPCX5A,0,0,0,0,0
7/9/2025,ASBI,392,414,392,414,6500
7/9/2025,ASDM,525,525,500,520,399400
7/9/2025,ASGR,895,900,880,895,356200
7/9/2025,ASHA,17,17,17,17,2346400
7/9/2025,ASII,4680,4720,4670,4720,32577400
7/9/2025,ASIIBQCU5A,0,0,0,0,0
7/9/2025,ASIIBQCZ5A,0,0,0,0,0
7/9/2025,ASIIDRCQ5A,0,0,0,0,0
7/9/2025,ASIIDRCQ5B,0,0,0,0,0
7/9/2025,ASIIDRCX5A,84,84,84,84,100
7/9/2025,ASIIDRCX6A,2730,2730,2730,2730,200
7/9/2025,ASIIDRPQ5A,32,32,30,32,36000
7/9/2025,ASIIHDCZ5A,0,0,0,0,0
7/9/2025,ASJT,107,107,104,107,38100
7/9/2025,ASLC,63,67,63,66,46097900
7/9/2025,ASLI,50,50,50,50,344200
7/9/2025,ASMI,16,16,16,16,47000
7/9/2025,ASPI,210,214,204,210,452000
7/9/2025,ASPR,160,160,140,140,225416700
7/9/2025,ASRI,124,127,123,127,10897400
7/9/2025,ASRM,274,278,274,278,7000
7/9/2025,ASSA,745,755,740,755,2160100
7/9/2025,ATAP,29,29,29,29,4000
7/9/2025,ATIC,382,386,380,386,114000
7/9/2025,ATLA,50,50,50,50,79800
7/9/2025,AUTO,2040,2050,2020,2040,1016100
7/9/2025,AVIA,440,448,436,442,9457000
7/9/2025,AWAN,270,276,262,274,22694200
7/9/2025,AXIO,132,134,122,130,2306300
7/9/2025,AYAM,165,165,161,162,119516000
7/9/2025,AYLS,101,103,101,101,2279300
7/9/2025,BABP,50,51,50,51,12567400
7/9/2025,BABY,302,302,298,300,8750100
7/9/2025,BACA,131,131,130,130,285000
7/9/2025,BAIK,99,100,97,98,1557000
7/9/2025,BAIK-W,8,8,7,7,86500
7/9/2025,BAJA,141,141,128,134,6489600
7/9/2025,BALI,1540,1540,1425,1480,33300
7/9/2025,BANK,805,820,795,820,6714100
7/9/2025,BANK-W,0,0,0,0,0
7/9/2025,BAPA,50,50,50,50,500
7/9/2025,BAPI,9,9,8,9,1461600
7/9/2025,BATA,50,50,50,50,800
