<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/25/2025,IHSG,7542.375,7552.775,7515.125,7543.503,223129561
7/25/2025,IDX30,0.000,0.000,0.000,0.000,0
7/25/2025,IDX80,0.000,0.000,0.000,0.000,0
7/25/2025,AADI,6950,6975,6850,6875,6397800
7/25/2025,AALI,6525,6625,6425,6450,1191600
7/25/2025,ABBA,37,37,37,37,441000
7/25/2025,ABDA,0,0,0,0,0
7/25/2025,ABMM,3020,3030,2980,2980,1242900
7/25/2025,ACES,476,482,472,474,30280700
7/25/2025,ACESBQCV5A,4,4,2,3,288200
7/25/2025,ACESBQCX5B,21,21,20,20,200
7/25/2025,ACESDRCJ6A,21,21,19,20,234900
7/25/2025,ACESDRCN5A,0,0,0,0,0
7/25/2025,ACESDRCQ5A,1,1,1,1,2000
7/25/2025,ACESHDCZ5A,0,0,0,0,0
7/25/2025,ACRO,69,70,67,67,7483800
7/25/2025,ACRO-W,6,7,6,7,937300
7/25/2025,ACST,92,93,92,92,504900
7/25/2025,ADCP,50,50,50,50,20400
7/25/2025,ADES,12500,12575,12400,12500,24000
7/25/2025,ADHI,252,258,250,250,17095500
7/25/2025,ADMF,9100,9100,9050,9100,85800
7/25/2025,ADMG,123,129,122,125,482100
7/25/2025,ADMR,1210,1230,1180,1180,34101400
7/25/2025,ADMRDRCJ6A,58,58,55,55,79100
7/25/2025,ADMRZPCH6A,81,81,81,81,1200
7/25/2025,ADRO,1985,1995,1910,1915,66713900
7/25/2025,ADROBQCU5A,33,33,31,31,13800
7/25/2025,ADROBQCZ5A,0,0,0,0,0
7/25/2025,ADRODRCJ6A,90,90,84,84,49500
7/25/2025,ADRODRCN5A,0,0,0,0,0
7/25/2025,ADRODRCQ5A,3,3,2,3,445500
7/25/2025,ADRODRCQ5B,24,24,24,24,100
7/25/2025,ADRODRCX5A,59,59,54,54,121700
7/25/2025,ADROHDCQ5A,9,9,9,9,182400
7/25/2025,ADROHDCZ5A,0,0,0,0,0
7/25/2025,ADROZPCF6A,47,47,44,44,15800
7/25/2025,AEGS,32,33,31,32,1179000
7/25/2025,AGAR,228,230,218,224,48800
7/25/2025,AGII,965,965,935,935,808400
7/25/2025,AGRO,216,218,210,214,36755500
7/25/2025,AGRS,64,67,63,65,4812500
7/25/2025,AHAP,64,64,62,63,5756300
7/25/2025,AIMS,384,388,374,382,2179500
7/25/2025,AISA,147,149,146,147,1577800
7/25/2025,AKKU,0,0,0,0,0
7/25/2025,AKPI,595,595,595,595,100
7/25/2025,AKRA,1250,1250,1220,1240,10994500
7/25/2025,AKRABQCX5B,52,53,52,53,200
7/25/2025,AKRADRCN5A,0,0,0,0,0
7/25/2025,AKRADRCQ5A,7,8,7,8,151900
7/25/2025,AKRADRCX5A,37,37,37,37,100
7/25/2025,AKRAHDCQ5A,0,0,0,0,0
7/25/2025,AKRAZPCX5A,61,61,61,61,13800
7/25/2025,AKSI,266,268,256,262,636400
7/25/2025,ALDO,490,496,490,492,13200
7/25/2025,ALII,570,580,565,575,3664000
7/25/2025,ALKA,306,306,296,298,25200
7/25/2025,ALMI,0,0,0,0,0
7/25/2025,ALTO,0,0,0,0,0
7/25/2025,AMAG,354,358,352,356,21200
7/25/2025,AMAN,116,122,115,120,5563100
7/25/2025,AMAR,248,252,212,232,21334200
7/25/2025,AMFG,3510,3510,3490,3500,5900
7/25/2025,AMIN,164,170,154,156,2072800
7/25/2025,AMMN,8250,8275,8125,8250,22395000
7/25/2025,AMMNBQCZ5A,65,65,64,64,200
7/25/2025,AMMNDRCJ6A,79,79,79,79,200100
7/25/2025,AMMNZPCG6A,0,0,0,0,0
7/25/2025,AMMS,104,105,93,95,4195200
7/25/2025,AMMS-W,2,2,1,1,54213700
7/25/2025,AMOR,515,515,505,515,9900
7/25/2025,AMRT,2190,2210,2160,2200,12847200
7/25/2025,AMRTBQCU5A,13,13,12,12,11500
7/25/2025,AMRTDRCN5A,0,0,0,0,0
7/25/2025,AMRTDRCQ5A,0,0,0,0,0
7/25/2025,AMRTDRCZ5A,0,0,0,0,0
7/25/2025,AMRTHDCQ5A,13,13,13,13,124100
7/25/2025,AMRTZPCX5A,0,0,0,0,0
7/25/2025,ANDI,17,18,17,18,2174100
7/25/2025,ANJT,1765,1765,1755,1755,229800
7/25/2025,ANTM,3040,3040,2950,2970,61092600
7/25/2025,ANTMBQCU5A,278,278,278,278,400
7/25/2025,ANTMBQCX5A,82,83,78,78,51700
7/25/2025,ANTMBQCZ5A,0,0,0,0,0
7/25/2025,ANTMDRCG6A,52,52,51,51,650900
7/25/2025,ANTMDRCN5A,0,0,0,0,0
7/25/2025,ANTMDRCQ5A,264,264,258,258,600
7/25/2025,ANTMDRCX5A,296,296,284,284,271500
7/25/2025,ANTMDRPU5A,53,53,53,53,100
7/25/2025,ANTMDRPU5B,29,29,29,29,2800
7/25/2025,ANTMHDCH6A,88,88,86,86,97700
7/25/2025,ANTMHDCQ5A,0,0,0,0,0
7/25/2025,ANTMHDCU5A,0,0,0,0,0
7/25/2025,ANTMYUCQ5A,336,336,336,336,100
7/25/2025,ANTMZPCX5A,0,0,0,0,0
7/25/2025,APEX,121,124,117,118,15332900
7/25/2025,APIC,1175,1180,1165,1175,4020100
7/25/2025,APII,169,169,168,168,30000
7/25/2025,APLI,488,490,476,482,900
7/25/2025,APLN,96,99,95,97,21654700
7/25/2025,ARCI,0,0,0,0,0
7/25/2025,AREA,446,446,432,436,890300
7/25/2025,ARGO,0,0,0,0,0
7/25/2025,ARII,274,282,268,268,402700
7/25/2025,ARKA,24,24,24,24,2041600
7/25/2025,ARKO,985,985,925,925,1563400
7/25/2025,ARMY,0,0,0,0,0
7/25/2025,ARNA,585,585,575,585,1407900
7/25/2025,ARTA,3890,4770,3790,3840,256600
7/25/2025,ARTI,0,0,0,0,0
7/25/2025,ARTO,1915,1925,1870,1870,17997800
7/25/2025,ARTOBQCU5A,9,10,7,8,7872600
7/25/2025,ARTOBQCX5B,95,95,94,94,200
7/25/2025,ARTOBQCZ5A,21,21,21,21,100
7/25/2025,ARTODRCN5A,0,0,0,0,0
7/25/2025,ARTODRCQ5A,6,6,3,5,2867500
7/25/2025,ARTODRCX5A,42,42,42,42,53200
7/25/2025,ARTOHDCZ5A,0,0,0,0,0
7/25/2025,ARTOZPCX5A,43,43,40,42,607700
7/25/2025,ASBI,418,420,418,420,2600
7/25/2025,ASDM,530,530,520,520,54000
7/25/2025,ASGR,915,935,910,925,816000
7/25/2025,ASHA,17,17,17,17,2141500
7/25/2025,ASII,5000,5050,4950,5000,28079000
7/25/2025,ASIIBQCU5A,0,0,0,0,0
7/25/2025,ASIIBQCZ5A,0,0,0,0,0
7/25/2025,ASIIDRCQ5A,23,23,23,23,78500
7/25/2025,ASIIDRCQ5B,0,0,0,0,0
7/25/2025,ASIIDRCX5A,99,99,99,99,100
7/25/2025,ASIIDRCX6A,0,0,0,0,0
7/25/2025,ASIIDRPQ5A,0,0,0,0,0
7/25/2025,ASIIHDCZ5A,0,0,0,0,0
7/25/2025,ASJT,110,112,110,110,83300
7/25/2025,ASLC,67,67,65,66,18491700
7/25/2025,ASLI,50,50,50,50,300600
7/25/2025,ASMI,17,17,17,17,67600
7/25/2025,ASPI,366,366,340,340,9044100
7/25/2025,ASPR,94,102,93,98,39493700
7/25/2025,ASRI,142,152,141,152,209343400
7/25/2025,ASRM,284,284,282,282,5000
7/25/2025,ASSA,915,925,900,900,6564900
7/25/2025,ATAP,28,28,27,27,59900
7/25/2025,ATIC,386,394,382,394,61700
7/25/2025,ATLA,50,50,50,50,651700
7/25/2025,AUTO,2160,2160,2130,2140,1020300
7/25/2025,AVIA,460,460,452,458,9359800
7/25/2025,AWAN,256,260,250,252,21601100
7/25/2025,AXIO,132,133,131,132,596200
7/25/2025,AYAM,162,163,159,162,87338600
7/25/2025,AYLS,107,108,104,105,4646100
7/25/2025,BABP,51,51,50,50,8566600
7/25/2025,BABY,294,310,280,308,10138500
7/25/2025,BACA,130,131,130,131,1158100
7/25/2025,BAIK,95,96,93,93,2220200
7/25/2025,BAIK-W,8,8,8,8,2000
7/25/2025,BAJA,125,142,124,140,40634200
7/25/2025,BALI,1475,1530,1455,1480,115700
7/25/2025,BANK,830,830,805,810,6550800
7/25/2025,BANK-W,0,0,0,0,0
7/25/2025,BAPA,50,50,50,50,2300
7/25/2025,BAPI,8,8,8,8,4309500
7/25/2025,BATA,47,47,47,47,105400
7/25/2025,BATR,84,86,82,85,1564900
7/25/2025,BAUT,28,28,27,28,1994800
7/25/2025,BAYU,1290,1290,1250,1270,228200
7/25/2025,BBCA,8500,8525,8450,8450,58682800
7/25/2025,BBCABQCV5A,0,0,0,0,0
7/25/2025,BBCABQCX5A,53,53,52,52,200
7/25/2025,BBCADRCF6A,67,67,67,67,100
7/25/2025,BBCADRCQ5A,21,21,21,21,18000
7/25/2025,BBCADRCX6A,0,0,0,0,0
7/25/2025,BBCADRPQ5A,55,55,54,55,3500
7/25/2025,BBCAHDCQ5A,5,5,4,4,200
7/25/2025,BBCAHDCU5A,0,0,0,0,0
7/25/2025,BBCAHDCV5A,0,0,0,0,0
7/25/2025,BBCAYUCQ5A,48,48,48,48,100
7/25/2025,BBCAZPCF6A,52,52,51,51,500
7/25/2025,BBCAZPCH6A,0,0,0,0,0
7/25/2025,BBHI,1300,1385,1275,1340,7606500
7/25/2025,BBKP,65,65,63,64,132725600
7/25/2025,BBLD,860,890,860,885,20900
7/25/2025,BBMD,2160,2180,2160,2180,300
7/25/2025,BBNI,4160,4180,4070,4090,48597600
7/25/2025,BBNIBQCU5A,0,0,0,0,0
7/25/2025,BBNIBQCV5A,0,0,0,0,0
7/25/2025,BBNIDRCQ5A,8,8,8,8,100
7/25/2025,BBNIDRCX6A,2240,2240,2230,2230,700
