<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/26/2025,IHSG,8051.760,8099.330,8035.000,8099.333,38958790800
9/26/2025,AADI,7600,7750,7550,7625,15653800
9/26/2025,AADIHDCK6A,92,94,90,91,2048800
9/26/2025,AADIYUCK6A,294,304,292,296,28800
9/26/2025,AALI,8275,8275,8075,8250,3562000
9/26/2025,ABBA,54,54,54,54,16073200
9/26/2025,ABDA,0,0,0,0,0
9/26/2025,ABMM,2910,2920,2870,2880,781000
9/26/2025,ACES,422,434,422,430,37341600
9/26/2025,ACESBQCV5A,10,10,9,9,3873600
9/26/2025,ACESBQCX5B,10,10,8,10,18674700
9/26/2025,ACESBQCZ5A,18,20,18,20,320800
9/26/2025,ACESDRCJ6A,15,16,11,12,41482900
9/26/2025,ACESHDCZ5A,0,0,0,0,0
9/26/2025,ACESZPCJ6A,17,19,17,19,31200
9/26/2025,ACRO,82,85,80,82,6321200
9/26/2025,ACRO-W,14,16,14,15,19855500
9/26/2025,ACST,130,134,126,132,2854700
9/26/2025,ADCP,60,61,59,59,20866600
9/26/2025,ADES,13100,13200,13000,13200,34800
9/26/2025,ADHI,276,288,276,278,19037400
9/26/2025,ADMF,8925,8950,8900,8900,55800
9/26/2025,ADMG,138,139,137,137,282000
9/26/2025,ADMR,1015,1025,1005,1015,20706500
9/26/2025,ADMRDRCJ6A,30,32,30,31,485700
9/26/2025,ADMRHDCJ6A,0,0,0,0,0
9/26/2025,ADMRZPCH6A,48,49,48,49,6500
9/26/2025,ADRO,1700,1720,1690,1700,58983800
9/26/2025,ADROBQCG6A,66,66,66,66,200
9/26/2025,ADROBQCZ5A,15,15,13,14,6104200
9/26/2025,ADRODRCJ6A,52,52,52,52,16000
9/26/2025,ADRODRCX5A,32,32,30,30,283900
9/26/2025,ADROHDCZ5A,46,46,45,45,4800
9/26/2025,ADROHDPH6A,0,0,0,0,0
9/26/2025,ADROYUCZ5A,58,58,58,58,100
9/26/2025,ADROZPCF6A,1,24,1,23,1349400
9/26/2025,ADROZPCK6A,47,47,47,47,30500
9/26/2025,AEGS,55,55,49,49,80809900
9/26/2025,AGAR,238,246,238,242,114500
9/26/2025,AGII,790,810,780,795,605900
9/26/2025,AGRO,232,246,230,242,30434900
9/26/2025,AGRS,76,77,75,76,2776700
9/26/2025,AHAP,75,77,74,75,5997400
9/26/2025,AIMS,348,348,338,338,14100
9/26/2025,AISA,140,144,136,139,22604400
9/26/2025,AKKU,0,0,0,0,0
9/26/2025,AKPI,570,600,565,585,367000
9/26/2025,AKRA,1230,1235,1205,1235,13158100
9/26/2025,AKRABQCX5B,35,35,35,35,200
9/26/2025,AKRADRCX5A,31,31,31,31,100
9/26/2025,AKRAHDCH6A,0,0,0,0,0
9/26/2025,AKRAZPCJ6A,48,50,47,50,65800
9/26/2025,AKRAZPCX5A,0,0,0,0,0
9/26/2025,AKSI,316,366,312,338,6102800
9/26/2025,ALDO,492,496,492,492,9800
9/26/2025,ALII,545,555,535,550,4713400
9/26/2025,ALKA,380,380,316,326,435000
9/26/2025,ALMI,0,0,0,0,0
9/26/2025,ALTO,0,0,0,0,0
9/26/2025,AMAG,360,364,354,360,264500
9/26/2025,AMAN,150,157,147,155,4041200
9/26/2025,AMAR,204,208,202,206,776000
9/26/2025,AMFG,3350,3380,3320,3380,8300
9/26/2025,AMIN,270,276,252,258,1562900
9/26/2025,AMMN,6850,7075,6725,7000,72819900
9/26/2025,AMMNBQCZ5A,18,22,16,19,42130000
9/26/2025,AMMNDRCJ6A,41,45,41,45,44800
9/26/2025,AMMNHDCH6A,71,71,67,67,341700
9/26/2025,AMMNZPCG6A,29,31,27,29,2786600
9/26/2025,AMMS,232,252,210,228,23012100
9/26/2025,AMOR,458,458,446,450,199500
9/26/2025,AMRT,1865,1910,1850,1875,40168400
9/26/2025,AMRTBQCU5A,0,0,0,0,0
9/26/2025,AMRTDRCZ5A,18,18,17,17,1347900
9/26/2025,AMRTHDCJ6A,11,13,11,11,1358600
9/26/2025,AMRTZPCK6A,18,19,18,18,43500
9/26/2025,AMRTZPCX5A,4,33,4,22,3354500
9/26/2025,ANDI,34,34,34,34,54701000
9/26/2025,ANJT,2350,2380,2000,2190,6066300
9/26/2025,ANTM,3180,3220,3110,3210,164732500
9/26/2025,ANTMBQCX5A,63,64,55,61,1292900
9/26/2025,ANTMBQCZ5A,0,0,0,0,0
9/26/2025,ANTMDRCG6A,49,51,46,50,541900
9/26/2025,ANTMDRCX5A,0,0,0,0,0
9/26/2025,ANTMDRPZ5A,39,40,38,39,385000
9/26/2025,ANTMHDCH6A,85,85,82,84,26100
9/26/2025,ANTMHDCH6B,132,133,126,132,2571200
9/26/2025,ANTMHDCU5A,0,0,0,0,0
9/26/2025,ANTMHDPH6A,73,75,71,71,276600
9/26/2025,ANTMZPCJ6A,79,79,77,78,211300
9/26/2025,ANTMZPCK6A,33,34,30,33,1146200
9/26/2025,ANTMZPCX5A,210,210,208,208,288300
9/26/2025,APEX,117,118,115,118,17827700
9/26/2025,APIC,1150,1155,1135,1150,4288400
9/26/2025,APII,183,183,181,181,15400
9/26/2025,APLI,466,478,422,464,26900
9/26/2025,APLN,104,104,102,103,6712600
9/26/2025,ARCI,1010,1030,975,1030,44133700
9/26/2025,AREA,545,555,535,550,2024000
9/26/2025,ARGO,1125,1125,1080,1100,20900
9/26/2025,ARII,296,296,280,286,1058200
9/26/2025,ARKA,39,39,37,37,9117000
9/26/2025,ARKO,1610,1740,1440,1525,3556200
9/26/2025,ARMY,0,0,0,0,0
9/26/2025,ARNA,540,550,535,540,4955800
9/26/2025,ARTA,3050,3190,3000,3100,4000
9/26/2025,ARTI,0,0,0,0,0
9/26/2025,ARTO,2080,2180,2050,2150,7675600
9/26/2025,ARTOBQCX5B,100,103,95,95,2010500
9/26/2025,ARTOBQCZ5A,21,28,19,21,38962100
9/26/2025,ARTODRCK6A,0,0,0,0,0
