<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/4/2025,IHSG,6893.218,6916.674,6843.691,6865.192,168693287
7/4/2025,IDX30,0.000,0.000,0.000,0.000,0
7/4/2025,IDX80,0.000,0.000,0.000,0.000,0
7/4/2025,AADI,6925,7075,6900,7000,5259500
7/4/2025,AALI,5825,5825,5725,5775,98700
7/4/2025,ABBA,36,37,36,37,348800
7/4/2025,ABDA,0,0,0,0,0
7/4/2025,ABMM,2980,2990,2950,2960,345300
7/4/2025,ACES,488,492,482,486,13151700
7/4/2025,ACESBQCV5A,6,6,5,6,3800
7/4/2025,ACESDRCN5A,1,1,1,1,3009000
7/4/2025,ACESDRCQ5A,1,1,1,1,20100
7/4/2025,ACRO,62,62,60,61,1612900
7/4/2025,ACRO-W,7,7,6,7,1029200
7/4/2025,ACST,88,89,88,89,185500
7/4/2025,ADCP,50,50,50,50,36700
7/4/2025,ADES,11850,13475,11850,12000,342300
7/4/2025,ADHI,232,236,228,230,7304700
7/4/2025,ADMF,9000,9250,8950,9125,143300
7/4/2025,ADMG,113,116,113,114,54900
7/4/2025,ADMR,970,970,950,960,7592200
7/4/2025,ADRO,1760,1765,1730,1755,43978000
7/4/2025,ADROBQCN5A,12,12,12,12,151400
7/4/2025,ADROBQCU5A,29,29,28,28,138600
7/4/2025,ADROBQCZ5A,47,47,47,47,200
7/4/2025,ADRODRCN5A,3,3,3,3,100
7/4/2025,ADRODRCQ5A,3,4,3,3,2519600
7/4/2025,ADRODRCQ5B,21,21,20,20,500
7/4/2025,ADRODRCX5A,44,44,44,44,20500
7/4/2025,ADROHDCN5A,12,12,12,12,1300
7/4/2025,ADROHDCQ5A,0,0,0,0,0
7/4/2025,ADROZPCF6A,0,0,0,0,0
7/4/2025,AEGS,30,31,30,31,360200
7/4/2025,AGAR,230,234,226,228,35200
7/4/2025,AGII,985,990,965,980,341100
7/4/2025,AGRO,200,206,199,199,22556900
7/4/2025,AGRS,65,66,64,64,861400
7/4/2025,AHAP,67,68,65,66,2976400
7/4/2025,AIMS,316,316,314,314,2000
7/4/2025,AISA,141,143,137,138,2352900
7/4/2025,AKKU,0,0,0,0,0
7/4/2025,AKPI,590,610,590,605,20300
7/4/2025,AKRA,1180,1200,1170,1190,3302500
7/4/2025,AKRADRCN5A,35,35,33,34,6000
7/4/2025,AKRADRCQ5A,11,11,11,11,200
7/4/2025,AKRADRCX5A,33,33,33,33,3000
7/4/2025,AKRAHDCQ5A,0,0,0,0,0
7/4/2025,AKRAZPCX5A,0,0,0,0,0
7/4/2025,AKSI,284,284,266,270,1039400
7/4/2025,ALDO,490,494,490,492,7500
7/4/2025,ALII,620,625,615,620,3351100
7/4/2025,ALKA,300,304,290,304,27200
7/4/2025,ALMI,0,0,0,0,0
7/4/2025,ALTO,0,0,0,0,0
7/4/2025,AMAG,360,366,350,354,107700
7/4/2025,AMAN,101,102,101,102,419100
7/4/2025,AMAR,157,160,156,157,351500
7/4/2025,AMFG,3610,3610,3520,3520,39500
7/4/2025,AMIN,149,152,149,150,54600
7/4/2025,AMMN,8525,8625,8425,8500,18648300
7/4/2025,AMMNZPCG6A,77,77,77,77,13300
7/4/2025,AMMS,0,0,0,0,0
7/4/2025,AMMS-W,0,0,0,0,0
7/4/2025,AMOR,525,530,515,520,48600
7/4/2025,AMRT,2380,2390,2320,2330,17910800
7/4/2025,AMRTBQCU5A,0,0,0,0,0
7/4/2025,AMRTDRCN5A,0,0,0,0,0
7/4/2025,AMRTDRCQ5A,7,7,7,7,12500
7/4/2025,AMRTDRCZ5A,51,52,50,50,5500
7/4/2025,AMRTHDCQ5A,37,37,37,37,61000
7/4/2025,AMRTZPCX5A,0,0,0,0,0
7/4/2025,ANDI,17,17,16,17,275000
7/4/2025,ANJT,1735,1740,1730,1740,1233600
7/4/2025,ANTM,3120,3120,3000,3000,159485200
7/4/2025,ANTMBQCU5A,0,0,0,0,0
7/4/2025,ANTMBQCX5A,100,100,91,93,59300
7/4/2025,ANTMBQCZ5A,0,0,0,0,0
7/4/2025,ANTMDRCG6A,60,60,57,57,369600
7/4/2025,ANTMDRCN5A,226,226,212,212,1100
7/4/2025,ANTMDRCQ5A,268,268,262,262,18800
7/4/2025,ANTMDRCX5A,308,308,296,296,131800
7/4/2025,ANTMDRPU5A,61,62,61,62,21300
7/4/2025,ANTMDRPU5B,36,37,36,37,10300
7/4/2025,ANTMHDCQ5A,394,394,378,378,135000
7/4/2025,ANTMHDCU5A,191,191,171,171,7200
7/4/2025,ANTMYUCQ5A,354,354,344,344,200
7/4/2025,ANTMZPCX5A,210,212,206,210,29999500
7/4/2025,APEX,136,138,124,128,30010200
7/4/2025,APIC,1135,1145,1125,1140,4430800
7/4/2025,APII,168,170,168,170,1500
7/4/2025,APLI,496,498,484,494,1500
7/4/2025,APLN,90,91,89,89,2041100
7/4/2025,ARCI,605,610,580,590,30874100
7/4/2025,AREA,452,486,426,442,5029100
7/4/2025,ARGO,860,915,805,840,138900
7/4/2025,ARII,274,278,272,278,157700
7/4/2025,ARKA,19,20,19,20,516300
7/4/2025,ARKO,800,825,795,805,65700
7/4/2025,ARMY,0,0,0,0,0
7/4/2025,ARNA,590,590,585,590,551700
7/4/2025,ARTA,1850,1885,1850,1855,71400
7/4/2025,ARTI,0,0,0,0,0
7/4/2025,ARTO,1755,1775,1715,1720,1753200
7/4/2025,ARTOBQCU5A,14,14,14,14,26400
7/4/2025,ARTOBQCZ5A,0,0,0,0,0
7/4/2025,ARTODRCN5A,2,2,2,2,138600
7/4/2025,ARTODRCQ5A,4,4,4,4,38000
7/4/2025,ARTODRCX5A,36,38,35,36,22500
7/4/2025,ARTOZPCX5A,0,0,0,0,0
7/4/2025,ASBI,412,412,396,410,7000
7/4/2025,ASDM,615,635,605,615,1051500
7/4/2025,ASGR,890,900,875,880,1543900
7/4/2025,ASHA,18,18,18,18,1097900
7/4/2025,ASII,4600,4650,4570,4620,25298100
7/4/2025,ASIIBQCU5A,0,0,0,0,0
7/4/2025,ASIIBQCZ5A,0,0,0,0,0
7/4/2025,ASIIDRCQ5A,23,23,21,22,300
7/4/2025,ASIIDRCQ5B,20,20,20,20,1000000
7/4/2025,ASIIDRCX5A,83,83,81,81,200
7/4/2025,ASIIDRCX6A,2670,2670,2670,2670,700
7/4/2025,ASIIDRPQ5A,36,36,35,36,7400
7/4/2025,ASJT,105,108,105,107,172500
7/4/2025,ASLC,64,64,62,63,14063000
7/4/2025,ASLI,50,50,50,50,209100
7/4/2025,ASMI,16,16,16,16,110600
7/4/2025,ASPI,204,228,198,208,3365400
7/4/2025,ASRI,127,127,124,125,5260200
7/4/2025,ASRM,280,280,278,280,7300
7/4/2025,ASSA,740,750,715,750,9848100
7/4/2025,ATAP,29,29,29,29,1800
7/4/2025,ATIC,388,388,382,382,52200
7/4/2025,ATLA,50,50,50,50,37200
7/4/2025,AUTO,2050,2050,2030,2030,926800
7/4/2025,AVIA,442,446,436,442,2281600
7/4/2025,AWAN,272,272,252,256,20707100
7/4/2025,AXIO,133,133,128,130,1024200
7/4/2025,AYAM,162,163,160,163,37293900
7/4/2025,AYLS,102,103,100,102,2049100
7/4/2025,BABP,51,52,50,51,6011300
7/4/2025,BABY,302,310,302,306,8535800
7/4/2025,BACA,130,131,130,130,1083000
7/4/2025,BAIK,99,101,99,99,2016300
7/4/2025,BAIK-W,8,8,7,8,678600
7/4/2025,BAJA,132,153,126,144,72883600
7/4/2025,BALI,1695,1695,1610,1610,133600
7/4/2025,BANK,810,820,800,810,5876900
7/4/2025,BANK-W,420,420,420,420,100
7/4/2025,BAPA,50,50,50,50,17600
7/4/2025,BAPI,9,9,8,8,1273700
7/4/2025,BATA,50,50,50,50,1800
7/4/2025,BATR,80,81,79,79,1144700
7/4/2025,BAUT,25,25,25,25,1812800
7/4/2025,BAYU,1315,1345,1305,1315,173600
7/4/2025,BBCA,8650,8700,8550,8650,43593300
7/4/2025,BBCABQCV5A,88,88,85,85,3300
7/4/2025,BBCABQCX5A,0,0,0,0,0
7/4/2025,BBCADRCF6A,82,82,78,78,100300
7/4/2025,BBCADRCQ5A,44,44,41,41,300
7/4/2025,BBCADRCX6A,0,0,0,0,0
7/4/2025,BBCADRPQ5A,70,73,70,73,1600
7/4/2025,BBCAHDCQ5A,12,12,12,12,100
7/4/2025,BBCAHDCU5A,0,0,0,0,0
7/4/2025,BBCAHDCV5A,0,0,0,0,0
7/4/2025,BBCAYUCQ5A,72,72,72,72,100
7/4/2025,BBCAZPCF6A,0,0,0,0,0
7/4/2025,BBHI,790,860,780,850,3754500
7/4/2025,BBKP,60,61,58,59,49262800
7/4/2025,BBLD,785,785,685,760,3000
7/4/2025,BBMD,2050,2130,2040,2130,2200
7/4/2025,BBNI,3970,4010,3950,4000,30396500
7/4/2025,BBNIBQCU5A,0,0,0,0,0
7/4/2025,BBNIBQCV5A,0,0,0,0,0
7/4/2025,BBNIDRCQ5A,0,0,0,0,0
7/4/2025,BBNIDRCX6A,0,0,0,0,0
7/4/2025,BBNIDRCZ5A,55,56,55,56,76200
7/4/2025,BBNIDRPU5A,38,38,38,38,100
7/4/2025,BBNIHDCQ5A,0,0,0,0,0
7/4/2025,BBNIHDCU5A,0,0,0,0,0
7/4/2025,BBNIHDPU5A,0,0,0,0,0
7/4/2025,BBNIYUCV5A,67,68,67,68,200
7/4/2025,BBNIZPCX5A,0,0,0,0,0
7/4/2025,BBRI,3680,3710,3650,3670,91141200
7/4/2025,BBRIBQCQ5A,20,20,18,19,82600
7/4/2025,BBRIBQCU5A,0,0,0,0,0
7/4/2025,BBRIBQCZ5A,0,0,0,0,0
7/4/2025,BBRIDRCQ5A,31,31,28,30,746100
7/4/2025,BBRIDRCX5A,145,149,142,143,8000400
7/4/2025,BBRIDRCX6A,0,0,0,0,0
7/4/2025,BBRIDRPN5A,23,23,23,23,300
7/4/2025,BBRIHDCQ5A,0,0,0,0,0
7/4/2025,BBRIYUCV5A,141,144,141,144,200
7/4/2025,BBRIZPCX5A,76,76,76,76,1000
7/4/2025,BBRM,75,77,74,76,859700
7/4/2025,BBSI,4000,4040,4000,4040,5900
7/4/2025,BBSS,308,358,298,300,750800
7/4/2025,BBTN,1080,1100,1075,1085,6888200
7/4/2025,BBTNZPCG6A,0,0,0,0,0
7/4/2025,BBYB,216,222,216,220,11324200
7/4/2025,BCAP,55,55,54,54,25109800
7/4/2025,BCIC,0,0,0,0,0
7/4/2025,BCIP,105,107,101,103,10460400
7/4/2025,BDKR,156,176,156,174,135342200
7/4/2025,BDMN,2430,2440,2410,2420,547700
7/4/2025,BEBS,0,0,0,0,0
7/4/2025,BEEF,262,264,258,258,19302900
7/4/2025,BEER,74,75,72,75,347500
7/4/2025,BEKS,25,25,25,25,3845000
7/4/2025,BELI,400,400,392,400,1440900
7/4/2025,BELL,50,50,50,50,317700
7/4/2025,BESS,1130,1130,1100,1110,8400
7/4/2025,BEST,96,97,96,96,2983800
7/4/2025,BFIN,790,795,770,790,4162700
7/4/2025,BGTG,78,78,76,76,2388400
7/4/2025,BHAT,710,740,705,730,1463100
7/4/2025,BHIT,23,24,23,24,5769200
7/4/2025,BIKA,0,0,0,0,0
7/4/2025,BIKE,575,585,565,570,929200
7/4/2025,BIMA,45,45,45,45,3100
7/4/2025,BINA,4310,4370,4310,4370,21800
7/4/2025,BINO,108,108,105,107,303600
7/4/2025,BIPI,78,79,77,78,36395100
7/4/2025,BIPP,45,45,44,44,4500
7/4/2025,BIRD,1890,1890,1850,1850,935200
7/4/2025,BISI,935,945,935,945,12700
7/4/2025,BJBR,805,810,800,800,3118100
7/4/2025,BJTM,488,490,484,484,2568000
7/4/2025,BKDP,32,32,32,32,65100
7/4/2025,BKSL,127,131,123,131,288002900
7/4/2025,BKSW,60,60,58,59,161600
7/4/2025,BLES,175,177,173,177,2631100
7/4/2025,BLTA,20,20,20,20,528400
7/4/2025,BLTZ,0,0,0,0,0
7/4/2025,BLUE,346,348,338,346,835000
7/4/2025,BMAS,540,540,540,540,100
7/4/2025,BMBL,17,17,16,16,36400
7/4/2025,BMHS,199,202,197,198,2005100
7/4/2025,BMRI,4750,4790,4700,4740,104170500
7/4/2025,BMRIBQCN5A,0,0,0,0,0
7/4/2025,BMRIBQCU5A,0,0,0,0,0
7/4/2025,BMRIBQCZ5A,0,0,0,0,0
7/4/2025,BMRIDRCQ5A,10,11,9,10,398800
7/4/2025,BMRIDRCX5A,75,75,72,73,88200
7/4/2025,BMRIDRCX6A,0,0,0,0,0
7/4/2025,BMRIDRPN5A,31,31,31,31,1200
7/4/2025,BMRIHDCQ5A,9,9,9,9,10000
7/4/2025,BMRIHDCU5A,0,0,0,0,0
7/4/2025,BMRIHDPU5A,0,0,0,0,0
7/4/2025,BMRIYUCQ5A,45,46,45,46,200
7/4/2025,BMRIZPCX5A,50,50,48,48,201000
7/4/2025,BMSR,250,252,238,240,81100
7/4/2025,BMTR,129,129,127,127,67695600
7/4/2025,BNBA,860,875,820,840,184100
7/4/2025,BNBR,27,27,27,27,10729600
7/4/2025,BNGA,1675,1685,1665,1665,1751000
7/4/2025,BNII,197,198,196,197,340300
7/4/2025,BNLI,2630,2720,2570,2710,763900
7/4/2025,BOAT,99,100,98,98,1011700
7/4/2025,BOBA,176,200,175,188,400700
7/4/2025,BOGA,565,565,555,555,481200
7/4/2025,BOLA,95,96,94,94,48800
7/4/2025,BOLT,1280,1285,1275,1280,624100
7/4/2025,BOSS,0,0,0,0,0
7/4/2025,BPFI,332,334,328,334,17000
7/4/2025,BPII,590,595,590,595,165500
7/4/2025,BPTR,90,92,89,91,1275800
7/4/2025,BRAM,5675,5675,5675,5675,200
7/4/2025,BREN,5800,5825,5650,5700,4715800
7/4/2025,BRIS,2500,2580,2490,2550,35498500
7/4/2025,BRISYUCV5A,81,81,80,80,200
7/4/2025,BRISZPCG6A,51,51,50,50,200
7/4/2025,BRMS,396,410,388,404,661808500
7/4/2025,BRMSYUCV5A,31,32,30,32,4600
7/4/2025,BRMSZPCG6A,0,0,0,0,0
7/4/2025,BRNA,680,680,605,610,62000
7/4/2025,BRPT,1540,1585,1540,1550,88945700
7/4/2025,BRPTBQCQ5A,320,320,276,276,30200
7/4/2025,BRPTBQCV5A,0,0,0,0,0
7/4/2025,BRPTBQCZ5A,0,0,0,0,0
7/4/2025,BRPTDRCF6A,105,109,104,109,640200
7/4/2025,BRPTDRCN5A,127,137,127,134,138500
7/4/2025,BRPTDRCQ5A,130,133,127,130,31000
7/4/2025,BRPTDRCX5A,123,124,120,123,222600
7/4/2025,BRPTHDCN5A,458,458,458,458,100
7/4/2025,BRPTHDCQ5A,0,0,0,0,0
7/4/2025,BRPTZPCF6A,0,0,0,0,0
7/4/2025,BRPTZPCX5A,167,167,167,167,200
7/4/2025,BRRC,58,64,55,60,27847100
7/4/2025,BRRC-W,9,9,8,9,87300
7/4/2025,BSBK,50,50,50,50,162900
7/4/2025,BSDE,800,805,785,795,6080700
7/4/2025,BSIM,905,910,905,910,400
7/4/2025,BSML,85,86,83,85,11434000
7/4/2025,BSSR,3900,3920,3890,3910,360700
7/4/2025,BSWD,0,0,0,0,0
7/4/2025,BTEK,5,5,5,5,23953300
