<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/20/2025,IHSG,7988.450,8117.270,7937.390,8088.978,33541038700
10/20/2025,AADI,7850,8025,7775,7900,9461600
10/20/2025,AADIDRCN6A,90,91,90,91,180000
10/20/2025,AADIHDCK6A,95,98,95,95,676300
10/20/2025,AADIYUCK6A,302,302,302,302,100
10/20/2025,AALI,7900,7950,7850,7900,735400
10/20/2025,ABBA,72,72,65,65,4221100
10/20/2025,ABDA,2710,2710,2710,2710,100
10/20/2025,ABMM,2580,2720,2580,2690,1006900
10/20/2025,ACES,418,430,418,424,30190200
10/20/2025,ACESBQCV5A,1,2,1,1,18205000
10/20/2025,ACESBQCX5B,5,5,3,5,4149600
10/20/2025,ACESBQCZ5A,12,12,12,12,8600
10/20/2025,ACESDRCJ6A,11,11,10,10,275100
10/20/2025,ACESHDCZ5A,0,0,0,0,0
10/20/2025,ACESZPCJ6A,18,18,17,17,100900
10/20/2025,ACRO,83,85,82,84,4917100
10/20/2025,ACRO-W,10,11,7,8,62160100
10/20/2025,ACST,130,136,130,133,4707200
10/20/2025,ADCP,54,56,53,55,21431200
10/20/2025,ADES,13525,13950,13500,13500,84500
10/20/2025,ADHI,248,262,248,258,6192100
10/20/2025,ADMF,8575,8700,8550,8700,36800
10/20/2025,ADMG,134,136,130,133,717700
10/20/2025,ADMR,1225,1325,1220,1260,73914800
10/20/2025,ADMRDRCJ6A,50,63,50,58,5644700
10/20/2025,ADMRHDCJ6A,90,97,88,93,1578300
10/20/2025,ADMRZPCH6A,76,84,74,80,15500
10/20/2025,ADRO,1650,1705,1650,1695,71982100
10/20/2025,ADROBQCG6A,57,57,54,54,2033800
10/20/2025,ADROBQCZ5A,10,11,9,10,3749000
10/20/2025,ADRODRCJ6A,46,46,46,46,900
10/20/2025,ADRODRCX5A,25,26,25,26,31900
10/20/2025,ADROHDCZ5A,35,35,35,35,2100
10/20/2025,ADROHDPH6A,0,0,0,0,0
10/20/2025,ADROYUCZ5A,43,43,43,43,400
10/20/2025,ADROZPCF6A,18,18,18,18,5100
10/20/2025,ADROZPCK6A,44,44,43,43,2400
10/20/2025,AEGS,40,43,39,41,4803800
10/20/2025,AGAR,230,244,224,234,50400
10/20/2025,AGII,1580,1580,1580,1580,66600
10/20/2025,AGRO,212,224,212,222,29610700
10/20/2025,AGRS,67,70,65,69,6134800
10/20/2025,AHAP,81,84,80,82,14214400
10/20/2025,AIMS,360,360,360,360,226100
10/20/2025,AISA,130,138,129,136,17990300
10/20/2025,AKKU,0,0,0,0,0
10/20/2025,AKPI,555,570,555,565,52900
10/20/2025,AKRA,1075,1100,1075,1090,8629500
10/20/2025,AKRABQCX5B,12,13,11,13,16700
10/20/2025,AKRADRCX5A,12,16,11,16,28500
10/20/2025,AKRAHDCH6A,0,0,0,0,0
10/20/2025,AKRAZPCJ6A,0,0,0,0,0
10/20/2025,AKRAZPCM6A,27,28,26,28,319900
10/20/2025,AKRAZPCX5A,0,0,0,0,0
10/20/2025,AKSI,282,312,282,302,378600
10/20/2025,ALDO,490,494,490,494,16000
10/20/2025,ALII,575,600,550,560,3182400
10/20/2025,ALKA,334,346,330,344,43000
10/20/2025,ALMI,0,0,0,0,0
10/20/2025,ALTO,0,0,0,0,0
10/20/2025,AMAG,346,348,340,346,113200
10/20/2025,AMAN,138,144,134,140,1280500
10/20/2025,AMAR,234,236,220,222,1723600
10/20/2025,AMFG,3380,3400,3380,3390,15600
10/20/2025,AMIN,284,294,272,294,1270700
10/20/2025,AMMN,8025,8050,7600,7650,31978300
10/20/2025,AMMNBQCZ5A,28,28,18,21,3262800
10/20/2025,AMMNDRCJ6A,62,62,52,53,2609600
10/20/2025,AMMNHDCH6A,0,0,0,0,0
10/20/2025,AMMNZPCG6A,36,37,36,37,65900
10/20/2025,AMMS,312,330,294,308,3233600
10/20/2025,AMOR,430,430,420,422,169100
10/20/2025,AMRT,2220,2330,2220,2250,49774600
10/20/2025,AMRTBQCH6A,37,40,36,38,562700
10/20/2025,AMRTDRCZ5A,33,37,33,35,7500
10/20/2025,AMRTHDCJ6A,21,29,21,27,1292800
10/20/2025,AMRTZPCK6A,30,31,30,31,500
10/20/2025,AMRTZPCX5A,43,43,41,41,61200
10/20/2025,ANDI,25,25,23,24,7313400
10/20/2025,ANJT,2140,2220,2050,2130,610800
10/20/2025,ANTM,3450,3450,3270,3270,160783200
10/20/2025,ANTMBQCX5A,63,63,51,51,862600
10/20/2025,ANTMBQCZ5A,0,0,0,0,0
10/20/2025,ANTMDRCG6A,58,58,48,51,2092000
10/20/2025,ANTMDRCG6B,75,75,69,69,137600
10/20/2025,ANTMDRCX5A,0,0,0,0,0
10/20/2025,ANTMDRPZ5A,0,0,0,0,0
10/20/2025,ANTMHDCH6A,84,84,84,84,100
10/20/2025,ANTMHDCH6B,155,155,134,134,81200
10/20/2025,ANTMHDPH6A,56,58,53,57,60000
10/20/2025,ANTMZPCJ6A,83,87,80,80,586000
10/20/2025,ANTMZPCK6A,38,38,32,33,968900
10/20/2025,ANTMZPCX5A,238,238,238,238,62900
10/20/2025,APEX,123,127,122,123,11426500
10/20/2025,APIC,1090,1130,1090,1110,5371900
10/20/2025,APII,182,186,180,186,163300
10/20/2025,APLI,472,492,462,472,88600
10/20/2025,APLN,96,102,95,100,42733300
