<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/24/2025,IHSG,8161.280,8169.020,8077.840,8126.558,48258637400
9/24/2025,AADI,7350,7625,7200,7450,35965600
9/24/2025,AADIHDCK6A,83,92,81,86,790800
9/24/2025,AADIYUCK6A,286,300,274,300,26300
9/24/2025,AALI,7975,8075,7900,7925,2199200
9/24/2025,ABBA,68,68,65,65,9131800
9/24/2025,ABDA,0,0,0,0,0
9/24/2025,ABMM,2920,2930,2900,2900,947100
9/24/2025,ACES,428,428,424,424,22971700
9/24/2025,ACESBQCV5A,11,13,10,10,39977300
9/24/2025,ACESBQCX5B,8,11,7,9,68194200
9/24/2025,ACESBQCZ5A,14,15,14,15,8600
9/24/2025,ACESDRCJ6A,13,13,11,12,332000
9/24/2025,ACESHDCZ5A,27,27,26,27,20300
9/24/2025,ACESZPCJ6A,19,21,19,21,55000
9/24/2025,ACRO,87,87,84,85,5339900
9/24/2025,ACRO-W,15,18,14,16,74768700
9/24/2025,ACST,135,137,133,134,4001600
9/24/2025,ADCP,62,65,60,62,123846200
9/24/2025,ADES,13075,13225,12900,13000,27400
9/24/2025,ADHI,280,284,276,278,15859700
9/24/2025,ADMF,8975,8975,8925,8950,21500
9/24/2025,ADMG,140,141,135,138,585100
9/24/2025,ADMR,1045,1060,1015,1020,54407800
9/24/2025,ADMRDRCJ6A,34,35,32,35,2065600
9/24/2025,ADMRHDCJ6A,54,54,54,54,7300
9/24/2025,ADMRZPCH6A,51,53,51,53,8100
9/24/2025,ADRO,1775,1790,1725,1730,146696300
9/24/2025,ADROBQCG6A,72,76,70,70,68800
9/24/2025,ADROBQCU5A,0,0,0,0,0
9/24/2025,ADROBQCZ5A,15,19,12,15,32021900
9/24/2025,ADRODRCJ6A,54,58,54,54,292900
9/24/2025,ADRODRCX5A,36,36,33,33,210100
9/24/2025,ADROHDCZ5A,51,55,50,50,43800
9/24/2025,ADROHDPH6A,118,118,118,118,2000
9/24/2025,ADROYUCZ5A,0,0,0,0,0
9/24/2025,ADROZPCF6A,25,27,25,25,522300
9/24/2025,ADROZPCK6A,53,55,53,54,3600
9/24/2025,AEGS,68,68,56,58,141232400
9/24/2025,AGAR,256,260,236,244,745300
9/24/2025,AGII,815,820,795,815,1124900
9/24/2025,AGRO,242,244,232,234,17826400
9/24/2025,AGRS,79,79,77,77,8547900
9/24/2025,AHAP,79,80,76,76,13391000
9/24/2025,AIMS,352,352,352,352,1400
9/24/2025,AISA,155,155,145,145,26667300
9/24/2025,AKKU,0,0,0,0,0
9/24/2025,AKPI,580,580,560,565,324500
9/24/2025,AKRA,1215,1220,1205,1210,16063200
9/24/2025,AKRABQCX5B,34,34,34,34,6700
9/24/2025,AKRADRCX5A,0,0,0,0,0
9/24/2025,AKRAHDCH6A,59,59,59,59,2000
9/24/2025,AKRAZPCJ6A,49,49,48,48,5700
9/24/2025,AKRAZPCX5A,0,0,0,0,0
