<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/14/2025,IHSG,7130.535,7136.296,7047.431,7097.151,2671673127
7/14/2025,IDX30,0.000,0.000,0.000,0.000,0
7/14/2025,IDX80,0.000,0.000,0.000,0.000,0
7/14/2025,AADI,7000,7075,6925,6925,6582400
7/14/2025,AALI,5925,5950,5850,5925,597500
7/14/2025,ABBA,37,37,37,37,1754400
7/14/2025,ABDA,3400,3400,3400,3400,1000
7/14/2025,ABMM,3080,3100,3030,3050,956200
7/14/2025,ACES,505,505,486,486,46284500
7/14/2025,ACESBQCV5A,6,6,4,4,2514800
7/14/2025,ACESDRCN5A,2,2,1,1,63600
7/14/2025,ACESDRCQ5A,2,2,1,1,271900
7/14/2025,ACESHDCZ5A,65,65,63,63,38800
7/14/2025,ACRO,63,63,61,62,1619800
7/14/2025,ACRO-W,7,7,6,7,264700
7/14/2025,ACST,92,92,90,90,1202300
7/14/2025,ADCP,50,50,50,50,59600
7/14/2025,ADES,12825,13250,12325,13200,79100
7/14/2025,ADHI,258,260,246,248,20385000
7/14/2025,ADMF,9125,9175,9100,9125,49900
7/14/2025,ADMG,121,121,116,116,382200
7/14/2025,ADMR,1005,1010,970,985,21168300
7/14/2025,ADMRZPCH6A,58,58,54,54,16100
7/14/2025,ADRO,1875,1880,1815,1825,53413000
7/14/2025,ADROBQCN5A,5,5,2,2,11678300
7/14/2025,ADROBQCU5A,31,37,29,37,62600
7/14/2025,ADROBQCZ5A,46,46,45,45,3700
7/14/2025,ADRODRCN5A,3,3,1,2,85700
7/14/2025,ADRODRCQ5A,4,4,3,3,5483900
7/14/2025,ADRODRCQ5B,22,22,21,21,90400
7/14/2025,ADRODRCX5A,50,50,48,49,153700
7/14/2025,ADROHDCN5A,0,0,0,0,0
7/14/2025,ADROHDCQ5A,0,0,0,0,0
7/14/2025,ADROHDCZ5A,0,0,0,0,0
7/14/2025,ADROZPCF6A,0,0,0,0,0
7/14/2025,AEGS,33,34,32,33,345800
7/14/2025,AGAR,234,238,234,234,37700
7/14/2025,AGII,990,990,975,980,1210200
7/14/2025,AGRO,218,220,212,212,34778800
7/14/2025,AGRS,64,65,64,64,2039400
7/14/2025,AHAP,68,69,66,68,1907000
7/14/2025,AIMS,392,410,374,410,5802500
7/14/2025,AISA,146,147,144,145,2874300
7/14/2025,AKKU,0,0,0,0,0
7/14/2025,AKPI,600,650,580,585,471800
7/14/2025,AKRA,1200,1230,1195,1215,22878900
7/14/2025,AKRADRCN5A,36,38,36,38,3700
