<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/8/2025,IHSG,7929.060,7934.990,7766.850,7766.849,34133061000
9/8/2025,IDX30,0.000,0.000,0.000,0.000,0
9/8/2025,IDX80,0.000,0.000,0.000,0.000,0
9/8/2025,AADI,7300,7325,7050,7075,9577300
9/8/2025,AALI,7350,7400,7275,7300,1349700
9/8/2025,ABBA,42,43,42,43,1369000
9/8/2025,ABDA,3400,3400,3400,3400,200
9/8/2025,ABMM,2960,2970,2940,2940,767600
9/8/2025,ACES,440,442,430,432,68998800
9/8/2025,ACESBQCV5A,2,2,1,2,687800
9/8/2025,ACESBQCX5B,10,10,10,10,1200
9/8/2025,ACESBQCZ5A,19,19,18,18,7382800
9/8/2025,ACESDRCJ6A,0,0,0,0,0
9/8/2025,ACESHDCZ5A,0,0,0,0,0
9/8/2025,ACESZPCJ6A,0,0,0,0,0
9/8/2025,ACRO,86,88,83,83,10685600
9/8/2025,ACRO-W,13,13,11,12,16965900
9/8/2025,ACST,144,148,135,139,16091400
9/8/2025,ADCP,62,68,61,62,164755600
9/8/2025,ADES,13700,13700,13400,13425,42800
9/8/2025,ADHI,292,296,280,282,30383600
9/8/2025,ADMF,8975,9050,8975,8975,50600
9/8/2025,ADMG,148,150,143,147,1454500
9/8/2025,ADMR,1030,1040,1000,1000,26064500
9/8/2025,ADMRDRCJ6A,35,35,32,35,57700
9/8/2025,ADMRHDCJ6A,55,55,54,54,3300
9/8/2025,ADMRZPCH6A,51,51,51,51,1300
9/8/2025,ADRO,1765,1780,1720,1720,123216100
9/8/2025,ADROBQCU5A,2,3,1,3,2220400
9/8/2025,ADROBQCZ5A,0,0,0,0,0
9/8/2025,ADRODRCJ6A,57,57,57,57,510000
9/8/2025,ADRODRCX5A,37,38,35,38,598000
9/8/2025,ADROHDCZ5A,56,56,56,56,1800
9/8/2025,ADROHDPH6A,126,132,126,132,16700
9/8/2025,ADROYUCZ5A,70,70,69,69,3100
9/8/2025,ADROZPCF6A,28,28,28,28,800
9/8/2025,AEGS,47,47,41,42,88014900
9/8/2025,AGAR,250,252,250,250,49800
9/8/2025,AGII,830,840,805,805,914500
9/8/2025,AGRO,232,238,226,226,10400800
9/8/2025,AGRS,75,79,75,75,19776100
9/8/2025,AHAP,77,80,76,77,7764700
9/8/2025,AIMS,320,320,320,320,41000
9/8/2025,AISA,123,126,121,121,6984000
9/8/2025,AKKU,0,0,0,0,0
9/8/2025,AKPI,555,575,550,555,124800
9/8/2025,AKRA,1235,1245,1215,1220,16725500
9/8/2025,AKRABQCX5B,0,0,0,0,0
9/8/2025,AKRADRCX5A,35,36,33,36,300
9/8/2025,AKRAHDCH6A,0,0,0,0,0
9/8/2025,AKRAZPCJ6A,0,0,0,0,0
9/8/2025,AKRAZPCX5A,0,0,0,0,0
9/8/2025,AKSI,246,248,242,242,66500
9/8/2025,ALDO,500,500,498,498,72000
9/8/2025,ALII,535,550,535,535,2440200
9/8/2025,ALKA,316,320,300,312,9900
9/8/2025,ALMI,0,0,0,0,0
9/8/2025,ALTO,0,0,0,0,0
9/8/2025,AMAG,370,392,368,372,969200
9/8/2025,AMAN,123,125,121,121,1956300
9/8/2025,AMAR,208,214,204,204,1332300
9/8/2025,AMFG,3350,3350,3190,3210,22900
9/8/2025,AMIN,220,224,218,220,215700
9/8/2025,AMMN,8125,8125,8000,8100,22209700
9/8/2025,AMMNBQCZ5A,39,39,38,38,5512400
9/8/2025,AMMNDRCJ6A,70,70,70,70,200
9/8/2025,AMMNHDCH6A,0,0,0,0,0
9/8/2025,AMMNZPCG6A,0,0,0,0,0
9/8/2025,AMMS,196,214,196,214,5421300
9/8/2025,AMOR,478,478,474,474,75200
9/8/2025,AMRT,2100,2140,2070,2080,21888800
9/8/2025,AMRTBQCU5A,1,2,1,2,987900
9/8/2025,AMRTDRCZ5A,0,0,0,0,0
9/8/2025,AMRTHDCJ6A,25,25,25,25,800
9/8/2025,AMRTZPCX5A,0,0,0,0,0
9/8/2025,ANDI,31,31,28,28,29904600
9/8/2025,ANJT,1795,1800,1795,1795,2028100
9/8/2025,ANTM,3470,3710,3450,3610,400454400
9/8/2025,ANTMBQCU5A,406,418,406,418,14500
9/8/2025,ANTMBQCX5A,110,128,110,128,1763200
9/8/2025,ANTMBQCZ5A,0,0,0,0,0
9/8/2025,ANTMDRCG6A,69,80,67,77,3870200
9/8/2025,ANTMDRCX5A,374,410,374,400,59700
9/8/2025,ANTMDRPU5A,9,9,2,2,20300
9/8/2025,ANTMDRPU5B,2,3,1,2,5757600
9/8/2025,ANTMHDCH6A,116,126,116,122,57200
9/8/2025,ANTMHDCH6B,170,188,170,184,21000
9/8/2025,ANTMHDCU5A,160,224,155,195,343500
9/8/2025,ANTMHDPH6A,66,66,58,60,132500
9/8/2025,ANTMZPCJ6A,104,121,102,118,832800
9/8/2025,ANTMZPCX5A,306,308,302,302,7100
