<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
7/23/2025,IHSG,7378.231,7469.230,7344.648,7469.230,272796643
7/23/2025,IDX30,0.000,0.000,0.000,0.000,0
7/23/2025,IDX80,0.000,0.000,0.000,0.000,0
7/23/2025,AADI,7100,7200,7025,7175,29269800
7/23/2025,AALI,6275,6350,6250,6325,906200
7/23/2025,ABBA,37,37,37,37,2952000
7/23/2025,ABDA,0,0,0,0,0
7/23/2025,ABMM,3000,3050,2990,3040,663000
7/23/2025,ACES,472,478,470,474,37289000
7/23/2025,ACESBQCV5A,4,4,3,3,2192600
7/23/2025,ACESDRCJ6A,20,20,20,20,10500
7/23/2025,ACESDRCN5A,2,2,1,1,424900
7/23/2025,ACESDRCQ5A,1,2,1,2,74500
7/23/2025,ACESHDCZ5A,0,0,0,0,0
7/23/2025,ACRO,67,67,65,66,5873200
7/23/2025,ACRO-W,6,7,6,7,617300
7/23/2025,ACST,90,91,90,91,715600
7/23/2025,ADCP,50,50,50,50,53700
7/23/2025,ADES,12525,13075,12500,12700,17900
7/23/2025,ADHI,264,266,254,260,10173500
7/23/2025,ADMF,9150,9150,9050,9125,26000
7/23/2025,ADMG,118,122,118,120,78500
7/23/2025,ADMR,1105,1270,1100,1225,352087400
7/23/2025,ADMRDRCJ6A,52,65,50,58,1332200
7/23/2025,ADMRZPCH6A,75,90,75,84,484400
7/23/2025,ADRO,2010,2050,1970,2020,147267400
7/23/2025,ADROBQCU5A,39,39,37,39,655100
7/23/2025,ADROBQCZ5A,46,48,45,47,10600
7/23/2025,ADRODRCJ6A,92,98,92,98,148000
7/23/2025,ADRODRCN5A,1,2,1,2,54700
7/23/2025,ADRODRCQ5A,5,5,3,3,19715500
7/23/2025,ADRODRCQ5B,28,30,28,29,650200
7/23/2025,ADRODRCX5A,61,64,58,61,1877200
7/23/2025,ADROHDCQ5A,12,13,10,11,4426700
7/23/2025,ADROHDCZ5A,97,102,97,101,1936500
7/23/2025,ADROZPCF6A,50,50,50,50,5500
7/23/2025,AEGS,32,34,31,33,2712000
7/23/2025,AGAR,224,224,200,218,625200
7/23/2025,AGII,975,980,965,970,182500
7/23/2025,AGRO,204,208,202,206,8011900
7/23/2025,AGRS,63,63,62,63,2462100
7/23/2025,AHAP,64,65,63,63,8202400
7/23/2025,AIMS,384,390,380,386,1779000
7/23/2025,AISA,149,149,146,148,1728500
7/23/2025,AKKU,0,0,0,0,0
7/23/2025,AKPI,595,595,595,595,2600
7/23/2025,AKRA,1220,1260,1220,1260,20850200
7/23/2025,AKRADRCN5A,35,39,35,39,1200
7/23/2025,AKRADRCQ5A,8,10,8,9,633200
7/23/2025,AKRADRCX5A,38,42,36,42,597400
7/23/2025,AKRAHDCQ5A,0,0,0,0,0
7/23/2025,AKRAZPCX5A,62,65,62,65,150000
7/23/2025,AKSI,264,268,262,268,134700
7/23/2025,ALDO,525,535,480,492,1396300
7/23/2025,ALII,585,590,570,575,3692400
7/23/2025,ALKA,296,300,296,296,4800
7/23/2025,ALMI,0,0,0,0,0
7/23/2025,ALTO,0,0,0,0,0
7/23/2025,AMAG,362,362,352,354,72100
7/23/2025,AMAN,112,113,110,112,2675700
7/23/2025,AMAR,169,224,167,224,30778100
7/23/2025,AMFG,3500,3510,3500,3500,192300
7/23/2025,AMIN,158,186,150,156,2908700
7/23/2025,AMMN,7950,8100,7950,8050,30964500
7/23/2025,AMMNBQCZ5A,67,67,66,66,8000
7/23/2025,AMMNDRCJ6A,75,77,75,76,4500
7/23/2025,AMMNZPCG6A,61,63,61,63,5800
7/23/2025,AMMS,110,110,101,104,3218100
7/23/2025,AMMS-W,4,4,2,2,37686800
7/23/2025,AMOR,510,520,510,515,11800
7/23/2025,AMRT,2230,2250,2210,2250,18446000
7/23/2025,AMRTBQCU5A,18,18,16,16,101400
7/23/2025,AMRTDRCN5A,0,0,0,0,0
7/23/2025,AMRTDRCQ5A,0,0,0,0,0
7/23/2025,AMRTDRCZ5A,43,43,41,41,200
7/23/2025,AMRTHDCQ5A,0,0,0,0,0
7/23/2025,AMRTZPCX5A,0,0,0,0,0
7/23/2025,ANDI,18,18,18,18,10528700
7/23/2025,ANJT,1755,1765,1755,1755,1369400
7/23/2025,ANTM,3010,3040,2870,3040,195644700
7/23/2025,ANTMBQCU5A,0,0,0,0,0
7/23/2025,ANTMBQCX5A,81,81,81,81,200
7/23/2025,ANTMBQCZ5A,0,0,0,0,0
7/23/2025,ANTMDRCG6A,53,54,47,54,1920500
7/23/2025,ANTMDRCN5A,218,218,218,218,100
7/23/2025,ANTMDRCQ5A,258,266,252,266,163200
7/23/2025,ANTMDRCX5A,292,298,274,294,430000
7/23/2025,ANTMDRPU5A,55,55,53,53,3004500
7/23/2025,ANTMDRPU5B,33,33,30,30,2600
7/23/2025,ANTMHDCH6A,89,90,83,90,208600
7/23/2025,ANTMHDCQ5A,370,378,368,378,80900
7/23/2025,ANTMHDCU5A,146,146,140,140,800
7/23/2025,ANTMYUCQ5A,326,350,326,350,500
7/23/2025,ANTMZPCX5A,181,185,181,185,1900
7/23/2025,APEX,122,125,122,122,11552600
7/23/2025,APIC,1195,1215,1190,1200,4227300
7/23/2025,APII,173,174,170,170,27500
7/23/2025,APLI,482,498,478,492,5100
7/23/2025,APLN,94,96,93,96,11978400
7/23/2025,ARCI,0,0,0,0,0
7/23/2025,AREA,410,416,402,414,371600
7/23/2025,ARGO,1255,1550,1255,1550,297900
7/23/2025,ARII,278,292,268,286,165900
7/23/2025,ARKA,20,21,20,20,3482600
7/23/2025,ARKO,970,995,910,980,4196800
7/23/2025,ARMY,0,0,0,0,0
7/23/2025,ARNA,590,590,575,585,1778800
7/23/2025,ARTA,3270,4080,3040,3890,590700
7/23/2025,ARTI,0,0,0,0,0
7/23/2025,ARTO,1745,1780,1735,1765,2181500
7/23/2025,ARTOBQCU5A,0,0,0,0,0
7/23/2025,ARTOBQCZ5A,0,0,0,0,0
7/23/2025,ARTODRCN5A,1,3,1,2,432600
7/23/2025,ARTODRCQ5A,0,0,0,0,0
7/23/2025,ARTODRCX5A,37,37,36,36,32000
7/23/2025,ARTOHDCZ5A,0,0,0,0,0
7/23/2025,ARTOZPCX5A,0,0,0,0,0
7/23/2025,ASBI,426,426,416,422,10400
7/23/2025,ASDM,525,525,510,510,83200
7/23/2025,ASGR,885,900,885,900,568800
7/23/2025,ASHA,17,17,17,17,2895300
7/23/2025,ASII,4740,4950,4720,4950,94669900
7/23/2025,ASIIBQCU5A,51,51,51,51,600
7/23/2025,ASIIBQCZ5A,0,0,0,0,0
7/23/2025,ASIIDRCQ5A,20,20,20,20,2200
7/23/2025,ASIIDRCQ5B,17,20,17,20,75300
7/23/2025,ASIIDRCX5A,90,94,90,94,23400
7/23/2025,ASIIDRCX6A,2840,2920,2840,2920,600
7/23/2025,ASIIDRPQ5A,20,20,17,17,8900
7/23/2025,ASIIHDCZ5A,0,0,0,0,0
7/23/2025,ASJT,109,135,109,113,5499900
7/23/2025,ASLC,68,68,66,68,13828200
7/23/2025,ASLI,50,50,50,50,999700
7/23/2025,ASMI,18,18,17,17,249000
7/23/2025,ASPI,0,0,0,0,0
7/23/2025,ASPR,89,108,89,100,274378800
7/23/2025,ASRI,136,143,136,142,114714300
7/23/2025,ASRM,274,280,274,280,18000
7/23/2025,ASSA,890,895,845,880,7773700
7/23/2025,ATAP,27,28,27,28,23800
7/23/2025,ATIC,384,396,380,390,296500
7/23/2025,ATLA,50,50,50,50,1231800
7/23/2025,AUTO,2150,2170,2130,2150,2621700
7/23/2025,AVIA,462,464,458,462,30351200
7/23/2025,AWAN,262,262,256,258,22068800
7/23/2025,AXIO,132,132,128,131,1268600
7/23/2025,AYAM,161,163,159,161,89504000
7/23/2025,AYLS,112,115,106,107,28118900
7/23/2025,BABP,50,51,50,50,5430100
7/23/2025,BABY,244,252,228,250,12615700
7/23/2025,BACA,130,131,130,130,955900
7/23/2025,BAIK,94,95,93,93,964400
7/23/2025,BAIK-W,8,8,7,8,125100
7/23/2025,BAJA,124,124,120,121,969200
7/23/2025,BALI,1500,1650,1500,1595,32200
7/23/2025,BANK,810,825,800,820,6719400
7/23/2025,BANK-W,0,0,0,0,0
7/23/2025,BAPA,50,50,50,50,51000
7/23/2025,BAPI,8,9,8,9,903700
7/23/2025,BATA,50,50,50,50,400
7/23/2025,BATR,87,88,85,85,2472100
7/23/2025,BAUT,29,30,29,30,2371800
7/23/2025,BAYU,1300,1300,1265,1270,178900
7/23/2025,BBCA,8450,8500,8400,8425,70969500
7/23/2025,BBCABQCV5A,49,49,47,47,800
7/23/2025,BBCABQCX5A,95,95,53,53,400
7/23/2025,BBCADRCF6A,67,67,67,67,100
7/23/2025,BBCADRCQ5A,23,23,21,21,23100
7/23/2025,BBCADRCX6A,0,0,0,0,0
7/23/2025,BBCADRPQ5A,57,59,57,58,6500
7/23/2025,BBCAHDCQ5A,5,5,5,5,160000
7/23/2025,BBCAHDCU5A,0,0,0,0,0
7/23/2025,BBCAHDCV5A,0,0,0,0,0
7/23/2025,BBCAYUCQ5A,49,49,49,49,100
7/23/2025,BBCAZPCF6A,51,51,51,51,6200
7/23/2025,BBCAZPCH6A,0,0,0,0,0
7/23/2025,BBHI,1140,1230,1140,1200,3322100
7/23/2025,BBKP,62,63,62,63,58225800
7/23/2025,BBLD,820,855,810,855,79900
7/23/2025,BBMD,2180,2200,2130,2200,1400
7/23/2025,BBNI,4080,4100,4040,4100,23315700
7/23/2025,BBNIBQCU5A,0,0,0,0,0
7/23/2025,BBNIBQCV5A,71,71,70,70,3000
7/23/2025,BBNIDRCQ5A,0,0,0,0,0
7/23/2025,BBNIDRCX6A,0,0,0,0,0
7/23/2025,BBNIDRCZ5A,0,0,0,0,0
7/23/2025,BBNIDRPU5A,0,0,0,0,0
7/23/2025,BBNIHDCQ5A,0,0,0,0,0
7/23/2025,BBNIHDCU5A,0,0,0,0,0
7/23/2025,BBNIHDPU5A,0,0,0,0,0
7/23/2025,BBNIYUCV5A,63,63,63,63,16300
7/23/2025,BBNIZPCH6A,95,95,95,95,100
7/23/2025,BBNIZPCX5A,0,0,0,0,0
7/23/2025,BBRI,3840,3860,3790,3800,132305000
7/23/2025,BBRIBQCQ5A,10,10,10,10,110100
7/23/2025,BBRIBQCU5A,0,0,0,0,0
7/23/2025,BBRIBQCZ5A,0,0,0,0,0
7/23/2025,BBRIDRCQ5A,24,24,22,22,297100
7/23/2025,BBRIDRCX5A,155,155,152,152,200
7/23/2025,BBRIDRCX6A,0,0,0,0,0
