<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/27/2025,IHSG,8611.328,8622.268,8521.496,8545.865,50599814100
11/27/2025,AADI,7750,7750,7400,7425,22742900
11/27/2025,AADIDRCN6A,91,91,82,82,5518600
11/27/2025,AADIHDCK6A,93,93,84,84,436100
11/27/2025,AADIYUCK6A,0,0,0,0,0
11/27/2025,AALI,7700,7725,7575,7575,703200
11/27/2025,ABBA,53,56,53,56,3681600
11/27/2025,ABDA,0,0,0,0,0
11/27/2025,ABMM,2940,2950,2910,2930,643700
11/27/2025,ACES,418,420,416,420,37600400
11/27/2025,ACESBQCG6A,8,8,8,8,500
11/27/2025,ACESBQCK6A,0,0,0,0,0
11/27/2025,ACESBQCX5B,0,0,0,0,0
11/27/2025,ACESBQCZ5A,2,3,2,3,1723900
11/27/2025,ACESDRCJ6A,8,9,8,8,13300
11/27/2025,ACESHDCN6A,51,51,50,50,333400
11/27/2025,ACESHDCZ5A,4,4,4,4,1500
11/27/2025,ACESZPCJ6A,0,0,0,0,0
11/27/2025,ACRO,89,89,88,89,3444600
11/27/2025,ACRO-W,5,7,5,6,6901500
11/27/2025,ACST,135,144,134,142,17440300
11/27/2025,ADCP,54,55,54,54,6478500
11/27/2025,ADES,15225,15700,15225,15650,25700
11/27/2025,ADHI,252,254,250,250,11452500
11/27/2025,ADMF,8750,8800,8750,8775,22300
11/27/2025,ADMG,160,161,157,160,827500
11/27/2025,ADMR,1310,1325,1260,1270,31937100
11/27/2025,ADMRDRCH6A,36,36,32,32,279200
11/27/2025,ADMRDRCJ6A,58,59,52,52,194400
11/27/2025,ADMRHDCJ6A,87,87,87,87,62500
11/27/2025,ADMRZPCH6A,71,71,71,71,50000
11/27/2025,ADRO,1850,1850,1810,1810,70755600
11/27/2025,ADROBQCG6A,54,54,54,54,5000
11/27/2025,ADROBQCJ6A,48,48,48,48,4600
11/27/2025,ADROBQCN6A,57,57,57,57,100
11/27/2025,ADROBQCZ5A,2,3,2,3,652700
11/27/2025,ADRODRCJ6A,50,50,48,48,91000
11/27/2025,ADROHDCN6A,65,65,63,63,23900
11/27/2025,ADROHDCZ5A,25,25,25,25,1800
11/27/2025,ADROHDPH6A,75,75,75,75,100
11/27/2025,ADROYUCZ5A,0,0,0,0,0
11/27/2025,ADROZPCF6A,18,18,18,18,55500
11/27/2025,ADROZPCK6A,50,50,50,50,30100
11/27/2025,AEGS,64,70,59,70,63914800
11/27/2025,AGAR,238,240,216,232,80600
11/27/2025,AGII,1585,1605,1525,1525,3774200
11/27/2025,AGRO,226,256,226,240,339830100
11/27/2025,AGRS,85,88,79,80,172848600
11/27/2025,AHAP,92,94,91,93,18710300
11/27/2025,AIMS,380,380,370,376,302000
11/27/2025,AISA,144,145,141,143,9633100
11/27/2025,AKKU,38,38,38,38,179500
11/27/2025,AKPI,575,590,570,570,18000
11/27/2025,AKRA,1275,1275,1225,1240,18917600
11/27/2025,AKRABQCX5B,0,0,0,0,0
11/27/2025,AKRADRCH6A,44,44,39,39,656000
11/27/2025,AKRAHDCH6A,0,0,0,0,0
11/27/2025,AKRAZPCJ6A,0,0,0,0,0
11/27/2025,AKRAZPCM6A,0,0,0,0,0
11/27/2025,AKRAZPCX5A,0,0,0,0,0
11/27/2025,AKSI,452,458,430,454,835900
11/27/2025,ALDO,640,650,605,650,97500
11/27/2025,ALII,635,660,600,605,2928400
11/27/2025,ALKA,362,374,358,370,82300
11/27/2025,ALMI,0,0,0,0,0
11/27/2025,ALTO,0,0,0,0,0
11/27/2025,AMAG,390,390,382,382,50800
11/27/2025,AMAN,174,179,173,177,6789200
11/27/2025,AMAR,232,258,226,240,19363200
11/27/2025,AMFG,3260,3260,3150,3150,86500
11/27/2025,AMIN,256,262,254,256,182900
11/27/2025,AMMN,6950,7000,6850,6950,13818800
11/27/2025,AMMNBQCZ5A,3,3,2,3,1793400
11/27/2025,AMMNDRCJ6A,33,34,33,34,1314800
11/27/2025,AMMNHDCH6A,51,51,51,51,100
11/27/2025,AMMNZPCG6A,16,16,16,16,52500
11/27/2025,AMMS,400,440,400,440,2387500
11/27/2025,AMOR,396,396,388,388,554300
11/27/2025,AMRT,1835,1845,1800,1810,38515100
11/27/2025,AMRTBQCF6A,10,10,10,10,1214100
11/27/2025,AMRTBQCH6A,13,13,13,13,631800
11/27/2025,AMRTBQCJ6A,0,0,0,0,0
11/27/2025,AMRTDRCH6A,19,19,18,18,18500
11/27/2025,AMRTDRCZ5A,7,7,6,6,158900
11/27/2025,AMRTHDCJ6A,6,7,5,6,7643400
11/27/2025,AMRTZPCK6A,13,13,11,12,5609300
11/27/2025,AMRTZPCX5A,0,0,0,0,0
11/27/2025,ANDI,22,24,22,24,8033700
11/27/2025,ANJT,1840,1895,1835,1845,490300
11/27/2025,ANTM,3040,3060,3000,3000,59437500
11/27/2025,ANTMBQCG6A,35,35,35,35,100
11/27/2025,ANTMBQCJ6A,0,0,0,0,0
11/27/2025,ANTMBQCN6A,0,0,0,0,0
11/27/2025,ANTMBQCX5A,0,0,0,0,0
11/27/2025,ANTMBQCZ5A,0,0,0,0,0
11/27/2025,ANTMDRCG6A,29,29,27,27,190400
