<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
10/8/2025,IHSG,8201.140,8224.650,8044.930,8166.029,38454709400
10/8/2025,AADI,7525,8425,7325,8325,42330000
10/8/2025,AADIDRCN6A,84,112,81,109,274000
10/8/2025,AADIHDCK6A,84,114,80,111,5359200
10/8/2025,AADIYUCK6A,290,350,290,350,300
10/8/2025,AALI,7400,7575,7250,7375,2078800
10/8/2025,ABBA,89,89,89,89,30752600
10/8/2025,ABDA,0,0,0,0,0
10/8/2025,ABMM,2770,2780,2740,2750,1086100
10/8/2025,ACES,424,426,416,422,39361700
10/8/2025,ACESBQCV5A,4,5,3,4,17047200
10/8/2025,ACESBQCX5B,6,7,4,6,59563000
10/8/2025,ACESBQCZ5A,15,16,14,15,7100
10/8/2025,ACESDRCJ6A,12,12,10,11,1210700
10/8/2025,ACESHDCZ5A,22,22,22,22,200000
10/8/2025,ACESZPCJ6A,17,18,17,18,14100
10/8/2025,ACRO,92,94,84,87,34821100
10/8/2025,ACRO-W,12,13,11,11,13264700
10/8/2025,ACST,147,147,134,137,11858700
10/8/2025,ADCP,59,60,57,59,45153100
10/8/2025,ADES,13550,13700,13425,13650,104500
10/8/2025,ADHI,262,264,254,260,10245100
10/8/2025,ADMF,8750,8750,8675,8725,82600
10/8/2025,ADMG,136,138,133,137,1151400
10/8/2025,ADMR,1115,1380,1080,1380,270278600
10/8/2025,ADMRDRCJ6A,39,76,37,74,7860600
10/8/2025,ADMRHDCJ6A,74,114,73,114,4229700
10/8/2025,ADMRZPCH6A,63,95,63,95,877400
10/8/2025,ADRO,1650,1850,1625,1850,324208100
10/8/2025,ADROBQCG6A,59,94,59,94,103400
10/8/2025,ADROBQCZ5A,12,17,10,16,40939900
10/8/2025,ADRODRCJ6A,43,61,43,61,134400
10/8/2025,ADRODRCX5A,26,37,25,37,11138600
10/8/2025,ADROHDCZ5A,41,55,38,55,930900
10/8/2025,ADROHDPH6A,118,118,115,115,2500
10/8/2025,ADROYUCZ5A,50,50,50,50,100
10/8/2025,ADROZPCF6A,20,28,20,27,375200
10/8/2025,ADROZPCK6A,42,56,41,56,1305600
10/8/2025,AEGS,46,46,44,45,7900600
10/8/2025,AGAR,244,252,242,246,55300
10/8/2025,AGII,1950,1950,1725,1950,18884200
10/8/2025,AGRO,242,244,234,236,44541400
10/8/2025,AGRS,74,74,73,73,3424700
10/8/2025,AHAP,83,87,80,85,33329400
10/8/2025,AIMS,366,400,366,398,87400
10/8/2025,AISA,147,150,142,143,19509000
10/8/2025,AKKU,0,0,0,0,0
10/8/2025,AKPI,605,605,575,600,160800
10/8/2025,AKRA,1130,1150,1120,1125,15336000
10/8/2025,AKRABQCX5B,21,21,21,21,3600
10/8/2025,AKRADRCX5A,19,21,18,21,141200
10/8/2025,AKRAHDCH6A,0,0,0,0,0
10/8/2025,AKRAZPCJ6A,0,0,0,0,0
10/8/2025,AKRAZPCM6A,33,33,32,32,200
10/8/2025,AKRAZPCX5A,0,0,0,0,0
10/8/2025,AKSI,298,298,270,288,1215500
10/8/2025,ALDO,494,494,492,494,4800
10/8/2025,ALII,545,555,540,545,2195200
10/8/2025,ALKA,334,334,322,326,19300
10/8/2025,ALMI,0,0,0,0,0
10/8/2025,ALTO,0,0,0,0,0
10/8/2025,AMAG,354,354,350,352,25500
10/8/2025,AMAN,150,150,135,141,7425300
10/8/2025,AMAR,232,248,224,238,7782000
10/8/2025,AMFG,3490,3500,3310,3490,12200
10/8/2025,AMIN,238,238,220,224,834100
10/8/2025,AMMN,6925,7000,6850,6975,20411400
10/8/2025,AMMNBQCZ5A,13,15,12,14,3379500
10/8/2025,AMMNDRCJ6A,42,42,42,42,68700
10/8/2025,AMMNHDCH6A,64,64,64,64,300
10/8/2025,AMMNZPCG6A,26,26,26,26,13600
10/8/2025,AMMS,224,230,220,224,4249300
10/8/2025,AMOR,460,460,444,448,74800
10/8/2025,AMRT,1910,1935,1900,1930,37401800
10/8/2025,AMRTDRCZ5A,17,18,17,18,408700
10/8/2025,AMRTHDCJ6A,12,13,11,13,1988800
10/8/2025,AMRTZPCK6A,18,18,18,18,389100
10/8/2025,AMRTZPCX5A,22,22,21,22,581600
10/8/2025,ANDI,27,27,27,27,37169400
10/8/2025,ANJT,2400,2450,2250,2340,2034600
10/8/2025,ANTM,3170,3380,3150,3330,303472900
10/8/2025,ANTMBQCX5A,1,72,1,72,3308000
10/8/2025,ANTMBQCZ5A,0,0,0,0,0
10/8/2025,ANTMDRCG6A,50,55,45,52,1221000
10/8/2025,ANTMDRCX5A,330,342,324,338,1202400
10/8/2025,ANTMDRPZ5A,32,32,30,30,288400
10/8/2025,ANTMHDCH6A,81,93,81,91,1023800
10/8/2025,ANTMHDCH6B,0,0,0,0,0
10/8/2025,ANTMHDPH6A,65,65,60,60,166300
10/8/2025,ANTMZPCJ6A,75,88,75,86,1051000
10/8/2025,ANTMZPCK6A,31,37,31,36,7095600
10/8/2025,ANTMZPCX5A,214,230,214,230,342000
10/8/2025,APEX,135,141,130,133,63523500
10/8/2025,APIC,1165,1165,1140,1155,4504700
10/8/2025,APII,179,182,179,181,12100
10/8/2025,APLI,474,498,464,490,67400
10/8/2025,APLN,99,100,96,97,15936500
10/8/2025,ARCI,1060,1165,1040,1140,333348700
10/8/2025,AREA,530,530,500,510,3687700
10/8/2025,ARGO,1110,1110,1085,1085,15500
10/8/2025,ARII,286,290,278,278,858600
10/8/2025,ARKA,27,29,27,29,13231700
10/8/2025,ARKO,1540,1560,1305,1305,973300
10/8/2025,ARMY,0,0,0,0,0
10/8/2025,ARNA,525,525,515,520,3534700
10/8/2025,ARTA,3180,3280,3180,3180,8200
10/8/2025,ARTI,0,0,0,0,0
10/8/2025,ARTO,2080,2120,2000,2080,9374500
10/8/2025,ARTOBQCX5B,0,0,0,0,0
10/8/2025,ARTOBQCZ5A,12,13,10,11,5503300
10/8/2025,ARTODRCK6A,60,68,60,68,84300
10/8/2025,ARTODRCX5A,0,0,0,0,0
10/8/2025,ARTOHDCZ5A,100,103,100,103,170800
10/8/2025,ARTOZPCK6A,41,41,41,41,1500
10/8/2025,ARTOZPCX5A,45,45,45,45,11100
10/8/2025,ASBI,440,456,440,440,6600
10/8/2025,ASDM,550,550,540,550,3100
10/8/2025,ASGR,1155,1180,1155,1160,1002100
10/8/2025,ASHA,103,103,103,103,48381800
10/8/2025,ASII,5825,5875,5650,5725,30080700
10/8/2025,ASIIBQCZ5A,0,0,0,0,0
10/8/2025,ASIIDRCX5A,0,0,0,0,0
10/8/2025,ASIIDRCX6A,0,0,0,0,0
10/8/2025,ASIIHDCZ5A,0,0,0,0,0
10/8/2025,ASIIZPCJ6A,121,121,117,117,400
10/8/2025,ASIIZPCM6A,33,34,31,31,69400
10/8/2025,ASJT,127,129,121,126,1156000
10/8/2025,ASLC,86,86,81,84,48309900
10/8/2025,ASLI,0,0,0,0,0
10/8/2025,ASMI,24,28,24,28,10946700
10/8/2025,ASPI,500,570,438,466,4605000
10/8/2025,ASPR,98,98,93,95,7250400
10/8/2025,ASRI,171,173,165,170,50859300
10/8/2025,ASRM,330,360,322,358,1773200
10/8/2025,ASSA,860,870,835,860,8308700
10/8/2025,ATAP,79,79,78,78,1660900
10/8/2025,ATIC,430,438,424,432,463900
10/8/2025,ATLA,81,82,73,79,278238900
10/8/2025,AUTO,2390,2410,2360,2410,5002500
10/8/2025,AUTODRCV6A,0,0,0,0,0
10/8/2025,AUTOZPCJ6A,34,34,33,34,9939200
10/8/2025,AVIA,418,426,414,422,49592500
10/8/2025,AVIADRCV6A,0,0,0,0,0
10/8/2025,AVIAZPCJ6A,0,0,0,0,0
10/8/2025,AWAN,226,228,222,224,22941600
10/8/2025,AXIO,127,127,122,125,1594300
10/8/2025,AYAM,176,177,173,175,75962400
10/8/2025,AYLS,129,144,128,142,46558700
10/8/2025,BABP,53,55,53,54,19317900
10/8/2025,BABY,306,312,296,302,12331100
10/8/2025,BACA,144,145,140,143,2926600
10/8/2025,BAIK,107,109,105,108,2031300
10/8/2025,BAIK-W,12,13,11,12,5284300
10/8/2025,BAJA,160,173,158,164,10497900
10/8/2025,BALI,1295,1295,1260,1280,50700
10/8/2025,BANK,810,825,800,815,6944800
10/8/2025,BANK-W,0,0,0,0,0
10/8/2025,BAPA,75,76,69,73,2566300
10/8/2025,BAPI,26,27,26,27,10509900
10/8/2025,BATA,56,56,55,55,155400
10/8/2025,BATR,115,120,110,112,6510700
10/8/2025,BAUT,34,37,34,37,25824100
10/8/2025,BAYU,1315,1320,1305,1310,204200
10/8/2025,BBCA,7500,7525,7375,7375,168080800
10/8/2025,BBCABQCG6A,0,0,0,0,0
10/8/2025,BBCABQCV5A,11,12,9,10,7565800
10/8/2025,BBCABQCX5A,13,13,11,11,5884900
10/8/2025,BBCADRCF6A,23,23,22,22,662900
10/8/2025,BBCADRCX6A,3260,3260,3170,3170,20400
10/8/2025,BBCAHDCQ7A,44,44,41,42,6410300
10/8/2025,BBCAHDCV5A,6,6,4,5,6513500
10/8/2025,BBCAYUCK6A,0,0,0,0,0
10/8/2025,BBCAZPCF6A,15,15,12,13,12141300
10/8/2025,BBCAZPCH6A,57,57,57,57,687800
10/8/2025,BBHI,1495,1515,1460,1485,1486300
10/8/2025,BBKP,75,75,73,73,115919800
10/8/2025,BBLD,900,930,885,915,33600
10/8/2025,BBMD,2130,2150,2050,2130,11300
10/8/2025,BBNI,4000,4010,3930,3940,28812600
10/8/2025,BBNIBQCG6A,58,59,56,56,400
10/8/2025,BBNIBQCV5A,7,7,4,5,26036900
10/8/2025,BBNIDRCX6A,2020,2020,2010,2010,400
10/8/2025,BBNIDRCZ5A,35,35,33,33,6628500
10/8/2025,BBNIDRPZ5A,0,0,0,0,0
10/8/2025,BBNIHDCQ7A,69,69,68,68,2561600
10/8/2025,BBNIYUCV5A,0,0,0,0,0
10/8/2025,BBNIZPCH6A,0,0,0,0,0
10/8/2025,BBNIZPCX5A,0,0,0,0,0
10/8/2025,BBRI,3730,3740,3670,3720,148263700
10/8/2025,BBRIBQCJ6A,46,46,44,45,124600
10/8/2025,BBRIBQCZ5A,35,35,34,34,2300
10/8/2025,BBRIDRCN6A,0,0,0,0,0
10/8/2025,BBRIDRCX5A,82,82,81,82,15500
10/8/2025,BBRIDRCX6A,0,0,0,0,0
10/8/2025,BBRIDRPZ5A,61,61,61,61,200
10/8/2025,BBRIHDCH6A,0,0,0,0,0
10/8/2025,BBRIHDCQ7A,73,73,70,70,30000
10/8/2025,BBRIYUCV5A,24,24,24,24,24900
10/8/2025,BBRIZPCH6A,0,0,0,0,0
10/8/2025,BBRIZPCX5A,0,0,0,0,0
10/8/2025,BBRM,88,88,84,85,12606000
10/8/2025,BBSI,5100,5100,4600,4630,50900
10/8/2025,BBSS,310,320,310,320,103800
10/8/2025,BBTN,1205,1210,1175,1180,21930700
10/8/2025,BBTNDRCV6A,0,0,0,0,0
10/8/2025,BBTNHDCZ5A,0,0,0,0,0
10/8/2025,BBTNYUCZ5A,0,0,0,0,0
10/8/2025,BBTNZPCG6A,37,37,36,36,141300
10/8/2025,BBYB,384,394,366,378,135036300
10/8/2025,BCAP,62,63,61,62,33613500
10/8/2025,BCIC,0,0,0,0,0
10/8/2025,BCIP,114,115,110,110,43880700
10/8/2025,BDKR,172,173,165,167,26374500
10/8/2025,BDMN,2380,2380,2350,2370,1113700
10/8/2025,BEBS,0,0,0,0,0
10/8/2025,BEEF,0,0,0,0,0
10/8/2025,BEER,104,107,101,104,3135200
10/8/2025,BEKS,28,30,28,30,112937400
10/8/2025,BELI,370,372,366,366,475500
10/8/2025,BELL,66,71,65,68,56333700
10/8/2025,BESS,1085,1085,1020,1040,73200
10/8/2025,BEST,111,112,110,111,7587200
10/8/2025,BFIN,755,760,740,755,18671900
10/8/2025,BFINDRCK6A,22,22,22,22,500
10/8/2025,BFINHDCM6A,34,34,31,31,200
10/8/2025,BFINZPCM6A,19,19,18,18,17400
10/8/2025,BGTG,108,110,107,107,26204400
10/8/2025,BHAT,880,880,865,870,988300
10/8/2025,BHIT,34,34,34,34,8687100
10/8/2025,BIKA,0,0,0,0,0
10/8/2025,BIKE,950,950,910,945,11336400
10/8/2025,BIMA,74,75,74,74,335300
10/8/2025,BINA,4450,4580,4450,4520,28800
10/8/2025,BINO,126,137,124,125,2975300
