<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
9/29/2025,IHSG,8139.580,8157.330,8100.020,8123.245,47869589200
9/29/2025,AADI,7675,7675,7375,7450,10796500
9/29/2025,AADIHDCK6A,91,91,83,85,128100
9/29/2025,AADIYUCK6A,284,284,282,284,12300
9/29/2025,AALI,8250,8250,8125,8175,2089500
9/29/2025,ABBA,54,55,54,55,5418500
9/29/2025,ABDA,2970,2970,2970,2970,100
9/29/2025,ABMM,2900,2910,2800,2880,1790400
9/29/2025,ACES,432,436,428,434,34463100
9/29/2025,ACESBQCV5A,9,9,8,9,6360400
9/29/2025,ACESBQCX5B,10,10,8,9,13076200
9/29/2025,ACESBQCZ5A,16,19,16,19,368400
9/29/2025,ACESDRCJ6A,13,13,12,12,10405900
9/29/2025,ACESHDCZ5A,27,27,27,27,37500
9/29/2025,ACESZPCJ6A,20,20,18,18,67000
9/29/2025,ACRO,82,86,81,83,18404600
9/29/2025,ACRO-W,14,15,13,14,27530000
9/29/2025,ACST,133,136,130,133,3990000
9/29/2025,ADCP,59,62,58,60,80797300
9/29/2025,ADES,13200,13600,13075,13325,65100
9/29/2025,ADHI,280,284,276,278,25081700
9/29/2025,ADMF,8925,9000,8925,9000,78900
9/29/2025,ADMG,138,142,137,141,1155300
9/29/2025,ADMR,1020,1085,1010,1070,70789500
9/29/2025,ADMRDRCJ6A,32,37,31,35,3668700
9/29/2025,ADMRHDCJ6A,0,0,0,0,0
9/29/2025,ADMRZPCH6A,50,56,48,56,29700
9/29/2025,ADRO,1700,1735,1695,1725,60551100
9/29/2025,ADROBQCG6A,68,68,68,68,10000
9/29/2025,ADROBQCZ5A,14,16,13,13,6677900
9/29/2025,ADRODRCJ6A,51,54,51,53,70500
9/29/2025,ADRODRCX5A,31,33,30,33,368800
9/29/2025,ADROHDCZ5A,45,48,45,48,24200
9/29/2025,ADROHDPH6A,0,0,0,0,0
9/29/2025,ADROYUCZ5A,56,60,56,58,300
9/29/2025,ADROZPCF6A,22,24,22,24,8600
9/29/2025,ADROZPCK6A,48,50,48,50,9000
9/29/2025,AEGS,49,52,46,48,30595200
9/29/2025,AGAR,244,250,240,242,49500
9/29/2025,AGII,800,810,795,800,801100
9/29/2025,AGRO,244,250,242,244,36454500
9/29/2025,AGRS,77,78,75,77,6348900
9/29/2025,AHAP,75,83,74,78,27645500
9/29/2025,AIMS,338,370,338,370,234800
9/29/2025,AISA,139,149,133,138,36384700
9/29/2025,AKKU,0,0,0,0,0
9/29/2025,AKPI,580,580,565,575,161200
9/29/2025,AKRA,1245,1250,1205,1215,15003300
9/29/2025,AKRABQCX5B,37,37,37,37,100
9/29/2025,AKRADRCX5A,31,32,31,32,27800
9/29/2025,AKRAHDCH6A,61,61,57,57,59200
9/29/2025,AKRAZPCJ6A,50,50,50,50,100
9/29/2025,AKRAZPCX5A,60,60,60,60,100
9/29/2025,AKSI,342,350,322,334,2948000
9/29/2025,ALDO,492,500,492,494,67500
9/29/2025,ALII,545,555,540,550,6079400
9/29/2025,ALKA,326,334,324,330,20600
9/29/2025,ALMI,0,0,0,0,0
9/29/2025,ALTO,0,0,0,0,0
9/29/2025,AMAG,360,364,356,362,40700
9/29/2025,AMAN,155,158,150,153,3047200
9/29/2025,AMAR,204,210,202,208,1670800
9/29/2025,AMFG,3320,3390,3300,3380,25700
9/29/2025,AMIN,254,254,240,244,1537600
9/29/2025,AMMN,7025,7125,6875,7025,20730000
9/29/2025,AMMNBQCZ5A,19,19,16,17,8327400
9/29/2025,AMMNDRCJ6A,47,47,43,44,10400
9/29/2025,AMMNHDCH6A,0,0,0,0,0
9/29/2025,AMMNZPCG6A,30,30,29,29,2397600
9/29/2025,AMMS,232,248,206,216,19723900
9/29/2025,AMOR,458,464,450,454,42600
9/29/2025,AMRT,1875,1900,1855,1880,39187000
9/29/2025,AMRTBQCU5A,0,0,0,0,0
9/29/2025,AMRTDRCZ5A,17,18,17,17,1138200
9/29/2025,AMRTHDCJ6A,11,13,11,12,454100
9/29/2025,AMRTZPCK6A,17,18,17,18,33400
9/29/2025,AMRTZPCX5A,20,21,19,21,1153800
9/29/2025,ANDI,34,36,32,32,36690800
9/29/2025,ANJT,2190,2280,2010,2080,3931800
9/29/2025,ANTM,3250,3330,3220,3300,148733800
9/29/2025,ANTMBQCX5A,64,73,64,70,676900
9/29/2025,ANTMBQCZ5A,720,735,720,735,1500
9/29/2025,ANTMDRCG6A,52,55,51,54,1274000
9/29/2025,ANTMDRCX5A,332,340,332,340,300
9/29/2025,ANTMDRPZ5A,37,37,34,34,45100
9/29/2025,ANTMHDCH6A,90,92,90,92,39900
9/29/2025,ANTMHDCH6B,138,144,137,142,2070700
9/29/2025,ANTMHDPH6A,65,66,65,66,19300
9/29/2025,ANTMZPCJ6A,80,87,80,82,1068400
9/29/2025,ANTMZPCK6A,34,37,34,36,1289800
9/29/2025,ANTMZPCX5A,230,230,230,230,200
9/29/2025,APEX,119,125,116,118,171104100
9/29/2025,APIC,1140,1155,1140,1150,4491100
9/29/2025,APII,181,183,179,183,37800
9/29/2025,APLI,470,470,464,470,8500
9/29/2025,APLN,103,104,101,103,17545900
9/29/2025,ARCI,1060,1140,1055,1110,141415100
9/29/2025,AREA,550,630,540,630,14162800
9/29/2025,ARGO,1100,1100,1085,1085,26800
9/29/2025,ARII,286,288,276,282,689700
9/29/2025,ARKA,35,35,34,34,24638200
9/29/2025,ARKO,1525,1680,1460,1620,1883000
9/29/2025,ARMY,0,0,0,0,0
9/29/2025,ARNA,545,545,530,540,1851000
9/29/2025,ARTA,3100,3160,3000,3030,4900
9/29/2025,ARTI,0,0,0,0,0
9/29/2025,ARTO,2150,2220,2100,2210,12241000
9/29/2025,ARTOBQCX5B,94,94,92,92,1000000
9/29/2025,ARTOBQCZ5A,20,22,18,20,7157800
9/29/2025,ARTODRCK6A,0,0,0,0,0
9/29/2025,ARTODRCX5A,51,54,51,54,200
9/29/2025,ARTOHDCZ5A,0,0,0,0,0
9/29/2025,ARTOZPCK6A,46,50,44,49,5185100
9/29/2025,ARTOZPCX5A,51,53,51,53,5000000
9/29/2025,ASBI,440,442,432,442,9800
9/29/2025,ASDM,555,555,540,540,6100
9/29/2025,ASGR,1170,1200,1165,1170,276100
9/29/2025,ASHA,65,79,65,79,67460300
9/29/2025,ASII,5875,5900,5750,5775,20892700
9/29/2025,ASIIBQCZ5A,0,0,0,0,0
9/29/2025,ASIIDRCX5A,0,0,0,0,0
9/29/2025,ASIIDRCX6A,0,0,0,0,0
9/29/2025,ASIIHDCZ5A,174,174,174,174,10000
9/29/2025,ASIIZPCJ6A,127,127,127,127,100
9/29/2025,ASJT,115,122,112,117,774900
9/29/2025,ASLC,85,90,84,88,99692900
9/29/2025,ASLI,0,0,0,0,0
9/29/2025,ASMI,42,44,37,37,12539700
9/29/2025,ASPI,580,580,580,580,2723100
9/29/2025,ASPR,101,103,98,99,8185900
9/29/2025,ASRI,174,180,174,176,48595900
9/29/2025,ASRM,290,300,282,298,596900
9/29/2025,ASSA,870,875,855,865,3868600
9/29/2025,ATAP,65,65,64,64,666500
