<date>,<ticker>,<open>,<high>,<low>,<close>,<volume>
11/11/2025,IHSG,8437.960,8443.690,8338.400,8366.515,69186655000
11/11/2025,AADI,8725,8800,8650,8700,6614000
11/11/2025,AADIDRCN6A,112,115,110,114,394300
11/11/2025,AADIHDCK6A,117,118,115,118,415400
11/11/2025,AADIYUCK6A,348,352,348,352,3300
11/11/2025,AALI,7750,7800,7725,7800,1057100
11/11/2025,ABBA,62,62,56,58,3813600
11/11/2025,ABDA,0,0,0,0,0
11/11/2025,ABMM,3010,3050,3000,3010,1392100
11/11/2025,ACES,452,452,438,438,76955500
11/11/2025,ACESBQCG6A,13,13,12,12,71400
11/11/2025,ACESBQCK6A,0,0,0,0,0
11/11/2025,ACESBQCX5B,2,3,2,3,6426300
11/11/2025,ACESBQCZ5A,9,9,9,9,41200
11/11/2025,ACESDRCJ6A,12,12,10,11,1425400
11/11/2025,ACESHDCN6A,0,0,0,0,0
11/11/2025,ACESHDCZ5A,0,0,0,0,0
11/11/2025,ACESZPCJ6A,18,18,18,18,8000
11/11/2025,ACRO,87,89,87,87,4765000
11/11/2025,ACRO-W,7,7,6,7,5426700
11/11/2025,ACST,131,131,129,130,2449700
11/11/2025,ADCP,54,55,53,55,13447600
11/11/2025,ADES,15200,15250,14250,14800,126300
11/11/2025,ADHI,266,268,262,264,10325200
11/11/2025,ADMF,8850,8875,8800,8825,56800
11/11/2025,ADMG,162,164,157,160,2020600
11/11/2025,ADMR,1385,1480,1380,1430,102910000
11/11/2025,ADMRDRCJ6A,71,81,69,73,10423000
11/11/2025,ADMRHDCJ6A,106,124,105,113,212800
11/11/2025,ADMRZPCH6A,105,105,98,98,5800
11/11/2025,ADRO,1960,1975,1925,1950,130750300
11/11/2025,ADROBQCG6A,0,0,0,0,0
11/11/2025,ADROBQCJ6A,64,64,64,64,100
11/11/2025,ADROBQCN6A,70,70,70,70,100
11/11/2025,ADROBQCZ5A,6,6,5,5,1822100
11/11/2025,ADRODRCJ6A,65,66,63,64,215500
11/11/2025,ADRODRCX5A,45,47,43,45,104400
11/11/2025,ADROHDCN6A,82,82,80,81,11500
11/11/2025,ADROHDCZ5A,53,54,50,52,2102100
11/11/2025,ADROHDPH6A,71,73,70,70,29200
11/11/2025,ADROYUCZ5A,0,0,0,0,0
11/11/2025,ADROZPCF6A,27,27,27,27,503700
11/11/2025,ADROZPCK6A,60,63,60,62,1700
11/11/2025,AEGS,92,92,77,92,47535100
11/11/2025,AGAR,238,244,238,244,45100
11/11/2025,AGII,1350,1475,1315,1440,3710200
11/11/2025,AGRO,228,230,226,228,8141300
11/11/2025,AGRS,73,74,71,73,5756800
11/11/2025,AHAP,90,92,88,90,31370900
11/11/2025,AIMS,392,398,384,390,1628100
11/11/2025,AISA,143,145,140,142,12137600
11/11/2025,AKKU,36,41,36,41,1137200
11/11/2025,AKPI,585,590,580,585,49300
11/11/2025,AKRA,1220,1240,1210,1225,13260000
11/11/2025,AKRABQCX5B,0,0,0,0,0
11/11/2025,AKRADRCX5A,20,21,20,21,587900
11/11/2025,AKRAHDCH6A,52,52,52,52,100
11/11/2025,AKRAZPCJ6A,42,42,42,42,100300
11/11/2025,AKRAZPCM6A,37,37,37,37,300
11/11/2025,AKRAZPCX5A,50,50,50,50,129500
11/11/2025,AKSI,378,416,376,400,1318800
11/11/2025,ALDO,525,530,525,525,11200
11/11/2025,ALII,650,770,625,700,32974000
11/11/2025,ALKA,362,362,354,360,2900
11/11/2025,ALMI,0,0,0,0,0
11/11/2025,ALTO,0,0,0,0,0
